SONAVORM,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus
allikapesu,2894051.1944869785,0.0,0.0030627871362940277,0.0
tekstidautoristsandra,1447025.595712097,0.0,0.0015313935681470138,0.0
desinformatsioonivõttega,1447025.595712097,0.0,0.0015313935681470138,0.0
smarted-i,1447025.595712097,0.0,0.0015313935681470138,0.0
välissõjaväeluure,1447025.595712097,0.0,0.0015313935681470138,0.0
reklaamlugude,723511.7986220883,0.0,0.0015313935681470138,1.0583044103059406e-09
vabaühingut,361754.90007811715,0.0,0.0015313935681470138,3.174913230917822e-09
sensatsioonilisusele,289403.52036973636,0.0,0.0015313935681470138,4.233217641223762e-09
kodanikuorganisatsiooni,120583.63438672961,0.0,0.0015313935681470138,1.1641348513365348e-08
misinformation,103357.11540975758,0.0,0.0015313935681470138,1.3757957333977229e-08
valeuudiste,84417.54239711918,0.0,0.009188361408882083,6.466239946969297e-07
tööpraktikaid,60290.81797077228,0.0,0.0015313935681470138,2.4341001437036635e-08
kommunikatsioonispetsialistina,49895.504797626585,0.0,0.0015313935681470138,2.963252348856634e-08
uudismeedias,49895.504797626585,0.0,0.0015313935681470138,2.963252348856634e-08
silverman,44519.93218691638,0.0,0.0030627871362940277,1.354629645191604e-07
kodanikuaktiivsusele,43847.32258854795,0.0,0.0015313935681470138,3.38657411297901e-08
refereerimist,42557.63667641927,0.0,0.0015313935681470138,3.492404554009604e-08
luureanalüütik,40193.212504298164,0.0,0.0015313935681470138,3.7040654360707925e-08
kvaliteetmeedia,39106.8554522984,0.0,0.0015313935681470138,3.809895877101386e-08
ajakirjanikeni,36173.69141210568,0.0,0.0015313935681470138,4.127387200193169e-08
roonemaa,33736.01834940106,0.0,0.007656967840735069,1.1292108057964387e-06
peatoimetajaid,31455.123174343567,0.0,0.0015313935681470138,4.762369846376733e-08
meediatarbijad,27300.40900391207,0.0,0.0015313935681470138,5.5031829335908916e-08
lugemisosa,26307.594189385076,0.0,0.0015313935681470138,5.7148438156520794e-08
disinformation,26307.594189385076,0.0,0.0015313935681470138,5.7148438156520794e-08
lisakaitsena,23719.765411078177,0.0,0.0015313935681470138,6.349826461835644e-08
keeleruum,16823.903847186062,0.0,0.0015313935681470138,8.995587487600495e-08
meediapädevust,15391.91217117235,0.0,0.0015313935681470138,9.842231015845247e-08
tennus,14915.811846134133,0.0,0.0015313935681470138,1.0159722338937031e-07
klaasseni,13273.484120534538,0.0,0.0015313935681470138,1.1429687631304159e-07
meediaväljaandes,10796.715011746237,0.0,0.0015313935681470138,1.407544865706901e-07
valeuudis,10333.913013476555,0.0,0.0015313935681470138,1.4710431303252574e-07
maailmapildile,9214.73790685018,0.0,0.0015313935681470138,1.6509548800772675e-07
klaassen,8859.881573967536,0.0,0.0030627871362940277,6.889561711091673e-07
rooda,8821.340631912528,0.0,0.0015313935681470138,1.7250361887986832e-07
umbusu,7306.221839059463,0.0,0.0015313935681470138,2.0848596883027032e-07
bakalaureusetöös,6855.952358706755,0.0,0.0015313935681470138,2.2224392616424753e-07
valeuudised,6429.235436945335,0.0,0.0015313935681470138,2.370601879085307e-07
väärarusaamad,6155.565922476732,0.0,0.0015313935681470138,2.476432320115901e-07
