SÕNAVORM,SAGEDUS_x,SAGEDUS_y
kohaliku,1,87433.0
kogemus,1,84643.0
kodanikuorganisatsiooni,1,11.0
kodanikuaktiivsusele,1,32.0
klaasseni,1,108.0
kirjutanud,1,53278.0
kiputakse,1,4123.0
kipub,1,30742.0
kindlasti,1,602226.0
kindel,1,179386.0
kursis,1,40451.0
kvaliteetmeedia,1,36.0
luureanalüütik,1,35.0
külma,1,57507.0
lugemisosa,1,54.0
loodud,1,145058.0
loeb,1,37618.0
lisas,1,202991.0
lisakaitsena,1,60.0
liit,1,75170.0
liidu,1,295646.0
lihtsalt,1,751709.0
libauudis,1,296.0
levitamise,1,3820.0
levima,1,7904.0
levikut,1,14484.0
levida,1,3874.0
leidub,1,91505.0
leidsid,1,34456.0
ütles,1,618907.0
