SONAVORM,SAGEDUS_x,SAGEDUS_y
täielikult,9,123334.0
tava,9,15385.0
esimesena,9,46215.0
irl,9,11878.0
ühine,9,43892.0
toetuse,9,53551.0
ajastu,9,20656.0
palgalõhe,9,3728.0
ajateenistusse,9,1942.0
reformierakond,9,17876.0
tabanud,9,16882.0
küsimused,9,55789.0
mõnigi,9,27274.0
taavi,9,35446.0
kreml,9,3825.0
sunnitud,9,39783.0
mõistlikum,9,11792.0
kümneid,9,21429.0
huve,9,14160.0
huvid,9,13248.0
venemaad,9,8174.0
kingitus,9,29098.0
erakonda,9,9086.0
tahte,9,9240.0
naise,9,99149.0
võeti,9,74107.0
tunneb,9,68594.0
andma,9,64768.0
erilist,9,67794.0
väärtuste,9,17337.0
andes,9,31019.0
venelaste,9,12902.0
väärtusi,9,16722.0
töökohti,9,13785.0
üheksa,9,51415.0
tundus,9,104266.0
pakutakse,9,76393.0
tahame,9,41933.0
paljudes,9,39101.0
kahekümne,9,10243.0
andmetel,9,74588.0
huvitav,9,169293.0
vähendamine,9,13243.0
tervishoiu,9,12190.0
ilus,9,160190.0
tulemused,9,86633.0
elanikud,9,32696.0
ruumi,9,120488.0
elama,9,60823.0
tulevik,9,33797.0
uskuda,9,35238.0
parima,9,99359.0
alguse,9,91695.0
käega,9,44776.0
paremaks,9,75116.0
urmas,9,55070.0
käis,9,123234.0
eestimaa,9,38960.0
kõnelda,9,4644.0
kaitseväe,9,21174.0
viimati,9,81515.0
kujunenud,9,35117.0
ebola,9,1384.0
kujutada,9,23474.0
tühjaks,9,34370.0
paneb,9,105522.0
kiievis,9,3473.0
info,9,166245.0
riigikontrolli,9,3889.0
pank,9,27067.0
kaitsta,9,60698.0
rääkis,9,238420.0
suurendab,9,29807.0
meelt,9,34457.0
riigikohtu,9,8147.0
koostööd,9,105434.0
detsembril,9,58470.0
perekonna,9,31028.0
hinnangul,9,89083.0
langenud,9,43718.0
laiemalt,9,28265.0
kirjas,9,92203.0
seadusi,9,10509.0
esmalt,9,67059.0
ajada,9,56675.0
natuke,9,303933.0
maailmast,9,22943.0
aidanud,9,37452.0
maailmasõja,9,21657.0
ajaga,9,70316.0
rahvuslik,9,8906.0
öelnud,9,74163.0
noortele,9,47434.0
narva,9,79120.0
kirjutanud,9,53278.0
keele,9,131559.0
sõnu,8,52321.0
kohalik,8,51021.0
viimsi,8,32153.0
saata,8,94748.0
vahendeid,8,41196.0
riigiga,8,7705.0
esitatud,8,124448.0
kohalike,8,66237.0
meeldib,8,200306.0
vastase,8,25215.0
riigikaitse,8,6009.0
lõksust,8,440.0
enam-vähem,8,34700.0
esitada,8,104389.0
rõõmu,8,65534.0
häid,8,78163.0
viimast,8,59459.0
omada,8,15866.0
sügisel,8,82761.0
suurel,8,31373.0
lõpetada,8,52972.0
revolutsiooni,8,9608.0
elust,8,57877.0
võrrelda,8,38466.0
uuring,8,34777.0
uuringu,8,45669.0
edu,8,106945.0
muutnud,8,26568.0
esiteks,8,64070.0
vastava,8,48691.0
riigikogulaste,8,855.0
liidus,8,37219.0
hinnaga,8,75431.0
lapsevanem,8,14888.0
käi,8,36626.0
unustada,8,28628.0
ideoloogia,8,7326.0
haigekassa,8,17468.0
käivad,8,69165.0
ehitatud,8,74482.0
swedbank,8,11216.0
sobib,8,268966.0
seisab,8,62982.0
riikidega,8,13363.0
suvel,8,136981.0
lapsest,8,13581.0
hirm,8,38718.0
räägitud,8,24640.0
silmis,8,29921.0
elame,8,26559.0
ida,8,22729.0
vahet,8,87074.0
juhtida,8,40664.0
lõplikult,8,23310.0
nimetatud,8,112976.0
juhtide,8,17162.0
tasemele,8,32213.0
sotside,8,8163.0
räägitakse,8,47444.0
lasta,8,110814.0
tase,8,57009.0
meenutab,8,48393.0
lootust,8,38143.0
kohtu,8,40936.0
sootuks,8,16512.0
tagamiseks,8,49537.0
tagatud,8,29835.0
korruptsiooni,8,7916.0
tõuseb,8,40521.0
kokkuvõttes,8,58394.0
käinud,8,130589.0
reeglid,8,40047.0
ndate,8,455.0
reaalselt,8,46641.0
is,8,54676.0
tagab,8,101691.0
irli,8,4817.0
nsv,8,28635.0
maailmale,8,14452.0
seadust,8,15465.0
tööl,8,65776.0
eurooplased,8,3747.0
äkki,8,183977.0
vajadust,8,50049.0
naistele,8,32733.0
võimaldab,8,177205.0
vajalikud,8,87634.0
savisaare,8,11844.0
lahendused,8,30665.0
suhtumine,8,29240.0
lahendust,8,32007.0
korraldada,8,67410.0
vajavad,8,63435.0
tõusis,8,53380.0
leedus,8,21836.0
mainitud,8,47342.0
selgus,8,96112.0
isiklikult,8,55532.0
teavad,8,49363.0
statistika,8,32314.0
niinimetatud,8,12880.0
olemasolu,8,49050.0
interneti,8,38316.0
kontekstis,8,38066.0
taani,8,43813.0
krimmis,8,2806.0
vaata,8,243116.0
st,8,92264.0
täidetud,8,46176.0
mõeldav,8,5731.0
lastest,8,16704.0
nähtud,8,86683.0
teenuste,8,75075.0
avaldatud,8,53826.0
niikuinii,8,30891.0
energia,8,87934.0
hoiab,8,84943.0
vastutus,8,24556.0
täita,8,69741.0
majandusliku,8,14050.0
töötab,8,131559.0
kontrollida,8,67748.0
asunud,8,26734.0
kontrolli,8,98322.0
lüüa,8,51257.0
tõsine,8,33273.0
vara,8,83626.0
võimule,8,12781.0
küsimuse,8,42340.0
vastutuse,8,21812.0
kremlis,8,1216.0
vaatavad,8,19171.0
vaimus,8,11842.0
mõistes,8,18527.0
taustal,8,28297.0
liitlaste,8,6939.0
aastakümneid,8,19124.0
tuletada,8,13248.0
kehtima,8,19770.0
toel,8,26998.0
kogemus,8,84643.0
piiride,8,12651.0
kena,8,71540.0
palk,8,26082.0
praktika,8,29646.0
turu,8,39894.0
jõuliselt,8,10072.0
teinekord,8,28984.0
tekkida,8,41493.0
arendada,8,50873.0
üksikisiku,8,5673.0
ühtegi,8,120119.0
pm,8,33222.0
oskus,8,30012.0
kevadel,8,91203.0
kasvas,8,47548.0
toimus,8,172470.0
kiire,8,143566.0
poeg,8,60044.0
paarkümmend,8,15072.0
peres,8,28193.0
plaan,8,75149.0
poliitiliste,8,15697.0
kodanik,8,21758.0
pankade,8,11786.0
jüri,8,91397.0
jääks,8,46642.0
üldjoontes,8,9708.0
peategelane,8,12285.0
kaotada,8,33531.0
