SONAVORM,SAGEDUS_x,SAGEDUS_y
eesti,558,2327335.0
aasta,228,1377904.0
euroopa,203,753197.0
riigi,188,272159.0
aastal,181,1129796.0
näiteks,163,895726.0
eestis,162,502376.0
venemaa,139,203827.0
raha,124,479679.0
riik,114,139229.0
riigikogu,113,109033.0
ajal,109,893330.0
vene,108,240756.0
vaja,101,722440.0
võimalik,96,790904.0
osa,96,644653.0
tegelikult,96,480270.0
aastat,94,582852.0
laste,89,214850.0
lihtsalt,85,751709.0
maailma,82,363794.0
elu,81,554567.0
jääb,79,415090.0
eriti,78,607097.0
protsenti,77,185210.0
hea,75,1052104.0
ilmselt,75,337001.0
korda,72,551660.0
kindlasti,71,602226.0
tähendab,70,307752.0
liidu,69,295646.0
inimesed,68,520448.0
suur,68,583376.0
ukraina,68,62742.0
inimeste,65,299627.0
kaks,63,714434.0
rootsi,63,120986.0
võtta,61,507935.0
aeg,59,456165.0
lapse,58,198737.0
soome,57,208061.0
vähem,56,275707.0
hästi,54,574572.0
eurot,53,378007.0
aega,53,653321.0
oluline,52,351893.0
nato,51,41507.0
inimene,50,358177.0
uue,50,457408.0
inimesi,50,293988.0
küsimus,50,211853.0
üldse,49,441043.0
kaasa,49,508284.0
rahva,49,107449.0
aru,48,411988.0
usa,48,235799.0
tallinna,47,496995.0
laps,46,193736.0
anda,46,304462.0
ongi,46,293513.0
lugu,45,235481.0
maailmas,45,176611.0
valmis,45,347663.0
naiste,44,134739.0
hiljem,43,359591.0
paraku,43,106901.0
õigus,43,146872.0
kord,42,283957.0
paljud,42,232171.0
tundub,42,285232.0
nn,42,104436.0
lapsed,42,248783.0
kahe,41,331749.0
sõda,41,40811.0
taas,41,242753.0
töö,41,395973.0
uus,41,484944.0
osas,40,274166.0
jäänud,40,263278.0
asi,39,442323.0
täna,39,614950.0
kultuuri,39,62156.0
öelda,38,336711.0
riikide,38,97268.0
kiriku,38,83003.0
putin,38,22527.0
selge,38,153850.0
raske,37,261440.0
õige,37,225945.0
linna,37,267902.0
inimese,37,261372.0
suure,36,321209.0
panna,36,370764.0
jne,36,341902.0
ühiskonna,36,58215.0
suurt,36,182326.0
näha,36,425946.0
aastatel,36,159328.0
hoida,36,233178.0
võimalus,35,298651.0
leida,35,276876.0
kasutada,34,483135.0
asja,34,270857.0
üha,34,109641.0
vähe,34,199216.0
viis,34,278892.0
teada,34,458357.0
seotud,34,459842.0
võimaluse,34,121019.0
teatud,34,158857.0
sõja,33,36986.0
riiki,33,67748.0
jõudnud,33,183571.0
ütleb,33,197520.0
tööd,33,324748.0
annab,33,377779.0
poliitika,33,48370.0
võrreldes,33,178556.0
loomulikult,32,170991.0
vaadata,32,273168.0
kinni,32,325526.0
sageli,32,156189.0
ühiskonnas,32,53039.0
tegemist,31,342436.0
antud,31,295279.0
vaba,31,143683.0
preemia,31,20937.0
lõpuks,31,338641.0
nimel,31,114400.0
euro,31,119386.0
veidi,30,283015.0
lääne,30,59567.0
maha,30,411280.0
kolm,30,358538.0
nõukogude,30,100815.0
rahvas,30,72074.0
viimase,30,238867.0
üksnes,30,99157.0
sõna,29,185881.0
president,29,150760.0
parlamendi,29,70407.0
olukord,29,134364.0
tartu,29,479599.0
euroopas,29,82084.0
luua,29,165588.0
tohi,29,139364.0
kooli,29,246567.0
esimene,29,431838.0
rääkida,29,170412.0
aastast,29,179122.0
majanduse,29,42941.0
suurem,28,244155.0
aastate,28,99912.0
aja,28,310572.0
selgelt,28,90925.0
viimane,28,187827.0
paremini,28,213849.0
korras,28,130380.0
maailm,28,75991.0
tähelepanu,28,222336.0
venemaal,28,47911.0
piisavalt,28,200946.0
last,27,102794.0
päev,27,309260.0
pere,27,121922.0
idee,27,102997.0
mõelda,27,129386.0
putini,26,16245.0
kolme,26,197171.0
balti,26,73410.0
abi,26,200008.0
erakonna,26,46388.0
lapsega,26,41506.0
tea,26,338686.0
krimmi,26,10559.0
jälle,26,307558.0
sisuliselt,25,66345.0
tegu,25,202633.0
ellu,25,100094.0
lahti,25,265133.0
tänavu,25,126596.0
aastas,25,88358.0
jääda,25,137609.0
varem,25,329004.0
mees,25,391055.0
mõju,25,172932.0
naised,25,116635.0
enamik,25,81959.0
parem,24,281434.0
võimu,24,52976.0
kuus,24,155925.0
seadus,24,42386.0
mõttes,24,154766.0
kahjuks,24,216837.0
pakkuda,24,161582.0
terve,24,232653.0
olukorras,24,85362.0
võtma,24,107716.0
probleem,24,149084.0
lastele,24,148060.0
kremli,24,10154.0
moel,23,68342.0
täpselt,23,266321.0
valitsuse,23,119622.0
lapsi,23,107322.0
jäi,23,336219.0
hulk,23,95175.0
maa,23,164265.0
lapsele,23,66070.0
kirjutas,23,177402.0
muutub,23,119580.0
suunas,23,115175.0
aastaks,23,89048.0
kõrge,23,136333.0
keeles,23,166890.0
uusi,23,186801.0
riigid,23,44870.0
näib,23,38573.0
kirik,23,50302.0
eesmärk,23,220310.0
suurema,23,119614.0
esimese,23,305321.0
näeme,23,54348.0
demokraatia,23,27995.0
viimastel,23,71627.0
näitab,23,156499.0
riigis,23,86654.0
rubla,23,12257.0
mõista,22,104948.0
ülejäänud,22,119236.0
meelde,22,142838.0
tallinnas,22,192473.0
aastaid,22,123701.0
rahastamise,22,17590.0
vanemad,22,84269.0
asjad,22,204568.0
arvu,22,75748.0
vana,22,248162.0
heaolu,22,41375.0
muutunud,21,122993.0
suured,21,142688.0
võimalusi,21,140106.0
räägib,21,161025.0
silmas,21,84352.0
tahavad,21,78357.0
eestile,21,27806.0
lausa,21,160628.0
re,21,62675.0
järjest,21,131599.0
vähendada,21,81087.0
tuua,21,149160.0
käib,21,183360.0
seaduse,21,82602.0
liit,21,75170.0
huvi,21,192804.0
tekib,21,136973.0
poliitikas,21,14875.0
lihtne,21,220768.0
vajab,20,107761.0
vale,20,65972.0
väike,20,266354.0
võtnud,20,143369.0
suutnud,20,111252.0
avatud,20,202538.0
hiljuti,20,112357.0
tulevikus,20,98219.0
tihti,20,167422.0
lugeda,20,184588.0
viie,20,77224.0
riikides,20,53209.0
olukorda,20,86182.0
miljonit,20,168429.0
asju,20,228618.0
rääkimata,20,40583.0
ütles,20,618907.0
nimelt,20,165457.0
uut,20,230401.0
noorte,20,125283.0
maksma,20,76118.0
kurb,20,46788.0
arv,20,169473.0
juht,20,162546.0
elus,20,165454.0
aastaga,20,80816.0
toetust,20,67224.0
toob,20,146055.0
päeva,20,459365.0
ukrainas,19,14426.0
teema,19,237377.0
suuri,19,70436.0
leedu,19,62896.0
reformierakonna,19,27289.0
saksamaa,19,87149.0
eestisse,19,77082.0
sõltub,19,90473.0
võttis,19,190514.0
erakondade,19,16303.0
sajandi,19,92454.0
maksta,19,74759.0
aitab,19,264230.0
eestlased,19,53412.0
endiselt,19,127537.0
nime,19,170661.0
täis,19,214702.0
liige,19,138066.0
jätta,19,134711.0
võtab,19,215983.0
ajateenistuse,18,2185.0
julgeoleku,18,17121.0
head,18,327897.0
tahab,18,151237.0
tõde,18,44424.0
suuda,18,117331.0
metsa,18,75874.0
pealegi,18,52578.0
leiab,18,179502.0
tasuta,18,286516.0
tõsta,18,92399.0
uute,18,138998.0
poliitiline,18,27885.0
alguses,18,237443.0
parim,18,206541.0
inimestele,18,119078.0
hetkel,18,449092.0
kiiresti,18,218935.0
öeldes,18,56028.0
kümne,18,57526.0
eestlane,18,38265.0
elavad,18,65406.0
mõeldud,18,196907.0
algab,18,160289.0
kodanike,18,33414.0
tulu,18,35956.0
elada,18,104499.0
ajaloo,18,58855.0
loo,18,92651.0
arvates,18,126722.0
oluliselt,18,122676.0
jätkub,18,68606.0
puudub,17,115862.0
venemaaga,17,12606.0
pilt,17,137893.0
toetus,17,43652.0
omavalitsuste,17,35652.0
poliitik,17,17370.0
kultuur,17,25778.0
vaadates,17,85953.0
saksa,17,121578.0
paljude,17,96611.0
jäävad,17,118866.0
alusel,17,183317.0
kodakondsuse,17,8019.0
tuntud,17,141827.0
nõus,17,109093.0
linn,17,107115.0
vajalik,17,159769.0
keelt,17,87226.0
moskva,17,42601.0
vastavalt,17,288280.0
toonud,17,55955.0
elab,17,85449.0
võimalust,17,131053.0
kolmas,17,101266.0
tohiks,17,90424.0
arvata,17,80104.0
eestist,17,63325.0
mehed,17,143823.0
vabaduse,17,37830.0
valimistel,17,33181.0
rahu,17,65259.0
tõepoolest,17,73160.0
liikmete,17,46347.0
keskmise,17,64631.0
teame,17,41765.0
uued,17,174718.0
sisu,17,147675.0
rolli,17,92214.0
tõsi,17,66263.0
lõpus,17,162388.0
märksa,16,31423.0
kohustus,16,41280.0
kirjutab,16,124005.0
hind,16,236464.0
käigus,16,186273.0
viimaste,16,43058.0
külma,16,57507.0
nimetada,16,43391.0
vastus,16,106470.0
süsteemi,16,96940.0
enamasti,16,136940.0
liitu,16,32869.0
jõuab,16,100926.0
suudavad,16,39582.0
suudab,16,88721.0
otsuseid,16,42376.0
tekkinud,16,113900.0
valida,16,171013.0
parlamendis,16,13883.0
tunne,16,176192.0
näitavad,16,49877.0
tähenda,16,56065.0
venemaale,16,19167.0
tahaks,16,210246.0
isa,16,175804.0
mõtet,16,100135.0
tänapäeva,16,56320.0
ülesanne,16,54710.0
presidendi,16,68535.0
toimunud,16,162376.0
arvestades,16,168059.0
küsida,16,89522.0
korra,16,129574.0
koha,16,284964.0
maksab,16,163501.0
suurim,16,99829.0
põhjust,16,71409.0
suurte,16,69491.0
näinud,16,158597.0
probleeme,16,112967.0
lng,16,1503.0
protsendi,16,32554.0
kahju,15,138088.0
pruugi,15,81685.0
viisil,15,83515.0
inimest,15,255118.0
ootab,15,105719.0
tähtis,15,114330.0
suurendada,15,59856.0
suures,15,73074.0
üldiselt,15,130696.0
eli,15,164713.0
suunatud,15,77731.0
loota,15,36531.0
arvatud,15,64454.0
huvides,15,38158.0
soovi,15,134393.0
probleemid,15,59404.0
leidnud,15,117480.0
mõistlik,15,63722.0
mõte,15,129356.0
kasvu,15,52921.0
majandus,15,24804.0
tahan,15,109411.0
vabariigi,15,100640.0
andis,15,198990.0
erinevalt,15,61604.0
sugugi,15,54330.0
andnud,15,113588.0
otsus,15,94022.0
kapitali,15,11565.0
piiri,15,57638.0
kaua,15,150489.0
tekitada,15,50851.0
neli,15,178828.0
rahvusvahelise,15,76618.0
castro,15,1579.0
antakse,15,84080.0
tasemel,15,75117.0
aju,15,45853.0
käima,15,100443.0
õigust,15,40705.0
kaugel,15,99349.0
kiiremini,15,73001.0
viia,15,147535.0
partei,14,38651.0
koostöö,14,101386.0
eestit,14,40480.0
poliitilise,14,30294.0
teisiti,14,53140.0
avaliku,14,77104.0
naisi,14,41726.0
kirja,14,148839.0
ühiskond,14,27535.0
näitas,14,75395.0
valla,14,133812.0
ema,14,227766.0
suhteliselt,14,101479.0
tegevus,14,99633.0
ainus,14,98816.0
annavad,14,96197.0
otsustas,14,88264.0
äsja,14,40797.0
jagada,14,81863.0
pandud,14,114080.0
teadlased,14,43338.0
miljoni,14,93986.0
valimiste,14,27376.0
eestlaste,14,50498.0
ükski,14,83057.0
otsustada,14,47664.0
toime,14,89704.0
jõud,14,46311.0
esimest,14,173642.0
meeste,14,99788.0
rahvusvaheline,14,57009.0
läti,14,101495.0
kolmanda,14,92697.0
tasu,14,84870.0
noored,14,119123.0
kasvanud,14,79885.0
eelnõu,14,67184.0
politsei,14,146848.0
alkoholi,14,50635.0
määral,14,74614.0
silma,14,174486.0
ameerika,14,102213.0
valimised,14,25181.0
erakond,14,21290.0
sotsiaal,14,877.0
mõtlema,14,75279.0
tööle,14,176661.0
maja,14,244655.0
põhjal,14,134072.0
vanema,14,29403.0
lõppu,14,74700.0
ülikooli,14,188294.0
kasu,14,86708.0
kehtib,14,83142.0
nõuab,14,97391.0
arvan,14,187834.0
tasuks,13,36668.0
kaitse,13,104814.0
new,13,75159.0
alustada,13,79915.0
nädala,13,164573.0
nelja,13,99263.0
kuulub,13,124437.0
missioonipreemia,13,237.0
tegevuse,13,91102.0
rmk,13,17607.0
tasub,13,137878.0
mõistagi,13,29052.0
koht,13,232816.0
võimalused,13,72045.0
äärmiselt,13,83942.0
teemal,13,85805.0
tunda,13,117079.0
põhjus,13,87942.0
kindel,13,179386.0
osta,13,214431.0
kindlalt,13,71332.0
ammu,13,101353.0
möödunud,13,119387.0
kadunud,13,79197.0
riigikogus,13,22335.0
süsteem,13,84415.0
riigile,13,28775.0
näol,13,64877.0
n-ö,13,39482.0
osaliselt,13,57990.0
kodanikud,13,21131.0
nafta,13,11864.0
otse,13,171431.0
arvelt,13,27414.0
pärit,13,120601.0
koosseisu,13,32675.0
pani,13,106357.0
puusepp,13,3726.0
jõuda,13,90812.0
riigist,13,33014.0
ilmunud,13,67290.0
tulevikku,13,36318.0
teab,13,128010.0
näide,13,58310.0
kuulda,13,69370.0
keskmisest,13,21450.0
lubas,13,46320.0
usun,13,107380.0
parlament,13,26765.0
tulemus,13,102688.0
suuresti,13,36394.0
soomes,13,69851.0
haridus,13,23673.0
kasvab,13,74847.0
loomulik,13,33605.0
poliitikud,13,22575.0
kümme,13,81492.0
probleemi,13,85477.0
lihtsam,13,81874.0
ajalugu,13,78460.0
küsimustes,13,20891.0
samamoodi,13,78004.0
varsti,13,104064.0
selgeks,13,81398.0
ajakirjanik,13,28134.0
poola,13,67404.0
läänes,13,9663.0
sealhulgas,13,127956.0
vastupidi,13,58191.0
elanike,13,41779.0
ajateenistus,13,1274.0
miesi,13,29.0
ideed,13,42080.0
mets,13,26070.0
liikmed,13,73298.0
sarnane,12,49517.0
nt,12,180468.0
seoses,12,198334.0
teatrite,12,2090.0
vladimir,12,28121.0
prantsusmaa,12,62647.0
õpetaja,12,149399.0
ühiskonda,12,19510.0
lahendamiseks,12,20489.0
kombel,12,37292.0
küsimusele,12,54939.0
puudega,12,17804.0
niigi,12,36347.0
omamoodi,12,31916.0
nüüdseks,12,58121.0
puudu,12,65749.0
muudab,12,88101.0
ideid,12,42996.0
tervise,12,77739.0
meedia,12,58941.0
piisab,12,49099.0
uues,12,45298.0
palga,12,18299.0
asuva,12,48028.0
pildi,12,90667.0
luukase,12,562.0
jätkuvalt,12,80908.0
krimm,12,1639.0
esimesed,12,107601.0
maksumaksja,12,11588.0
võimalikult,12,130144.0
valitsus,12,112538.0
küllap,12,40385.0
vajadus,12,54126.0
kasutades,12,98773.0
koolis,12,121819.0
esile,12,95780.0
vanem,12,54082.0
lastega,12,62904.0
öeldakse,12,37029.0
maksa,12,43426.0
kriisi,12,38127.0
kohus,12,58223.0
sh,12,93116.0
käia,12,111168.0
toetada,12,75199.0
lahendusi,12,55399.0
peamine,12,67189.0
seaduste,12,16044.0
filmi,12,120237.0
tõenäoliselt,12,120379.0
senise,12,22277.0
pidevalt,12,152368.0
puudutab,12,52772.0
teatas,12,155958.0
sattunud,12,47551.0
kodus,12,256394.0
loodud,12,145058.0
suhted,12,40516.0
toovad,12,32395.0
oodata,12,109864.0
kahtlemata,12,42584.0
riigireformi,12,2069.0
valimisi,12,18376.0
liigub,12,59557.0
noori,12,45873.0
juhid,12,33613.0
hinna,12,66445.0
juhi,12,62074.0
lapsevanemad,12,17801.0
suhtlemise,12,8240.0
tegevust,12,78779.0
riike,12,18324.0
küsis,12,68711.0
lubab,12,56373.0
riigil,12,13835.0
venelased,12,18831.0
briti,12,55388.0
mulje,12,67853.0
lahendada,12,54589.0
küsimusi,12,73989.0
rahvast,12,53373.0
tänapäeval,12,85850.0
eeskuju,12,23246.0
tööjõu,11,11027.0
juttu,11,112373.0
võetakse,11,77919.0
roll,11,66204.0
senine,11,18902.0
samm,11,47264.0
paika,11,79358.0
teisalt,11,33163.0
õnneks,11,153271.0
näitaja,11,18943.0
erakonnad,11,9516.0
esimees,11,91444.0
huvide,11,22446.0
erinevad,11,165992.0
kehtestada,11,29173.0
valdkonnas,11,73174.0
võetud,11,127469.0
hetk,11,60891.0
võttes,11,94493.0
teatavasti,11,18147.0
leidis,11,98957.0
obama,11,12189.0
kipub,11,30742.0
plaanis,11,83938.0
jutt,11,103181.0
tehnoloogia,11,62683.0
hommikul,11,194421.0
oska,11,135652.0
avalik,11,36126.0
prantsuse,11,64248.0
arengut,11,42145.0
tagada,11,116406.0
nõukogu,11,130775.0
majanduslikult,11,15571.0
pöörduda,11,43512.0
märgata,11,30947.0
lääneriikide,11,3378.0
eestil,11,14690.0
põhja-korea,11,14644.0
valijate,11,8560.0
näidata,11,88655.0
inimestel,11,75502.0
tuuliku,11,2933.0
vandenõu,11,3294.0
näidanud,11,48125.0
väita,11,29331.0
olulist,11,42701.0
suureks,11,60365.0
polegi,11,78618.0
tervikuna,11,31846.0
lääs,11,4396.0
määratud,11,67905.0
riigikokku,11,6599.0
valik,11,135567.0
jms,11,87548.0
rahvaste,11,19235.0
suuremad,11,61533.0
liikme,11,32787.0
juhtimisel,11,20611.0
põhjusel,11,58124.0
no,11,321847.0
riikliku,11,46057.0
kõrgem,11,42619.0
kirjutatud,11,80773.0
suuremat,11,74058.0
kirjutada,11,106221.0
mängu,11,264359.0
astuda,11,39281.0
saavutada,11,78240.0
vajaduse,11,43046.0
süüdi,11,54453.0
tuleviku,11,51328.0
sammud,11,21762.0
märganud,11,24888.0
usu,11,80107.0
leppida,11,29936.0
vaevalt,11,43444.0
hinnata,11,64168.0
kesklinna,11,39370.0
asjade,11,67558.0
kõlab,11,43467.0
aidata,11,131972.0
kool,11,75567.0
endine,11,77706.0
koolides,11,23594.0
ainuüksi,11,25836.0
kava,11,52483.0
tavaliselt,10,194043.0
fakt,10,28414.0
paistab,10,79987.0
tõi,10,130323.0
kirjutavad,10,13650.0
paar,10,261801.0
jt,10,31699.0
ettepaneku,10,62017.0
ajaks,10,120600.0
aeg-ajalt,10,50204.0
tõestada,10,19799.0
suhelda,10,36059.0
juhtus,10,86290.0
kirjanik,10,30351.0
nädalal,10,134441.0
tunnevad,10,35663.0
kirikukogu,10,3410.0
avalikult,10,37559.0
võimatu,10,46909.0
kaasamise,10,6989.0
seadused,10,14376.0
euroopast,10,10285.0
keel,10,76911.0
seada,10,33388.0
rahaga,10,17041.0
kapo,10,5219.0
kasuks,10,75712.0
euroni,10,20048.0
seegi,10,33499.0
tõsiselt,10,71600.0
kooseluseaduse,10,4110.0
võimul,10,9215.0
juhtub,10,79714.0
ettevõtte,10,168649.0
andrei,10,18243.0
lätis,10,34416.0
tõmmata,10,47243.0
toimub,10,355696.0
võim,10,26470.0
langeb,10,32705.0
meri,10,29339.0
ajast,10,84134.0
probleemide,10,39424.0
sündinud,10,94339.0
soov,10,86102.0
omavalitsuse,10,35283.0
palka,10,30706.0
soovib,10,92246.0
põhjendatud,10,25591.0
gaasi,10,22655.0
maksude,10,11636.0
loogika,10,18814.0
sada,10,32516.0
vanemate,10,53156.0
liberaalse,10,3062.0
paljudel,10,43450.0
tugevalt,10,40069.0
põhikooli,10,31375.0
looduse,10,46031.0
räägime,10,51681.0
asub,10,275787.0
sündmuste,10,26350.0
valija,10,6089.0
parteid,10,6344.0
peaminister,10,62446.0
väiksem,10,70479.0
väikese,10,99052.0
väiksema,10,31496.0
uuesti,10,217678.0
kohaliku,10,87433.0
põhimõtteliselt,10,60164.0
viimasel,10,148293.0
muret,10,44339.0
viinud,10,31511.0
poliitikasse,10,5806.0
hariduse,10,40855.0
saabki,10,12284.0
põhjuseks,10,54181.0
viidud,10,38585.0
toetab,10,79621.0
inimestest,10,41150.0
muutus,10,73268.0
kõne,10,49804.0
eeldab,10,31008.0
loob,10,52586.0
tänaseks,10,66247.0
keskmine,10,98392.0
autorid,10,21015.0
le,10,38321.0
toodud,10,94686.0
tundi,10,179842.0
kuu,10,253290.0
hulga,10,44962.0
eri,10,128650.0
pakub,10,266785.0
korraga,10,116864.0
kanda,10,105008.0
eraldi,10,186873.0
väärtus,10,45257.0
kuud,10,145763.0
selgub,10,69506.0
donetski,10,3029.0
kestnud,10,38254.0
õiguste,10,39254.0
valesti,10,63904.0
kolmandast,10,6642.0
kasutamine,10,116932.0
töötajate,10,72223.0
tulemuseks,10,40085.0
põder,10,8849.0
tahes,10,50974.0
mõjutab,10,55723.0
halvasti,10,39695.0
jõulude,10,14107.0
kohustuslik,10,30650.0
vältida,10,90736.0
saksamaal,10,49142.0
reformi,10,11094.0
loeb,9,37618.0
arvestama,9,28596.0
berliini,9,15951.0
rahast,9,15694.0
kasv,9,33313.0
vanad,9,56722.0
kaotanud,9,47269.0
ettevõtjad,9,23551.0
tegelikkuses,9,23341.0
omavalitsus,9,13979.0
osakaalu,9,10370.0
halb,9,69530.0
piima,9,34608.0
agressiooni,9,2324.0
raamat,9,136173.0
komisjonide,9,4378.0
sotsid,9,8366.0
arenenud,9,32812.0
avalikkuse,9,22302.0
jäid,9,78288.0
lubatud,9,110208.0
kodanikele,9,11713.0
toomas,9,64206.0
sotsiaalse,9,30280.0
piirkonnas,9,71151.0
leidub,9,91505.0
püsinud,9,12346.0
püsti,9,54966.0
püüab,9,40498.0
auto,9,387017.0
õigel,9,32976.0
õigeks,9,21819.0
pikaajaline,9,18782.0
jõudis,9,116488.0
vajadusel,9,104994.0
valguses,9,25092.0
olulised,9,55919.0
põlevkivi,9,7792.0
kohalikud,9,51488.0
valitud,9,119667.0
põhjalikult,9,37374.0
arengu,9,67218.0
teadmine,9,24141.0
kohas,9,97133.0
otsida,9,66736.0
vajame,9,15976.0
toona,9,38769.0
poliitikute,9,13207.0
vanemaga,9,2364.0
luba,9,54133.0
