LEMMA,Votmesus,Fookus suhteline sagedus mil.,Referents suhteline sagedus mil.
valeuudine,4595.180704441042,4594.180704441042,0.0
teabe,4333.754131160295,4594.180704441042,0.06032335138743861
roonemaa,3538.5816350610653,7656.967840735069,1.1641348513365346
allikapesu,3063.7871362940277,3062.7871362940277,0.0
valeuudis,2816.7897359637545,7656.967840735069,1.7186863623368476
silverman,2629.6446667500177,3062.7871362940277,0.16509548800772675
klaassen,2526.035375498436,4594.180704441042,0.8191276135767981
valeinfo,904.793746813008,4594.180704441042,4.0787051973190955
halvustama,514.8574801221193,3062.7871362940277,4.95074803141119
ingl,261.61397430356544,3062.7871362940277,10.711098936706426
termin,220.03297569817738,6125.5742725880555,26.843891367410183
veenma,140.5890185806705,3062.7871362940277,20.792506749280815
avaldamine,140.2420668833287,4594.180704441042,31.766065179743116
kommunikatsioon,120.10484484692273,3062.7871362940277,24.50927183827528
päevaleht,112.37070474826838,3062.7871362940277,26.264998854972834
levima,110.95887766656625,6125.5742725880555,54.21481833115273
ajakirjandus,90.7558068230725,4594.180704441042,49.632360234528
usaldusväärne,66.19720131743826,3062.7871362940277,45.282729108170585
süüria,64.7390775671913,3062.7871362940277,46.32515895232194
ajakirjanik,63.187542877681956,6125.5742725880555,95.95857749126024
selgitus,53.12805782796208,3062.7871362940277,56.667967954241895
ühendriik,49.401055512603996,3062.7871362940277,61.01865738500962
uudis,49.0701090195158,9188.361408882083,186.270042649128
ekspert,42.26524171640346,3062.7871362940277,71.48952122057659
eriala,38.47431253576038,3062.7871362940277,78.63201768573138
kippuma,32.93289576766729,3062.7871362940277,92.0312098246149
allikas,27.7306690350744,3062.7871362940277,109.48370785497018
näiteks,27.586915126248698,7656.967840735069,276.5942074599194
meedia,26.461058242565226,3062.7871362940277,114.78475464619262
sõda,25.014891469214803,3062.7871362940277,121.4785300413777
ameerika,22.29030662226519,3062.7871362940277,136.44930422956554
sõnama,19.405682195468664,3062.7871362940277,156.88092917493202
venemaa,18.57321744341244,6125.5742725880555,328.86068737169893
ülikool,18.42449168303676,6125.5742725880555,331.5233812680287
oskus,17.46531191983235,3062.7871362940277,174.42126647134268
seisukoht,17.191095555186994,3062.7871362940277,177.21942333219158
selguma,14.60814042101689,3062.7871362940277,208.7314954534613
mõju,13.740162908231877,3062.7871362940277,221.98040836608135
soovitama,12.081242745440377,4594.180704441042,379.35662400503656
nõukogu,11.574201556112936,3062.7871362940277,263.70829296003427
noor,10.363179496546945,6125.5742725880555,590.1867371041345
tartu,9.182785128560317,6125.5742725880555,666.1804018949732
ajal,9.087418023947352,3062.7871362940277,336.146054932245
liit,6.144976318307675,3062.7871362940277,497.5840428979544
töötama,5.829881316158488,3062.7871362940277,524.5316480975746
eesti,5.68959121805832,18376.722817764166,3229.060317766715
sõna,5.000440100665565,4594.180704441042,917.9552543243977
mõte,4.838671549280784,3062.7871362940277,632.1876642359464
teema,4.4885406570926945,3062.7871362940277,681.579789369335
kasutama,3.9747876340129196,6125.5742725880555,1540.3588942870656
euroopa,3.3020311803481115,3062.7871362940277,926.8492445886088
ütlema,2.4623458730665564,4594.180704441042,1865.1800337246268
inimene,2.2848854607647624,6125.5742725880555,2680.3485305024706
kaks,2.1685333027230236,3062.7871362940277,1411.8384066995122
aasta,1.7832234872473127,7656.967840735069,4293.452095040736
suur,1.760461538604097,3062.7871362940277,1739.331764773096
võtma,1.3524594335868358,3062.7871362940277,2264.3449413773596
