SONAVORM,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus
allikapesu,2894051.1944869785,0.0,0.0030627871362940277,0.0
valeuudiste,84417.54239711918,0.0,0.009188361408882083,6.466239946969297e-07
silverman,44519.93218691638,0.0,0.0030627871362940277,1.354629645191604e-07
roonemaa,33736.01834940106,0.0,0.007656967840735069,1.1292108057964387e-06
klaassen,8859.881573967536,0.0,0.0030627871362940277,6.889561711091673e-07
valeinfo,3037.5788312120294,0.0,0.0030627871362940277,2.0118366839915932e-06
termini,1991.2202410847976,0.0,0.0030627871362940277,3.0680244854769218e-06
levivad,971.4248222319633,2.9212558748312608e-213,0.0030627871362940277,6.27786176193484e-06
kommunikatsiooni,574.0725605207832,7.301814496519397e-127,0.0030627871362940277,1.0594685451572772e-05
ingl,568.7530578935103,1.0484811377106298e-125,0.0030627871362940277,1.0693107761731224e-05
veenda,534.492469126237,2.975743651521007e-118,0.0030627871362940277,1.1373597497557944e-05
ajakirjanduse,450.5904105772809,5.36569630991267e-100,0.0030627871362940277,1.347327344760493e-05
teabe,321.4063696283853,7.154273742917715e-72,0.004594180704441042,4.209829113756001e-05
süüria,219.13269505968557,1.3981912353254813e-49,0.0030627871362940277,2.7453474707746405e-05
ajakirjanik,201.74446955643484,8.69275923277422e-46,0.0030627871362940277,2.9774336279547333e-05
oskus,188.87375574903115,5.599762182389953e-43,0.0030627871362940277,3.176183196210189e-05
ülikooli,115.10944635686783,7.447176445887004e-27,0.006125574272588055,0.00019927237063414679
venemaa,105.75012734023356,8.364447727051253e-25,0.006125574272588055,0.00021571101303942896
uudised,92.59304609415399,6.423273200712668e-22,0.0030627871362940277,6.344534939784114e-05
selgus,56.29344867679023,6.242306962665072e-14,0.0030627871362940277,0.00010171575348332457
nõukogude,53.487423301383224,2.602536206605433e-13,0.0030627871362940277,0.0001066929591249934
ameerika,52.70315608868797,3.8796716420012186e-13,0.0030627871362940277,0.00010817246869060111
tartu,40.626235439255176,1.8431527201588515e-10,0.006125574272588055,0.0005075617368783188
töötab,40.09213741814395,2.4226212180834403e-10,0.0030627871362940277,0.00013922946991543923
sõnas,39.70939010905931,2.9470515728099974e-10,0.0030627871362940277,0.0001404539281181632
eestis,38.4531359744052,5.608438842360528e-10,0.006125574272588055,0.0005316667364318572
näiteks,31.03520729833732,2.5339014383491233e-08,0.007656967840735069,0.000947950776225699
sõna,27.2722810274698,1.7672682655888898e-07,0.0030627871362940277,0.00019671868209207856
eesti,25.463126233984013,4.509192254417984e-07,0.01225114854517611,0.0024630288947593763
aastal,13.289171264270264,0.000266943451995011,0.006125574272588055,0.0011956680895460106
kaks,4.598851595418642,0.03199338017772738,0.0030627871362940277,0.0007560886530725144
euroopa,4.208569953234778,0.040220230982988894,0.0030627871362940277,0.0007971117069292035
ajal,3.099522708542505,0.07831525166654563,0.0030627871362940277,0.000945415078858606
