LEMMA,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus
valeuudine,4341076.796324646,0.0,0.004594180704441042,0.0
allikapesu,2894051.1944869785,0.0,0.0030627871362940277,0.0
teabe,217048.15294669877,0.0,0.004594180704441042,6.032335138743862e-08
silverman,36629.61621061175,0.0,0.0030627871362940277,1.6509548800772675e-07
roonemaa,32728.21989377422,0.0,0.007656967840735069,1.1641348513365348e-06
valeuudis,22197.338253658425,0.0,0.007656967840735069,1.7186863623368477e-06
klaassen,16754.951694787193,0.0,0.004594180704441042,8.19127613576798e-07
valeinfo,3370.539195604378,0.0,0.004594180704441042,4.078705197319096e-06
halvustama,1232.7850587921864,4.5737308234128836e-270,0.0030627871362940277,4.950748031411191e-06
termin,904.6690965482807,9.480214302584588e-199,0.006125574272588055,2.6843891367410184e-05
ingl,567.7912420591719,1.697393449944758e-125,0.0030627871362940277,1.0711098936706426e-05
levima,443.97314843194266,1.4782392132356124e-98,0.006125574272588055,5.4214818331152725e-05
avaldamine,427.8678512214121,4.7309972120784044e-95,0.004594180704441042,3.1766065179743114e-05
veenma,290.59493455830636,3.6891465754039336e-65,0.0030627871362940277,2.0792506749280816e-05
uudis,284.1339323673939,9.435475079342721e-64,0.009188361408882083,0.000186270042649128
ajakirjandus,271.7211757350402,4.7839963084952924e-61,0.004594180704441042,4.963236023452801e-05
ajakirjanik,247.41792770031856,9.492185178845522e-56,0.006125574272588055,9.595857749126025e-05
kommunikatsioon,245.92965080956378,2.003738972553479e-55,0.0030627871362940277,2.450927183827528e-05
päevaleht,229.22665090678242,8.7901914537464e-52,0.0030627871362940277,2.6264998854972836e-05
usaldusväärne,131.30334267553965,2.125185013293208e-30,0.0030627871362940277,4.5282729108170585e-05
näiteks,128.62892249184983,8.176021397853446e-30,0.007656967840735069,0.00027659420745991943
süüria,128.260300012751,9.844671240422124e-30,0.0030627871362940277,4.632515895232194e-05
selgitus,104.13490339718858,1.889992684024025e-24,0.0030627871362940277,5.66679679542419e-05
ühendriik,96.43093034041105,9.24121179940865e-23,0.0030627871362940277,6.101865738500962e-05
ekspert,81.735031366422,1.556106923180657e-19,0.0030627871362940277,7.148952122057659e-05
eriala,73.9569532868862,7.983923057948382e-18,0.0030627871362940277,7.86320176857314e-05
venemaa,66.7424528361101,3.09399704029892e-16,0.006125574272588055,0.0003288606873716989
ülikool,66.14577174885952,4.187770479664398e-16,0.006125574272588055,0.00033152338126802867
kippuma,62.62416924269164,2.501645617542965e-15,0.0030627871362940277,9.20312098246149e-05
allikas,52.025825382587485,5.477545802437496e-13,0.0030627871362940277,0.00010948370785497018
meedia,49.44546631328971,2.039633539169057e-12,0.0030627871362940277,0.00011478475464619263
eesti,46.55123344085303,8.925405413013875e-12,0.018376722817764167,0.003229060317766715
sõda,46.50932485161921,9.118349662299556e-12,0.0030627871362940277,0.0001214785300413777
ameerika,40.98673341628444,1.532660715365333e-10,0.0030627871362940277,0.00013644930422956555
sõnama,35.15349365802486,3.0471425015229064e-09,0.0030627871362940277,0.00015688092917493204
noor,33.921345918548646,5.73856327258333e-09,0.006125574272588055,0.0005901867371041345
oskus,31.238389977676494,2.2820820465972205e-08,0.0030627871362940277,0.0001744212664713427
seisukoht,30.68571084446975,3.0339107418186495e-08,0.0030627871362940277,0.0001772194233321916
soovitama,30.590428826673943,3.18661876673071e-08,0.004594180704441042,0.00037935662400503657
tartu,29.23457883211837,6.412455008101453e-08,0.006125574272588055,0.0006661804018949732
selguma,25.48803326222447,4.4513532076585865e-07,0.0030627871362940277,0.00020873149545346128
mõju,23.745110029241506,1.099744312246627e-06,0.0030627871362940277,0.00022198040836608136
nõukogu,19.405762610099885,1.0568767508418072e-05,0.0030627871362940277,0.0002637082929600343
ajal,14.447223363471707,0.00014414220045943824,0.0030627871362940277,0.000336146054932245
sõna,9.62261896106794,0.001921954614249681,0.004594180704441042,0.0009179552543243977
kasutama,8.92645529404526,0.0028106931039307624,0.006125574272588055,0.0015403588942870658
liit,8.639817162006366,0.0032889443613654708,0.0030627871362940277,0.0004975840428979544
töötama,8.024874724834211,0.004613921712570327,0.0030627871362940277,0.0005245316480975746
mõte,6.106145541316501,0.013471260321158134,0.0030627871362940277,0.0006321876642359464
teema,5.436077808173036,0.019724914309487588,0.0030627871362940277,0.000681579789369335
euroopa,3.217236909397263,0.07286653128550762,0.0030627871362940277,0.0009268492445886088
inimene,2.899494017985848,0.08860736207017907,0.006125574272588055,0.0026803485305024704
ütlema,2.612220080592989,0.10604321298431751,0.004594180704441042,0.0018651800337246267
aasta,1.7280710418335248,0.18865743090421117,0.007656967840735069,0.004293452095040735
kaks,1.2624328835044314,0.26119108085925324,0.0030627871362940277,0.0014118384066995123
suur,0.6587260927506126,0.41701004096982774,0.0030627871362940277,0.001739331764773096
võtma,0.1842644930074718,0.6677337301643884,0.0030627871362940277,0.0022643449413773595
