SONAVORM,Votmesus,Fookus suhteline sagedus mil.,Referents suhteline sagedus mil.
miesi,103.14115734007524,105.30664484929,0.03069082789887228
missioonipreemia,84.98968875182037,105.30664484929,0.25081814524250795
luukase,61.580236402764,97.20613370703691,0.5947670785919387
sotsiaal,59.33571900894807,113.40715599154306,0.9281329678383099
bidia,57.70357799577153,56.70357799577153,0.0
lasmann,54.58417750339425,56.70357799577153,0.05714843815652079
lng,50.415575055593585,129.60817827604922,1.5906315286898287
castro,45.86476715456695,121.50766713379615,1.6710626638730803
ajateenistus,45.27000743326807,105.30664484929,1.3482798187297684
lõksust,44.897425864404134,64.80408913802461,0.4656539405346139
ndate,44.41635030369961,64.80408913802461,0.481528506689203
ajateenistuse,44.32116173037869,145.80920056055538,2.3123951365184805
charleroi,43.55317516595698,56.70357799577153,0.3248994539639238
tuuletehnoloogia,42.34347625179501,48.603066853518456,0.17144531446956238
elumaleva,41.50255571126538,40.50255571126538,0.0
kibestunu,40.98209729947788,40.50255571126538,0.012699652923671288
fukuyama,40.54148503191877,56.70357799577153,0.42332176412237627
kurkov,40.47453072631992,40.50255571126538,0.025399305847342575
giulietto,40.10203056940902,40.50255571126538,0.03492404554009604
piontkovski,39.776628667866866,40.50255571126538,0.04339048082254356
pannoo,39.11633130901658,56.70357799577153,0.47517868022736737
chiesa,36.25186854952596,48.603066853518456,0.3682899347864673
kodakondsuspoliitika,36.19587711757203,48.603066853518456,0.3704065436070792
eestlasteks,36.13511644625121,56.70357799577153,0.5968836874125505
krimm,35.91294407955059,97.20613370703691,1.7345609284914367
eetikakoodeksi,35.70913648001305,56.70357799577153,0.6159331667980574
riigipidamise,34.76887740795763,40.50255571126538,0.19366970708598713
riigikogulaste,34.54554415449576,64.80408913802461,0.9048502708115792
etendusasutuste,33.52890897050529,48.603066853518456,0.4794118978685911
eliitkoolide,33.208424815146294,40.50255571126538,0.24975984083220198
läänel,31.32506062033253,40.50255571126538,0.3248994539639238
riigireformi,30.789175396256887,97.20613370703691,2.189631824922991
kihistumist,30.7358319110552,40.50255571126538,0.35029875981126635
teatrite,30.57613014267247,97.20613370703691,2.211856217539416
naturalisatsiooni,30.21484856588325,40.50255571126538,0.37358145683799704
ebola,29.98531304663009,72.90460028027769,1.4646933038634218
kremlis,28.774385411922946,64.80408913802461,1.2868981629320237
nõuandev,28.373449732990153,48.603066853518456,0.7482212180863
riigikogulase,27.75185411113356,48.603066853518456,0.7873784812676199
andestamine,27.33186881808482,56.70357799577153,1.1112196308212376
hughes,26.78445275150589,48.603066853518456,0.8519350502962822
infosõja,26.73384607173775,40.50255571126538,0.552434902179701
sotsiaalsüsteemi,25.204634357890647,40.50255571126538,0.6466239946969298
ajateenistusse,24.189559824358803,72.90460028027769,2.055227164814137
jäägem,24.04555738390015,40.50255571126538,0.7259968254698753
isi,23.64909332099876,48.603066853518456,1.0974616734872604
varjamise,23.219791524977694,40.50255571126538,0.7873784812676199
elatisraha,22.224927231011662,48.603066853518456,1.2318663335961149
annekteerimist,22.144623750242175,40.50255571126538,0.874159442912707
tuuliku,21.955524485719266,89.10562256478384,3.104006835427324
keskmaa,21.691419710640318,40.50255571126538,0.9133167060940268
puusepp,21.505449225998404,105.30664484929,3.943242232799935
agressiooni,21.362801572311124,72.90460028027769,2.459499449551006
maksuvabastuse,21.36059711667373,40.50255571126538,0.9429492295825931
vanemaga,21.10455560808092,72.90460028027769,2.5018316259632436
kuupmeetri,20.52222864243934,40.50255571126538,1.0223220603555387
