LEMMA,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus
elumalev,84196.59101316491,0.0,8.910562256478383e-05,0.0
palgalõht,68888.11977407204,0.0,7.290460028027768e-05,0.0
bidia,61233.88417882398,0.0,6.480408913802461e-05,0.0
üksikem,61233.88417882398,0.0,6.480408913802461e-05,0.0
jõuluv,53579.6485997748,0.0,5.6703577995771534e-05,0.0
klaipe,45925.413036924554,0.0,4.860306685351846e-05,0.0
käibem,45925.413036924554,0.0,4.860306685351846e-05,0.0
inkrementalist,45925.413036924554,0.0,4.860306685351846e-05,0.0
pensioniea,45925.413036924554,0.0,4.860306685351846e-05,0.0
arvatud,38271.17749027318,0.0,4.050255571126538e-05,0.0
survel,38271.17749027318,0.0,4.050255571126538e-05,0.0
tekkinud,22130.39777089306,0.0,7.290460028027768e-05,2.0107783795812872e-08
lasmann,17226.058627539864,0.0,0.00010530664484928998,6.561487343896832e-08
euron,16269.867290246772,0.0,8.100511142253076e-05,3.91572631813198e-08
kurkov,10125.342423517292,0.0,5.6703577995771534e-05,3.174913230917822e-08
pandud,9560.295994048836,0.0,4.050255571126538e-05,1.587456615458911e-08
mõeldud,9560.295994048836,0.0,4.050255571126538e-05,1.587456615458911e-08
vandenõunarratiiv,9175.48534875962,0.0,4.860306685351846e-05,2.5399305847342577e-08
missioonipreemia,5910.218565730932,0.0,0.00012150766713379614,2.910337128341337e-07
sattunud,5428.444380883793,0.0,6.480408913802461e-05,8.678096164508713e-08
giulietto,5027.000957745308,0.0,4.050255571126538e-05,3.492404554009604e-08
mies,4256.889772822431,0.0,0.00012960817827604922,4.667122449449198e-07
piontkovski,4062.470774373511,0.0,4.050255571126538e-05,4.444878523284951e-08
allians,3814.129163944451,0.0,5.6703577995771534e-05,9.63057013378406e-08
euros,3614.6465622777932,0.0,4.860306685351846e-05,7.408130872141585e-08
pikamägi,3165.298252157087,0.0,5.6703577995771534e-05,1.1747178954395941e-07
vabakond,2853.114865726521,0.0,7.290460028027768e-05,2.190690129333297e-07
tuuletehnoloogia,2024.9114293006048,0.0,5.6703577995771534e-05,1.873198806241515e-07
ratsionalist,1975.896732355166,0.0,6.480408913802461e-05,2.518764496528139e-07
ajateenistus,1721.2660954434623,0.0,0.00036452300140138845,9.016753575806614e-06
toimunud,1498.7549316446004,0.0,5.6703577995771534e-05,2.5505136288373167e-07
kirjutatud,1431.0837858468276,0.0,4.860306685351846e-05,1.95786315906599e-07
suhtlemiskord,1423.567978403377,1.5888671942783e-311,4.860306685351846e-05,1.9684462031690495e-07
riik,1340.2638417986007,2.01106488436643e-293,0.004285170394251877,0.0009965713974439746
lng,1257.15063747019,2.3179776235645618e-275,0.0001377086894183023,1.7959425842891812e-06
donetski,1240.1821642523425,1.1290484870950362e-271,0.00010530664484928998,1.0678291499986941e-06
kodakondsuspoliitika,1170.103049008657,1.917824733063787e-256,7.290460028027768e-05,5.429101624869475e-07
puupõld,1126.9744744024156,4.531069986206931e-247,4.860306685351846e-05,2.4975984083220197e-07
krimm,1005.5270760504588,1.129489171234352e-220,0.0003807240236858946,1.6258730655530164e-05
charleroi,957.9545457646449,2.4753058108906967e-210,5.6703577995771534e-05,4.010973715059515e-07
koolivalik,919.2011793045514,6.572999788222559e-202,4.860306685351846e-05,3.069082789887228e-07
kibestunu,910.2466919571863,5.812017978078077e-200,4.050255571126538e-05,2.1483579529210596e-07
riigipidamine,905.8438531024582,5.265526904318415e-199,4.050255571126538e-05,2.158940997024119e-07
putin,875.157645743697,2.467936081051222e-192,0.0006480408913802461,5.0314966579175334e-05
fukuyama,868.7730131064196,6.030115457714822e-191,5.6703577995771534e-05,4.423712435078832e-07
etendusasutus,866.2494359859681,2.1327682513319734e-190,8.100511142253076e-05,9.037919664012733e-07
riigikogu,837.5256886321254,3.745686922665614e-184,0.0011826746267689491,0.00015541306095783768
kreml,807.3573076098018,1.3566227513692976e-177,0.00036452300140138845,1.828326699244543e-05
eliitkool,795.8485243449262,4.311908939031697e-175,0.00011340715599154307,1.913414373833141e-06
puusepa,786.9553322551993,3.7002898499480445e-173,4.860306685351846e-05,3.587651950937139e-07
venemaa,783.6807602118511,1.9063524037640545e-172,0.0017740119401534237,0.0003288606873716989
infosõda,765.1064176637528,2.0833667355951937e-168,0.00010530664484928998,1.7176280579265417e-06
chiesa,739.0670512389279,9.564041136337933e-163,4.860306685351846e-05,3.820478921204446e-07
riigikirik,706.134849439386,1.3856357348697082e-155,5.6703577995771534e-05,5.439684668972535e-07
ukraina,699.5490970434739,3.747623992685032e-154,0.0008424531587943199,9.776298651083188e-05
kihistumine,668.4897263613523,2.1283632708577489e-147,8.910562256478383e-05,1.408603170117207e-06
jäänud,659.0231243966784,2.4365763952515878e-145,6.480408913802461e-05,7.598625665996654e-07
neoliberaalne,658.8898326490662,2.6047602722558092e-145,8.100511142253076e-05,1.1831843307220417e-06
eetikakoodeks,624.4608267350358,8.00846247864889e-138,0.00010530664484928998,2.0922678191748447e-06
luukas,611.3042396796778,5.822034466829047e-135,9.720613370703692e-05,1.8245168033674418e-06
salasepitsus,570.0598535719349,5.4487505384394615e-126,4.050255571126538e-05,3.439489333494307e-07
ebola,542.7490261693872,4.757627659290061e-120,8.910562256478383e-05,1.7250361887986832e-06
nõuandev,539.8142309941649,2.0694082513267186e-119,0.00010530664484928998,2.407642533446015e-06
lääne-ukraina,533.8116120924013,4.185212388173371e-118,4.050255571126538e-05,3.672316303761614e-07
riigireform,529.1592694209572,4.3038249116006955e-117,0.00012150766713379614,3.246877930818626e-06
ida-ukraina,479.6940240229056,2.4907113693231994e-106,0.00011340715599154307,3.1156481839406892e-06
näiteks,478.5793688190532,4.35382316833286e-106,0.0013122828050449984,0.00027659420745991943
neoliberalism,475.9034722403443,1.6639751835286971e-105,4.860306685351846e-05,5.915921653610208e-07
nato,473.6450644752838,5.1592014095598594e-105,0.0005103322019619438,5.417036954591988e-05
castro,470.0576060606026,3.113387807752431e-104,0.00012150766713379614,3.633159040580294e-06
naturalisatsioon,469.7650291602851,3.604957243704687e-104,4.050255571126538e-05,4.1697193766054064e-07
pannoo,455.04750323441374,5.749798933529133e-101,5.6703577995771534e-05,8.39235397372611e-07
erakond,452.92028106215497,1.6694988856389047e-100,0.0008424531587943199,0.00013595507606995266
maidan,442.4995529844343,3.093503538392601e-98,5.6703577995771534e-05,8.625180943993416e-07
eesti,425.79753992650694,1.3352526648215526e-94,0.006561414025224992,0.003229060317766715
liberaalne,399.04752138623365,8.877238394174584e-89,0.00021061328969857997,1.215674276118434e-05
piimatootja,393.1596973909406,1.6982997079314021e-87,8.910562256478383e-05,2.3515523996998003e-06
