LEMMA,Votmesus,Fookus suhteline sagedus,Referents suhteline sagedus
bidia,inf,6.480408913802461e-05,0.0
jõuluv,inf,5.6703577995771534e-05,0.0
käibem,inf,4.860306685351846e-05,0.0
palgalõht,inf,7.290460028027768e-05,0.0
inkrementalist,inf,4.860306685351846e-05,0.0
survel,inf,4.050255571126538e-05,0.0
pensioniea,inf,4.860306685351846e-05,0.0
arvatud,inf,4.050255571126538e-05,0.0
elumalev,inf,8.910562256478383e-05,0.0
klaipe,inf,4.860306685351846e-05,0.0
üksikem,inf,6.480408913802461e-05,0.0
tekkinud,11.824040054151352,7.290460028027768e-05,2.0107783795812872e-08
mõeldud,11.317080065431469,4.050255571126538e-05,1.587456615458911e-08
pandud,11.317080065431469,4.050255571126538e-05,1.587456615458911e-08
euron,11.014517295411038,8.100511142253076e-05,3.91572631813198e-08
vandenõunarratiiv,10.902042566152625,4.860306685351846e-05,2.5399305847342577e-08
kurkov,10.802506892601711,5.6703577995771534e-05,3.174913230917822e-08
lasmann,10.648285973906841,0.00010530664484928998,6.561487343896832e-08
giulietto,10.179576541681534,4.050255571126538e-05,3.492404554009604e-08
piontkovski,9.831653238261227,4.050255571126538e-05,4.444878523284951e-08
sattunud,9.544490561534541,6.480408913802461e-05,8.678096164508713e-08
euros,9.357722049928816,4.860306685351846e-05,7.408130872141585e-08
allians,9.201602848011532,5.6703577995771534e-05,9.63057013378406e-08
pikamägi,8.914981621860123,5.6703577995771534e-05,1.1747178954395941e-07
missioonipreemia,8.705645353349121,0.00012150766713379614,2.910337128341337e-07
vabakond,8.378480610095613,7.290460028027768e-05,2.190690129333297e-07
tuuletehnoloogia,8.241791938127232,5.6703577995771534e-05,1.873198806241515e-07
mies,8.117407720595105,0.00012960817827604922,4.667122449449198e-07
ratsionalist,8.007224802844682,6.480408913802461e-05,2.518764496528139e-07
kirjutatud,7.955623606357469,4.860306685351846e-05,1.95786315906599e-07
suhtlemiskord,7.94784625576575,4.860306685351846e-05,1.9684462031690495e-07
toimunud,7.796508151980268,5.6703577995771534e-05,2.5505136288373167e-07
puupõld,7.60436201751194,4.860306685351846e-05,2.4975984083220197e-07
kibestunu,7.558634743854811,4.050255571126538e-05,2.1483579529210596e-07
riigipidamine,7.551545319068492,4.050255571126538e-05,2.158940997024119e-07
koolivalik,7.307095976858847,4.860306685351846e-05,3.069082789887228e-07
charleroi,7.143343450039137,5.6703577995771534e-05,4.010973715059515e-07
puusepa,7.081863603737437,4.860306685351846e-05,3.587651950937139e-07
kodakondsuspoliitika,7.069152551987884,7.290460028027768e-05,5.429101624869475e-07
fukuyama,7.002038356129346,5.6703577995771534e-05,4.423712435078832e-07
chiesa,6.991150039986611,4.860306685351846e-05,3.820478921204446e-07
