LEMMA,Võtmesus,Fookus suhteline sagedus,Referents suhteline sagedus
lisakaitse,10.097244257756953,0.0015313935681470138,1.3980201260141475e-06
gru,9.990953259384366,0.0015313935681470138,1.5049088714550476e-06
väärarusaam,9.965809802472055,0.0015313935681470138,1.5313664817126962e-06
tõsiseltvõetavus,9.944040328447501,0.0015313935681470138,1.5546491787394267e-06
desinformatsioon,9.891011821510459,0.0015313935681470138,1.6128559213062536e-06
kommunikatsioonispetsialist,9.844439183496295,0.0015313935681470138,1.6657711418215506e-06
ebausaldusväärne,9.812710398280334,0.0015313935681470138,1.7028117961822585e-06
rõhumine,9.618385097653874,0.0015313935681470138,1.9483384193732368e-06
ühiskonnateadus,9.502485977894073,0.0015313935681470138,2.1113172985603516e-06
umbusk,9.479528635536882,0.0015313935681470138,2.1451830396901415e-06
holger,9.36268333805455,0.0015313935681470138,2.3261530938524576e-06
arenenum,9.361371200591758,0.0015313935681470138,2.3282697026730695e-06
rahvuskonservatiiv,9.282885570194974,0.0015313935681470138,2.4584411451407e-06
halvustama,9.272982862651354,0.0030627871362940277,4.950748031411191e-06
bakalaureusetöö,9.250339888203015,0.0015313935681470138,2.514531278886915e-06
bakalaureuseõpe,9.165450990616502,0.0015313935681470138,2.66692711397097e-06
fake,9.141604248662134,0.0015313935681470138,2.7113758992038198e-06
magistrant,9.104360582385736,0.0015313935681470138,2.782282294694318e-06
naeruvääristama,9.005227390366484,0.0015313935681470138,2.980185219421529e-06
paljusus,8.679206540845238,0.0015313935681470138,3.7358145683799703e-06
päevakajaline,8.645677469571337,0.0015313935681470138,3.8236538344353634e-06
peavoolumeedia,8.552892538344231,0.0015313935681470138,4.077646892908789e-06
craig,8.525814551537609,0.0015313935681470138,4.154903114861123e-06
tekkepõhjus,8.512645844114294,0.0015313935681470138,4.193002073632137e-06
südameasi,8.425740019711478,0.0015313935681470138,4.453344958567399e-06
sputnik,8.363668224911018,0.0015313935681470138,4.649131274473997e-06
meediaväljaanne,8.34636677597679,0.0015313935681470138,4.7052214082202125e-06
rahastatav,8.335375992058815,0.0015313935681470138,4.741203758170614e-06
vastandumine,8.300694917591509,0.0015313935681470138,4.856558938893961e-06
provokatsioon,8.279783666095497,0.0015313935681470138,4.9274653343844594e-06
intervjueerima,8.212584966207597,0.0015313935681470138,5.162408913472379e-06
ingl,8.159594787666556,0.0030627871362940277,1.0711098936706426e-05
elukutseline,7.99781780068218,0.0015313935681470138,5.99106126674193e-06
maia,7.886050448266028,0.0015313935681470138,6.473648077841439e-06
soodustav,7.883929357404823,0.0015313935681470138,6.483172817534192e-06
villem,7.856173152508461,0.0015313935681470138,6.6091110423606e-06
ründamine,7.855018534566969,0.0015313935681470138,6.614402564412129e-06
termin,7.834107468985279,0.006125574272588055,2.6843891367410184e-05
kriitiliselt,7.744414750716215,0.0015313935681470138,7.141438160744487e-06
inglis,7.727200390433322,0.0015313935681470138,7.227160817979269e-06
maailmapilt,7.5428180719292905,0.0015313935681470138,8.2124422239741e-06
vastaspool,7.474023176000759,0.0015313935681470138,8.61353959548005e-06
eksitav,7.462195570111246,0.0015313935681470138,8.68444599097055e-06
lääne-euroopa,7.418046539745648,0.0015313935681470138,8.954313615598564e-06
lõputöö,7.2116979726100965,0.0015313935681470138,1.0331167653406592e-05
veenma,7.202637592570677,0.0030627871362940277,2.0792506749280816e-05
avaldamine,7.17617739720956,0.004594180704441042,3.1766065179743114e-05
tõlkimine,6.99184126691174,0.0015313935681470138,1.203186284076824e-05
kommunikatsioon,6.965373670004041,0.0030627871362940277,2.450927183827528e-05
news,6.895871580176857,0.0015313935681470138,1.2859456889627485e-05
päevaleht,6.8655597712922924,0.0030627871362940277,2.6264998854972836e-05
vormistamine,6.82837425929469,0.0015313935681470138,1.3475390056425543e-05
levima,6.8200140610349855,0.006125574272588055,5.4214818331152725e-05
propaganda,6.740678164734941,0.0015313935681470138,1.4319916975849683e-05
eurooplane,6.66669357659954,0.0015313935681470138,1.5073429715987512e-05
vilistlane,6.597380269294119,0.0015313935681470138,1.5815301107611975e-05
usaldusväärsus,6.582971450133776,0.0015313935681470138,1.597404676915787e-05
ajakirjandus,6.5323827309232305,0.004594180704441042,4.963236023452801e-05
levitamine,6.518575173547835,0.0015313935681470138,1.670321850785866e-05
peatoimetaja,6.495182546884006,0.0015313935681470138,1.6976261045717592e-05
välismaine,6.423085408707706,0.0015313935681470138,1.7846187270989075e-05
presidendivalimine,6.405145545070056,0.0015313935681470138,1.806948950156363e-05
sotsiaaldemokraat,6.346123426892822,0.0015313935681470138,1.8824060546111766e-05
agentuur,6.235239320773364,0.0015313935681470138,2.032791111315651e-05
seletus,6.1875895990081995,0.0015313935681470138,2.101051745780384e-05
võrdlemisi,6.184468216786874,0.0015313935681470138,2.1056024547446994e-05
asjatundja,6.117314469572231,0.0015313935681470138,2.2059297128417028e-05
traktor,6.08690621398156,0.0015313935681470138,2.2529184286592863e-05
usaldusväärne,6.079740383479966,0.0030627871362940277,4.5282729108170585e-05
süüria,6.046905366409385,0.0030627871362940277,4.632515895232194e-05
pressiteade,6.042594242830969,0.0015313935681470138,2.323189841503601e-05
väärikas,6.0031156138866315,0.0015313935681470138,2.3876405800912326e-05
ajakirjanik,5.996289521894255,0.006125574272588055,9.595857749126025e-05
sõnastama,5.877350280670236,0.0015313935681470138,2.6051221364091034e-05
kuulsus,5.863236403303418,0.0015313935681470138,2.6307331031385074e-05
põhjamaa,5.806335935963738,0.0015313935681470138,2.7365635441691012e-05
tegelev,5.795220270828732,0.0015313935681470138,2.75772963237522e-05
tarvitama,5.772261453535295,0.0015313935681470138,2.8019667567260084e-05
selgitus,5.7561678228392665,0.0030627871362940277,5.66679679542419e-05
teadlikult,5.718144687865317,0.0015313935681470138,2.9090671630489696e-05
venekeelne,5.693169539503183,0.0015313935681470138,2.9598657747436547e-05
sisaldav,5.687711994922314,0.0015313935681470138,2.9710838014928977e-05
ühendriik,5.649450856751235,0.0030627871362940277,6.101865738500962e-05
uudis,5.624340030868582,0.009188361408882083,0.000186270042649128
teadlikkus,5.620541739415785,0.0015313935681470138,3.112684931591833e-05
tunnustatud,5.567144397576575,0.0015313935681470138,3.2300508906947615e-05
ekspert,5.420969502621917,0.0030627871362940277,7.148952122057659e-05
eriala,5.2835844186904595,0.0030627871362940277,7.86320176857314e-05
üpris,5.263607194700509,0.0015313935681470138,3.9864210527404174e-05
kahtlema,5.253759408744163,0.0015313935681470138,4.013725306526311e-05
vaidlema,5.241901834009752,0.0015313935681470138,4.046850234568886e-05
jm,5.18795298911135,0.0015313935681470138,4.2010451871504616e-05
mihkel,5.066950955968159,0.0015313935681470138,4.568594308849715e-05
kippuma,5.056578098855142,0.0030627871362940277,9.20312098246149e-05
kanada,5.045422993047926,0.0015313935681470138,4.637278265078571e-05
väljaanne,4.97484240093577,0.0015313935681470138,4.869787744022786e-05
töötlemine,4.972117290350829,0.0015313935681470138,4.8789949923924476e-05
tamm,4.949020762498982,0.0015313935681470138,4.9577328405192095e-05
operatsioon,4.92301785484983,0.0015313935681470138,5.0479003762772756e-05
nähtus,4.902983230559498,0.0015313935681470138,5.118489280444682e-05
portaal,4.840034877641426,0.0015313935681470138,5.3467655417476736e-05
allikas,4.806056997999395,0.0030627871362940277,0.00010948370785497018
näiteks,4.79093034954859,0.007656967840735069,0.00027659420745991943
meedia,4.737842157530215,0.0030627871362940277,0.00011478475464619263
kauem,4.69528602603275,0.0015313935681470138,5.9110534533228005e-05
professionaalne,4.679308718333215,0.0015313935681470138,5.9768799876438306e-05
sõda,4.656071841701814,0.0030627871362940277,0.0001214785300413777
suurbritannia,4.642212656698104,0.0015313935681470138,6.132556566399835e-05
tööriist,4.6242252808155575,0.0015313935681470138,6.209495297029077e-05
võimatu,4.623782758944835,0.0015313935681470138,6.211400244967627e-05
relv,4.613861734161105,0.0015313935681470138,6.254261573585018e-05
kurss,4.5569937363880575,0.0015313935681470138,6.505714701473709e-05
ameerika,4.488408159837389,0.0030627871362940277,0.00013644930422956555
asjakohane,4.462547232523929,0.0015313935681470138,6.945863505719949e-05
otseselt,4.451750812227668,0.0015313935681470138,6.998037913148032e-05
üheksa,4.433560921640665,0.0015313935681470138,7.0868296531727e-05
tähtsus,4.414980598717387,0.0015313935681470138,7.178690475987257e-05
levik,4.377548431225071,0.0015313935681470138,7.367386152344805e-05
nõustuma,4.367799756898907,0.0015313935681470138,7.417338120511246e-05
andres,4.363339854580504,0.0015313935681470138,7.440303326214885e-05
instituut,4.350082944553671,0.0015313935681470138,7.508987282443741e-05
tipp,4.338519207547274,0.0015313935681470138,7.56941646427221e-05
tuvastama,4.335818851470119,0.0015313935681470138,7.583597743370309e-05
sotsiaalmeedia,4.306996281795333,0.0015313935681470138,7.736628561100549e-05
sõnama,4.287103212535633,0.0030627871362940277,0.00015688092917493204
edastama,4.265638539089005,0.0015313935681470138,7.961624078731591e-05
ajaleht,4.256348432525142,0.0015313935681470138,8.01305767307246e-05
ajakiri,4.246663457547251,0.0015313935681470138,8.067031197998063e-05
venemaa,4.219296642014976,0.006125574272588055,0.0003288606873716989
ülikool,4.207662575478426,0.006125574272588055,0.00033152338126802867
seletama,4.188589142123328,0.0015313935681470138,8.398386308864854e-05
poliitik,4.187117328672687,0.0015313935681470138,8.406958574588331e-05
oskus,4.134197245260537,0.0030627871362940277,0.0001744212664713427
äärmiselt,4.112374142402423,0.0015313935681470138,8.85398635750156e-05
seisukoht,4.111236465389066,0.0030627871362940277,0.0001772194233321916
emotsioon,4.058703200971712,0.0015313935681470138,9.189574686009574e-05
kiirelt,4.014156537496927,0.0015313935681470138,9.477750976935882e-05
eelistama,3.972117290350829,0.0015313935681470138,9.757989984784895e-05
kommenteerima,3.923078349012612,0.0015313935681470138,0.00010095377430790429
ametlik,3.911944888004283,0.0015313935681470138,0.00010173586126712038
tasand,3.8821935630090927,0.0015313935681470138,0.00010385564500096318
selguma,3.875124893114968,0.0030627871362940277,0.00020873149545346128
olulisem,3.8440239184953797,0.0015313935681470138,0.00010664004390447811
ühendama,3.8364413287803467,0.0015313935681470138,0.00010720200354635056
mõju,3.7863408457535903,0.0030627871362940277,0.00022198040836608136
üha,3.722099565341944,0.0015313935681470138,0.0001160441368944567
viitama,3.703926069026048,0.0015313935681470138,0.00011751518002478195
keelama,3.6965910186133204,0.0015313935681470138,0.00011811418032101512
leiduma,3.601113957323189,0.0015313935681470138,0.0001261953927981113
soovitama,3.598180969659351,0.004594180704441042,0.00037935662400503657
nõukogu,3.537830256970467,0.0030627871362940277,0.0002637082929600343
aktiivne,3.498164822564319,0.0015313935681470138,0.00013552963769700968
õpetama,3.491724083555379,0.0015313935681470138,0.00013613604612411497
noor,3.3756016976483614,0.006125574272588055,0.0005901867371041345
vabariik,3.368005615042701,0.0015313935681470138,0.0001483255963220188
organisatsioon,3.3486704851736966,0.0015313935681470138,0.00015032684996190733
loodud,3.3463262149455137,0.0015313935681470138,0.000150571318280688
dokument,3.292104535654868,0.0015313935681470138,0.00015633801901244508
suurendama,3.2895188414007697,0.0015313935681470138,0.00015661846968117616
tartu,3.2008602854570127,0.006125574272588055,0.0006661804018949732
külm,3.2003813604751556,0.0015313935681470138,0.0001666003968791818
avastama,3.1941537915129383,0.0015313935681470138,0.00016732110218260014
ajal,3.187684980050645,0.0030627871362940277,0.000336146054932245
