LEMMA,Võtmesus,Fookus suhteline sagedus,Referents suhteline sagedus
allikapesu,inf,0.0030627871362940277,0.0
smarted,inf,0.0015313935681470138,0.0
valeuut,inf,0.0015313935681470138,0.0
libauut,inf,0.0015313935681470138,0.0
desinformatsioonivõte,inf,0.0015313935681470138,0.0
sõde,inf,0.0015313935681470138,0.0
valeuudine,inf,0.004594180704441042,0.0
erukinder,inf,0.0015313935681470138,0.0
tekstidautoristsandrane,inf,0.0015313935681470138,0.0
välissõjaväeluure,inf,0.0015313935681470138,0.0
lugemino,inf,0.0015313935681470138,0.0
misinformation,16.557768413395262,0.0015313935681470138,1.587456615458911e-08
teabe,16.216731495560197,0.004594180704441042,6.032335138743862e-08
reklaamlugu,15.657304086946176,0.0015313935681470138,2.963252348856634e-08
sensatsioonilisus,15.335375992058815,0.0015313935681470138,3.7040654360707925e-08
sõtluma,15.216731495560195,0.0015313935681470138,4.0215567591625745e-08
vabaühing,15.107107004385696,0.0015313935681470138,4.3390480822543565e-08
disinformation,14.683299295479122,0.0015313935681470138,5.8206742566826736e-08
kvaliteetmeedia,14.557768413395262,0.0015313935681470138,6.349826461835644e-08
silverman,14.179256790141533,0.0030627871362940277,1.6509548800772675e-07
luureanalüütik,13.972805912674106,0.0015313935681470138,9.524739692753465e-08
tennus,13.792233667032285,0.0015313935681470138,1.0794704985120595e-07
kodanikuorganisatsioon,13.594294289420377,0.0015313935681470138,1.2382161600579505e-07
rooda,13.030030781367056,0.0015313935681470138,1.8308666298292773e-07
uudismeedia,12.683299295479122,0.0015313935681470138,2.3282697026730694e-07
roonemaa,12.68329929547912,0.007656967840735069,1.1641348513365348e-06
klaassen,12.453431753580526,0.004594180704441042,8.19127613576798e-07
valeuudis,12.121251186705967,0.007656967840735069,1.7186863623368477e-06
meediatarbija,12.115930854772703,0.0015313935681470138,3.4500723775973665e-07
meediasisu,12.005227390366484,0.0015313935681470138,3.7252315242769113e-07
refereerimine,11.988925578037383,0.0015313935681470138,3.7675637006891487e-07
meediapädevus,10.984878744974681,0.0015313935681470138,7.556293489584416e-07
kodanikuaktiivsus,10.533921671440895,0.0015313935681470138,1.032905104458598e-06
tööpraktika,10.520679094660043,0.0015313935681470138,1.0424298441513515e-06
keeleruum,10.493115455053008,0.0015313935681470138,1.0625376279471643e-06
ähvardavalt,10.466068579258453,0.0015313935681470138,1.0826454117429772e-06
valeinfo,10.137480653429215,0.004594180704441042,4.078705197319096e-06
