SÕNAVORM,Võtmesus,P-väärtus,Fookus suhteline sagedus,Referents suhteline sagedus
valeuudiste,102.68232334123319,3.934394086447334e-24,0.009188361408882083,6.466239946969297e-07
roonemaa,78.19661153760504,9.327839110668846e-19,0.007656967840735069,1.1292108057964387e-06
allikapesu,56.740085537136785,4.973922954745759e-14,0.0030627871362940277,0.0
silverman,36.073641618917634,1.899995712527816e-09,0.0030627871362940277,1.354629645191604e-07
klaassen,29.593397356363447,5.328614177269869e-08,0.0030627871362940277,6.889561711091673e-07
tekstidautoristsandra,28.370042768568393,1.00203968208689e-07,0.0015313935681470138,0.0
välissõjaväeluure,28.370042768568393,1.00203968208689e-07,0.0015313935681470138,0.0
smarted-i,28.370042768568393,1.00203968208689e-07,0.0015313935681470138,0.0
desinformatsioonivõttega,28.370042768568393,1.00203968208689e-07,0.0015313935681470138,0.0
reklaamlugude,25.597455428473694,4.205936690089522e-07,0.0015313935681470138,1.0583044103059406e-09
valeinfo,25.312656929040735,4.874993363932994e-07,0.0030627871362940277,2.0118366839915932e-06
vabaühingut,23.871365758053173,1.029923819119216e-06,0.0015313935681470138,3.174913230917822e-09
termini,23.626817113342298,1.169463227487298e-06,0.0030627871362940277,3.0680244854769218e-06
sensatsioonilisusele,23.366024061766844,1.3392320047443112e-06,0.0015313935681470138,4.233217641223762e-09
teabe,22.20998965960883,2.44398877595765e-06,0.004594180704441042,4.209829113756001e-05
kodanikuorganisatsiooni,21.485994378816443,3.564223639311318e-06,0.0015313935681470138,1.1641348513365348e-08
misinformation,21.165138801227176,4.21359597583924e-06,0.0015313935681470138,1.3757957333977229e-08
levivad,20.76773209790875,5.184925444311686e-06,0.0030627871362940277,6.27786176193484e-06
tööpraktikaid,20.05622463394478,7.519836919562978e-06,0.0015313935681470138,2.4341001437036635e-08
uudismeedias,19.67037589922662,9.201685126103073e-06,0.0015313935681470138,2.963252348856634e-08
kommunikatsioonispetsialistina,19.67037589922662,9.201685126103073e-06,0.0015313935681470138,2.963252348856634e-08
ülikooli,19.664611815709712,9.229483792271051e-06,0.006125574272588055,0.00019927237063414679
kodanikuaktiivsusele,19.407685719605826,1.0558130454169305e-05,0.0015313935681470138,3.38657411297901e-08
refereerimist,19.347071762244838,1.0898624349381468e-05,0.0015313935681470138,3.492404554009604e-08
luureanalüütik,19.231091879065314,1.158117315015941e-05,0.0015313935681470138,3.7040654360707925e-08
kvaliteetmeedia,19.17553055895867,1.1923203029063758e-05,0.0015313935681470138,3.809895877101386e-08
venemaa,19.05195096094984,1.2720765684352192e-05,0.006125574272588055,0.00021571101303942896
ajakirjanikeni,19.01754874122412,1.2952177480312536e-05,0.0015313935681470138,4.127387200193169e-08
peatoimetajaid,18.734720567429136,1.5022217937258722e-05,0.0015313935681470138,4.762369846376733e-08
kommunikatsiooni,18.680352310241684,1.545670031969491e-05,0.0030627871362940277,1.0594685451572772e-05
ingl,18.643496940466356,1.57583855413338e-05,0.0030627871362940277,1.0693107761731224e-05
