SONAVORM,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus
bidia,53579.6485997748,0.0,5.6703577995771534e-05,0.0
elumaleva,38271.17749027318,0.0,4.050255571126538e-05,0.0
miesi,30781.237134700445,0.0,0.00010530664484928998,3.069082789887228e-08
kibestunu,11249.171099538646,0.0,4.050255571126538e-05,1.2699652923671288e-08
kurkov,6590.205777797554,0.0,4.050255571126538e-05,2.5399305847342577e-08
lasmann,6136.097418792643,0.0,5.6703577995771534e-05,5.7148438156520794e-08
missioonipreemia,5149.645884764295,0.0,0.00010530664484928998,2.5081814524250793e-07
giulietto,5027.000957745308,0.0,4.050255571126538e-05,3.492404554009604e-08
piontkovski,4151.002507615859,0.0,4.050255571126538e-05,4.3390480822543565e-08
luukase,1896.801099548921,0.0,9.720613370703692e-05,5.947670785919386e-07
sotsiaal,1656.314281915158,0.0,0.00011340715599154307,9.2813296783831e-07
tuuletehnoloogia,1628.6425821578096,0.0,4.860306685351846e-05,1.714453144695624e-07
lng,1258.5164462049804,1.170286584508416e-275,0.00012960817827604922,1.5906315286898288e-06
charleroi,1180.8024647387006,9.067490067166688e-259,5.6703577995771534e-05,3.248994539639238e-07
ajateenistuse,1090.3048678510127,4.227414389112877e-239,0.00014580920056055536,2.31239513651848e-06
lõksust,1077.804891454842,2.202467505351253e-236,6.480408913802461e-05,4.656539405346139e-07
castro,1050.9168989874431,1.5382910549790558e-230,0.00012150766713379614,1.6710626638730802e-06
ndate,1042.3722523759725,1.1072720730779989e-228,6.480408913802461e-05,4.81528506689203e-07
riigipidamise,1008.1398902547089,3.0545994899720133e-221,4.050255571126538e-05,1.9366970708598714e-07
ajateenistus,979.5303485304247,5.054477381603319e-215,0.00010530664484928998,1.3482798187297684e-06
fukuyama,907.8098280206005,1.9681856916295968e-199,5.6703577995771534e-05,4.2332176412237625e-07
pannoo,808.7676619815985,6.696169973937526e-178,5.6703577995771534e-05,4.7517868022736733e-07
eliitkoolide,784.2456893459555,1.4367271623260236e-172,4.050255571126538e-05,2.4975984083220197e-07
chiesa,766.6451976315682,9.64247997886644e-169,4.860306685351846e-05,3.6828993478646734e-07
kodakondsuspoliitika,762.271300307985,8.614055741584591e-168,4.860306685351846e-05,3.704065436070792e-07
riigikogu,684.0126948029725,8.959956691466201e-151,0.0009153577590745976,0.00011539010476888762
riigi,653.3130678290074,4.251938750862188e-144,0.0015228960947435784,0.0002880270700044545
krimm,643.9895349132015,4.531877533480856e-142,9.720613370703692e-05,1.7345609284914367e-06
eestlasteks,643.0881216407807,7.117390484067482e-142,5.6703577995771534e-05,5.968836874125505e-07
eetikakoodeksi,623.0119172735612,1.6545452733732039e-137,5.6703577995771534e-05,6.159331667980574e-07
läänel,603.5200702519099,2.871834728956327e-133,4.050255571126538e-05,3.248994539639238e-07
etendusasutuste,588.5477506377667,5.185542403239151e-130,4.860306685351846e-05,4.794118978685911e-07
kihistumist,559.7031758245886,9.754124448799004e-124,4.050255571126538e-05,3.5029875981126635e-07
riigikogulaste,551.8968831679673,4.86790665538505e-122,6.480408913802461e-05,9.048502708115793e-07
naturalisatsiooni,524.6989869910622,4.019979129450157e-116,4.050255571126538e-05,3.7358145683799704e-07
riigireformi,506.0622257834118,4.560033539353073e-112,9.720613370703692e-05,2.189631824922991e-06
riik,504.3176986825201,1.0927836782966495e-111,0.0009234582702168507,0.0001473466647424858
teatrite,500.77208596894354,6.456248370427904e-111,9.720613370703692e-05,2.211856217539416e-06
venemaa,473.9623965092771,4.400782238950489e-105,0.0011259710487731777,0.00021571101303942896
krimmi,438.338521902637,2.489140562789432e-97,0.00021061328969857997,1.1174636268420428e-05
ukraina,435.860378276154,8.617812229239165e-97,0.0005508347576732092,6.640013531141533e-05
ebola,427.3741546671391,6.05908546428342e-95,7.290460028027768e-05,1.4646933038634219e-06
putin,416.8928563639853,1.1581337984443474e-92,0.0003078194234056169,2.3840423450961926e-05
kremli,386.6142813182359,4.518148070997754e-86,0.00019441226741407383,1.0746022982246521e-05
kremlis,384.48436292837897,1.3141950387404916e-85,6.480408913802461e-05,1.2868981629320238e-06
nato,382.6154704152552,3.353801134248071e-85,0.00041312606825490687,4.392704115856868e-05
nõuandev,374.66196577873194,1.8078257609451682e-83,4.860306685351846e-05,7.482212180863e-07
riigikogulase,355.5960076499464,2.5618684424161604e-79,4.860306685351846e-05,7.873784812676198e-07
infosõja,353.2667730020918,8.236881206789632e-79,4.050255571126538e-05,5.52434902179701e-07
andestamine,341.06147448909127,3.747152678781746e-76,5.6703577995771534e-05,1.1112196308212377e-06
hughes,327.96222811746696,2.6706741323739826e-73,4.860306685351846e-05,8.519350502962822e-07
puusepp,320.54247423798864,1.103415079843576e-71,0.00010530664484928998,3.943242232799935e-06
sotsiaalsüsteemi,300.80321484894597,2.2018040961935825e-67,4.050255571126538e-05,6.466239946969297e-07
ajateenistusse,300.1183992025519,3.104389377208993e-67,7.290460028027768e-05,2.055227164814137e-06
tuuliku,293.0581060464629,1.0720980846437817e-65,8.910562256478383e-05,3.104006835427324e-06
preemia,291.6363954726467,2.1877815381400186e-65,0.00025111584540984537,2.2157719438575478e-05
rubla,285.41870294187976,4.9522947581776245e-64,0.00018631175627182076,1.2971637157119915e-05
putini,268.21190793631223,2.7836897852289685e-60,0.00021061328969857997,1.7192155145420007e-05
jäägem,267.0875588471507,4.894131614408109e-60,4.050255571126538e-05,7.259968254698753e-07
vandenõu,258.7337530129158,3.239890177762513e-58,8.910562256478383e-05,3.4860547275477683e-06
isi,252.39622275935326,7.799221798495058e-57,4.860306685351846e-05,1.0974616734872604e-06
