SONAVORM,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus,,SONAVORM,Votmesus,Fookus suhteline sagedus,Referents suhteline sagedus,,SONAVORM,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus,,SONAVORM,Votmesus,Fookus suhteline sagedus mil.,Referents suhteline sagedus mil.
annekteerimist,220.439452,7.25E-50,4.05E-05,8.74E-07,,jagamisest,4.689667779,4.05E-05,1.57E-06,,chiesa,46.58048996,8.79E-12,4.86E-05,3.68E-07,,tšehhoslovakkia,17.4115629,48.60306685,1.848857805
eesti,212.5579917,3.80E-48,0.004520085,0.002463029,,vandenõu,4.675849345,8.91E-05,3.49E-06,,raha,46.57008969,8.84E-12,0.001004463,0.000507646,,tippjuhtide,17.40687591,40.50255571,1.384262169
keskmaa,210.6259861,1.00E-47,4.05E-05,9.13E-07,,ideoloogiliselt,4.662682716,4.05E-05,1.60E-06,,kodakondsuspoliitika,46.51282886,9.10E-12,4.86E-05,3.70E-07,,krimmi,17.38148763,210.6132897,11.17463627
kirikukogu,204.3114756,2.39E-46,8.10E-05,3.61E-06,,donetski,4.659344798,8.10E-05,3.21E-06,,demokraatia,45.88300717,1.26E-11,0.000186312,2.96E-05,,e-residentsuse,17.37284053,48.60306685,1.855207631
maksuvabastuse,203.7385908,3.19E-46,4.05E-05,9.43E-07,,manifesti,4.65648986,4.86E-05,1.93E-06,,donetski,45.35327458,1.65E-11,8.10E-05,3.21E-06,,puusepa,17.26890299,40.50255571,1.403311648
pensioniea,189.2168321,4.71E-43,4.86E-05,1.44E-06,,fraktsioonide,4.646002407,5.67E-05,2.26E-06,,liberaalse,45.14553641,1.83E-11,8.10E-05,3.24E-06,,ideoloogilise,17.22598684,48.60306685,1.879548633
ida-ukraina,189.2168321,4.71E-43,4.86E-05,1.44E-06,,liberaalse,4.643712094,8.10E-05,3.24E-06,,lääs,44.07804849,3.16E-11,8.91E-05,4.65E-06,,kasahstan,16.97733844,40.50255571,1.44458552
lääs,188.7858162,5.85E-43,8.91E-05,4.65E-06,,sussi,4.643084016,4.86E-05,1.95E-06,,agressiooni,43.5802385,4.07E-11,7.29E-05,2.46E-06,,manifesti,16.94572825,48.60306685,1.927172331
kuupmeetri,187.2481843,1.27E-42,4.05E-05,1.02E-06,,lääneriikide,4.639520572,8.91E-05,3.57E-06,,julgeoleku,43.53079944,4.17E-11,0.000145809,1.81E-05,,sussi,16.84221156,48.60306685,1.945163506
klaipeda,187.1864978,1.31E-42,4.86E-05,1.46E-06,,tulumaksuvaba,4.620344316,4.05E-05,1.65E-06,,etendusasutuste,43.46738539,4.31E-11,4.86E-05,4.79E-07,,kremli,16.63646221,194.4122674,10.74602298
poliitikas,186.6084357,1.75E-42,0.000170111,1.57E-05,,paroodia,4.618491143,4.05E-05,1.65E-06,,riigipidamise,43.34339724,4.59E-11,4.05E-05,1.94E-07,,krimmis,16.57699846,64.80408914,2.969602175
vene,186.2456369,2.10E-42,0.000874855,0.000254793,,ida-ukrainas,4.601308694,4.86E-05,2.00E-06,,vanemaga,43.28410309,4.73E-11,7.29E-05,2.50E-06,,ida-ukrainas,16.52162326,48.60306685,2.002311944
jõukamad,181.1536355,2.71E-41,4.05E-05,1.06E-06,,maksusüsteemi,4.552577026,4.86E-05,2.07E-06,,kirikukogu,43.08690665,5.24E-11,8.10E-05,3.61E-06,,putinile,16.18944477,56.703578,2.564271586
rahastamise,168.7013659,1.42E-38,0.000178211,1.86E-05,,kuulumist,4.510584146,4.05E-05,1.78E-06,,toimub,42.21257823,8.19E-11,8.10E-05,0.000376435,,jagamisest,16.15221402,40.50255571,1.56946544
kooseluseaduse,166.3673373,4.60E-38,8.10E-05,4.35E-06,,kirikukogu,4.488414637,8.10E-05,3.61E-06,,kapitali,41.8659129,9.78E-11,0.000121508,1.22E-05,,maksusüsteemi,16.15155446,48.60306685,2.071101731
sõja,164.0601913,1.47E-37,0.000267317,3.91E-05,,lapsevanemana,4.485033979,4.05E-05,1.81E-06,,andestamine,41.28291349,1.32E-10,5.67E-05,1.11E-06,,ideoloogiliselt,15.96806134,40.50255571,1.599097964
keskvõimu,163.9900378,1.52E-37,4.05E-05,1.16E-06,,putinile,4.466818799,5.67E-05,2.56E-06,,parlamendis,41.28289447,1.32E-10,0.000129608,1.47E-05,,lääs,15.94139092,89.10562256,4.652306188
fraktsioonide,161.0138016,6.79E-37,5.67E-05,2.26E-06,,krimmis,4.447743273,6.48E-05,2.97E-06,,kiriku,40.98085091,1.54E-10,0.000307819,8.78E-05,,kiievis,15.80680978,72.90460028,3.675491217
kiievis,160.5562769,8.55E-37,7.29E-05,3.68E-06,,paviljoni,4.430367352,4.05E-05,1.88E-06,,eliitkoolide,40.84398099,1.65E-10,4.05E-05,2.50E-07,,kaitsevõime,15.72714373,56.703578,2.669043723
krimmis,158.4950467,2.41E-36,6.48E-05,2.97E-06,,eston,4.418226789,4.86E-05,2.27E-06,,venemaal,40.40359611,2.07E-10,0.000226814,5.07E-05,,tulumaksuvaba,15.68074056,40.50255571,1.646721662
ukrainas,155.2242349,1.25E-35,0.00015391,1.53E-05,,kaitsevõime,4.409044928,5.67E-05,2.67E-06,,lapsega,40.3459587,2.13E-10,0.000210613,4.39E-05,,paroodia,15.66821054,40.50255571,1.648838271
palgalõhe,148.4364437,3.81E-34,7.29E-05,3.95E-06,,leppimine,4.375347721,4.05E-05,1.95E-06,,kooseluseaduse,39.54057092,3.21E-10,8.10E-05,4.35E-06,,kooseluseaduse,15.32911513,81.00511142,4.349631126
sihtasutusele,148.3772241,3.92E-34,4.86E-05,1.81E-06,,tervishoiutöötajate,4.345810242,5.67E-05,2.79E-06,,poliitik,38.99292545,4.25E-10,0.000137709,1.84E-05,,tervishoiutöötajate,15.23071551,56.703578,2.788632121
tšehhoslovakkia,145.4578917,1.71E-33,4.86E-05,1.85E-06,,kiievis,4.310000872,7.29E-05,3.68E-06,,eestile,38.94492625,4.36E-10,0.000170111,2.94E-05,,eston,15.15412835,48.60306685,2.273237873
e-residentsuse,144.9223588,2.23E-33,4.86E-05,1.86E-06,,alko,4.302749571,4.86E-05,2.46E-06,,hetkel,38.80353468,4.69E-10,0.000145809,0.000475276,,kuulumist,14.94567999,40.50255571,1.776893105
kreml,144.2505888,3.13E-33,7.29E-05,4.05E-06,,maastikud,4.294712252,4.86E-05,2.48E-06,,paraku,38.63644917,5.11E-10,0.000348322,0.000113134,,palgalõhe,14.94423411,72.90460028,3.945358842
venemaaga,142.9339589,6.08E-33,0.000137709,1.33E-05,,ühemõtteliselt,4.287332722,4.86E-05,2.49E-06,,riiki,38.5476257,5.34E-10,0.000267317,7.17E-05,,lapsevanemana,14.77673274,40.50255571,1.808642237
ideoloogilise,142.90294,6.17E-33,4.86E-05,1.88E-06,,erakonnaga,4.273293269,4.86E-05,2.51E-06,,läänel,38.2565694,6.20E-10,4.05E-05,3.25E-07,,kreml,14.64033081,72.90460028,4.048014369
riigikontrolli,141.6032043,1.19E-32,7.29E-05,4.12E-06,,maksmisest,4.269653162,4.86E-05,2.52E-06,,nõuandev,38.22043275,6.32E-10,4.86E-05,7.48E-07,,kodakondsuse,14.62162649,137.7086894,8.486543066
eestis,141.5187691,1.24E-32,0.001312283,0.000531667,,lääs,4.259498514,8.91E-05,4.65E-06,,nn,37.72648698,8.14E-10,0.000340221,0.000110525,,riigikontrolli,14.44649567,72.90460028,4.115745852
rootsi,140.8517463,1.73E-32,0.000510332,0.00012804,,valimisteni,4.251708812,4.05E-05,2.13E-06,,riigikogulase,37.62049394,8.59E-10,4.86E-05,7.87E-07,,paviljoni,14.4181675,40.50255571,1.878490328
putinile,140.7010015,1.87E-32,5.67E-05,2.56E-06,,krimmi,4.236296695,0.000210613,1.12E-05,,kihistumist,37.51597721,9.07E-10,4.05E-05,3.50E-07,,kodakondsust,14.39437284,56.703578,3.008759438
tooteks,140.0528679,2.59E-32,4.05E-05,1.35E-06,,kodakondsust,4.236199105,5.67E-05,3.01E-06,,läänes,37.14013976,1.10E-09,0.000105307,1.02E-05,,alko,14.32507411,48.60306685,2.462674363
katuseraha,139.2366405,3.91E-32,4.05E-05,1.35E-06,,kooseluseaduse,4.219047982,8.10E-05,4.35E-06,,naturalisatsiooni,36.88289021,1.25E-09,4.05E-05,3.74E-07,,maastikud,14.26838272,48.60306685,2.47643232
manifesti,139.0991775,4.19E-32,4.86E-05,1.93E-06,,palgalõhe,4.207781423,7.29E-05,3.95E-06,,hughes,36.69446462,1.38E-09,4.86E-05,8.52E-07,,ühemõtteliselt,14.21644903,48.60306685,2.489131973
sussi,137.7105901,8.43E-32,4.86E-05,1.95E-06,,juhiloa,4.186652507,4.86E-05,2.67E-06,,kiievis,36.66083014,1.41E-09,7.29E-05,3.68E-06,,erakonnaga,14.11795884,48.60306685,2.513472974
tippjuhtide,135.947946,2.05E-31,4.05E-05,1.38E-06,,kremli,4.177244522,0.000194412,1.07E-05,,lääne,36.5174578,1.51E-09,0.000243015,6.30E-05,,maksmisest,14.09248978,48.60306685,2.519822801
kaitsevõime,134.6703933,3.90E-31,5.67E-05,2.67E-06,,kreml,4.170723535,7.29E-05,4.05E-06,,päeva,36.07133788,1.90E-09,0.00016201,0.000486148,,leppimine,14.06144951,40.50255571,1.951513333
puusepa,133.9788508,5.52E-31,4.05E-05,1.40E-06,,kondoomid,4.1646262,4.05E-05,2.26E-06,,suhtlemise,36.00655467,1.97E-09,9.72E-05,8.72E-06,,juhiloa,13.51934471,48.60306685,2.669043723
erakondade,133.4656846,7.15E-31,0.00015391,1.73E-05,,riigikontrolli,4.146784048,7.29E-05,4.12E-06,,erakonna,35.84067626,2.14E-09,0.000210613,4.91E-05,,rubla,13.40657177,186.3117563,12.97163716
ida-ukrainas,133.4650454,7.15E-31,4.86E-05,2.00E-06,,meeleolud,4.122651507,4.05E-05,2.33E-06,,riigikokku,35.72590818,2.27E-09,8.91E-05,6.98E-06,,valimisteni,13.2760021,40.50255571,2.12613356
laste,132.2378904,1.33E-30,0.000720945,0.000227377,,immigratsiooni,4.110228495,4.05E-05,2.35E-06,,palgalõhe,35.453692,2.61E-09,7.29E-05,3.95E-06,,eurooplased,13.25234748,64.80408914,3.965466625
kasahstan,129.890196,4.33E-30,4.05E-05,1.44E-06,,ukrainat,4.071052085,4.05E-05,2.41E-06,,kapo,35.05783318,3.20E-09,8.10E-05,5.52E-06,,komisjonide,13.11933826,72.90460028,4.633256708
maksusüsteemi,128.6649811,8.03E-30,4.86E-05,2.07E-06,,tankid,4.065360973,4.05E-05,2.42E-06,,kreml,35.01722764,3.27E-09,7.29E-05,4.05E-06,,miinimumi,13.08827743,56.703578,3.408798506
tervishoiutöötajate,128.3404974,9.45E-30,5.67E-05,2.79E-06,,miinimumi,4.056104543,5.67E-05,3.41E-06,,riigikontrolli,34.73561269,3.78E-09,7.29E-05,4.12E-06,,rõivase,12.95764062,56.703578,3.453247291
kapo,127.0999753,1.77E-29,8.10E-05,5.52E-06,,otseste,4.049669117,4.05E-05,2.45E-06,,natuke,34.69471275,3.86E-09,7.29E-05,0.000321654,,liberaalne,12.92692008,56.703578,3.463830335
komisjonide,123.9333678,8.71E-29,7.29E-05,4.63E-06,,rõivase,4.037414216,5.67E-05,3.45E-06,,krimmis,34.03949588,5.40E-09,6.48E-05,2.97E-06,,kondoomid,12.73701217,40.50255571,2.258421612
