SONAVORM,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus,,SONAVORM,Votmesus,Fookus suhteline sagedus,Referents suhteline sagedus,,SONAVORM,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus,,SONAVORM,Votmesus,Fookus suhteline sagedus mil.,Referents suhteline sagedus mil.
bidia,53579.6486,0,5.67E-05,0,,elumaleva,inf,4.05E-05,0,,riigi,321.1862584,7.99E-72,0.001522896,0.000288027,,miesi,103.1411573,105.3066448,0.030690828
elumaleva,38271.17749,0,4.05E-05,0,,bidia,inf,5.67E-05,0,,riigikogu,270.4453602,9.07E-61,0.000915358,0.00011539,,missioonipreemia,84.98968875,105.3066448,0.250818145
miesi,30781.23713,0,0.000105307,3.07E-08,,miesi,11.74450129,0.000105307,3.07E-08,,venemaa,234.5809803,5.98E-53,0.001125971,0.000215711,,luukase,61.5802364,97.20613371,0.594767079
kibestunu,11249.1711,0,4.05E-05,1.27E-08,,kibestunu,11.63900816,4.05E-05,1.27E-08,,riik,226.7706476,3.02E-51,0.000923458,0.000147347,,sotsiaal,59.33571901,113.407156,0.928132968
kurkov,6590.205778,0,4.05E-05,2.54E-08,,kurkov,10.63900816,4.05E-05,2.54E-08,,miesi,180.5569422,3.66E-41,0.000105307,3.07E-08,,bidia,57.703578,56.703578,0
lasmann,6136.097419,0,5.67E-05,5.71E-08,,giulietto,10.17957654,4.05E-05,3.49E-08,,eesti,169.6563245,8.79E-39,0.004520085,0.002463029,,lasmann,54.5841775,56.703578,0.057148438
missioonipreemia,5149.645885,0,0.000105307,2.51E-07,,lasmann,9.954509986,5.67E-05,5.71E-08,,ukraina,168.0771499,1.95E-38,0.000550835,6.64E-05,,lng,50.41557506,129.6081783,1.590631529
giulietto,5027.000958,0,4.05E-05,3.49E-08,,piontkovski,9.866418656,4.05E-05,4.34E-08,,nato,137.4001916,9.86E-32,0.000413126,4.39E-05,,castro,45.86476715,121.5076671,1.671062664
piontkovski,4151.002508,0,4.05E-05,4.34E-08,,missioonipreemia,8.713739035,0.000105307,2.51E-07,,missioonipreemia,130.4024254,3.35E-30,0.000105307,2.51E-07,,ajateenistus,45.27000743,105.3066448,1.348279819
luukase,1896.8011,0,9.72E-05,5.95E-07,,tuuletehnoloogia,8.147155064,4.86E-05,1.71E-07,,bidia,125.2040309,4.59E-29,5.67E-05,0,,lõksust,44.89742586,64.80408914,0.465653941
sotsiaal,1656.314282,0,0.000113407,9.28E-07,,riigipidamise,7.708270823,4.05E-05,1.94E-07,,putin,124.2495667,7.43E-29,0.000307819,2.38E-05,,ndate,44.4163503,64.80408914,0.481528507
tuuletehnoloogia,1628.642582,0,4.86E-05,1.71E-07,,charleroi,7.447302643,5.67E-05,3.25E-07,,ajateenistuse,113.612256,1.58E-26,0.000145809,2.31E-06,,ajateenistuse,44.32116173,145.8092006,2.312395137
lng,1258.516446,1.17E-275,0.000129608,1.59E-06,,luukase,7.352578747,9.72E-05,5.95E-07,,vene,113.3425678,1.82E-26,0.000874855,0.000254793,,charleroi,43.55317517,56.703578,0.324899454
charleroi,1180.802465,9.07E-259,5.67E-05,3.25E-07,,eliitkoolide,7.341327612,4.05E-05,2.50E-07,,lng,109.039466,1.59E-25,0.000129608,1.59E-06,,tuuletehnoloogia,42.34347625,48.60306685,0.171445314
ajateenistuse,1090.304868,4.23E-239,0.000145809,2.31E-06,,lõksust,7.120682853,6.48E-05,4.66E-07,,sotsiaal,106.5663012,5.54E-25,0.000113407,9.28E-07,,elumaleva,41.50255571,40.50255571,0
lõksust,1077.804891,2.20E-236,6.48E-05,4.66E-07,,ndate,7.072319831,6.48E-05,4.82E-07,,krimmi,103.3932493,2.75E-24,0.000210613,1.12E-05,,kibestunu,40.9820973,40.50255571,0.012699653
castro,1050.916899,1.54E-230,0.000121508,1.67E-06,,fukuyama,7.065541298,5.67E-05,4.23E-07,,eestis,99.98512414,1.54E-23,0.001312283,0.000531667,,fukuyama,40.54148503,56.703578,0.423321764
ndate,1042.372252,1.11E-228,6.48E-05,4.82E-07,,chiesa,7.044061571,4.86E-05,3.68E-07,,castro,98.86995651,2.70E-23,0.000121508,1.67E-06,,kurkov,40.47453073,40.50255571,0.025399306
riigipidamise,1008.13989,3.05E-221,4.05E-05,1.94E-07,,kodakondsuspoliitika,7.035793955,4.86E-05,3.70E-07,,luukase,98.2096107,3.76E-23,9.72E-05,5.95E-07,,giulietto,40.10203057,40.50255571,0.034924046
ajateenistus,979.5303485,5.05E-215,0.000105307,1.35E-06,,läänel,6.961875816,4.05E-05,3.25E-07,,sõda,95.90260239,1.21E-22,0.000332121,4.32E-05,,piontkovski,39.77662867,40.50255571,0.043390481
fukuyama,907.809828,1.97E-199,5.67E-05,4.23E-07,,sotsiaal,6.932964456,0.000113407,9.28E-07,,preemia,93.95172423,3.23E-22,0.000251116,2.22E-05,,pannoo,39.11633131,56.703578,0.47517868
pannoo,808.767662,6.70E-178,5.67E-05,4.75E-07,,pannoo,6.898825853,5.67E-05,4.75E-07,,kremli,93.58395976,3.89E-22,0.000194412,1.07E-05,,chiesa,36.25186855,48.60306685,0.368289935
eliitkoolide,784.2456893,1.44E-172,4.05E-05,2.50E-07,,kihistumist,6.853283254,4.05E-05,3.50E-07,,elumaleva,89.43145066,3.17E-21,4.05E-05,0,,kodakondsuspoliitika,36.19587712,48.60306685,0.370406544
chiesa,766.6451976,9.64E-169,4.86E-05,3.68E-07,,naturalisatsiooni,6.760446288,4.05E-05,3.74E-07,,ajateenistus,87.51327898,8.37E-21,0.000105307,1.35E-06,,eestlasteks,36.13511645,56.703578,0.596883687
kodakondsuspoliitika,762.2713003,8.61E-168,4.86E-05,3.70E-07,,etendusasutuste,6.663637827,4.86E-05,4.79E-07,,euroopa,84.79091891,3.32E-20,0.001644404,0.000797112,,krimm,35.91294408,97.20613371,1.734560928
riigikogu,684.0126948,8.96E-151,0.000915358,0.00011539,,eestlasteks,6.569846136,5.67E-05,5.97E-07,,laste,83.52564009,6.29E-20,0.000720945,0.000227377,,eetikakoodeksi,35.70913648,56.703578,0.615933167
riigi,653.3130678,4.25E-144,0.001522896,0.000288027,,eetikakoodeksi,6.524522145,5.67E-05,6.16E-07,,sõnul,83.06007719,7.96E-20,4.05E-05,0.000476813,,riigipidamise,34.76887741,40.50255571,0.193669707
krimm,643.9895349,4.53E-142,9.72E-05,1.73E-06,,lng,6.348413272,0.000129608,1.59E-06,,putini,82.49930097,1.06E-19,0.000210613,1.72E-05,,riigikogulaste,34.54554415,64.80408914,0.904850271
eestlasteks,643.0881216,7.12E-142,5.67E-05,5.97E-07,,ajateenistus,6.287332722,0.000105307,1.35E-06,,lasmann,81.74454753,1.55E-19,5.67E-05,5.71E-08,,etendusasutuste,33.52890897,48.60306685,0.479411898
eetikakoodeksi,623.0119173,1.65E-137,5.67E-05,6.16E-07,,infosõja,6.196064664,4.05E-05,5.52E-07,,rootsi,79.81701892,4.11E-19,0.000510332,0.00012804,,eliitkoolide,33.20842482,40.50255571,0.249759841
läänel,603.5200703,2.87E-133,4.05E-05,3.25E-07,,castro,6.184137706,0.000121508,1.67E-06,,rubla,79.73952288,4.27E-19,0.000186312,1.30E-05,,läänel,31.32506062,40.50255571,0.324899454
etendusasutuste,588.5477506,5.19E-130,4.86E-05,4.79E-07,,riigikogulaste,6.162261956,6.48E-05,9.05E-07,,krimm,72.96963013,1.32E-17,9.72E-05,1.73E-06,,riigireformi,30.7891754,97.20613371,2.189631825
kihistumist,559.7031758,9.75E-124,4.05E-05,3.50E-07,,nõuandev,6.021438662,4.86E-05,7.48E-07,,protsenti,72.64550602,1.55E-17,0.000623739,0.000196009,,kihistumist,30.73583191,40.50255571,0.35029876
riigikogulaste,551.8968832,4.87E-122,6.48E-05,9.05E-07,,ajateenistuse,5.978550003,0.000145809,2.31E-06,,sõja,70.44374628,4.74E-17,0.000267317,3.91E-05,,teatrite,30.57613014,97.20613371,2.211856218
naturalisatsiooni,524.698987,4.02E-116,4.05E-05,3.74E-07,,sotsiaalsüsteemi,5.968942091,4.05E-05,6.47E-07,,kibestunu,68.837471,1.07E-16,4.05E-05,1.27E-08,,naturalisatsiooni,30.21484857,40.50255571,0.373581457
riigireformi,506.0622258,4.56E-112,9.72E-05,2.19E-06,,riigikogulase,5.947846256,4.86E-05,7.87E-07,,riigireformi,67.50866065,2.10E-16,9.72E-05,2.19E-06,,ebola,29.98531305,72.90460028,1.464693304
riik,504.3176987,1.09E-111,0.000923458,0.000147347,,hughes,5.834160094,4.86E-05,8.52E-07,,teatrite,67.27247608,2.36E-16,9.72E-05,2.21E-06,,kremlis,28.77438541,64.80408914,1.286898163
teatrite,500.772086,6.46E-111,9.72E-05,2.21E-06,,krimm,5.808404928,9.72E-05,1.73E-06,,ütles,65.83168917,4.91E-16,0.00016201,0.000654992,,nõuandev,28.37344973,48.60306685,0.748221218
venemaa,473.9623965,4.40E-105,0.001125971,0.000215711,,jäägem,5.801905895,4.05E-05,7.26E-07,,lõksust,62.94337068,2.13E-15,6.48E-05,4.66E-07,,riigikogulase,27.75185411,48.60306685,0.787378481
krimmi,438.3385219,2.49E-97,0.000210613,1.12E-05,,varjamise,5.68481185,4.05E-05,7.87E-07,,kodakondsuse,62.80999947,2.28E-15,0.000137709,8.49E-06,,andestamine,27.33186882,56.703578,1.111219631
ukraina,435.8603783,8.62E-97,0.000550835,6.64E-05,,andestamine,5.673223876,5.67E-05,1.11E-06,,kurkov,62.77552613,2.32E-15,4.05E-05,2.54E-08,,hughes,26.78445275,48.60306685,0.85193505
ebola,427.3741547,6.06E-95,7.29E-05,1.46E-06,,kremlis,5.654115053,6.48E-05,1.29E-06,,ndate,62.41566555,2.78E-15,6.48E-05,4.82E-07,,infosõja,26.73384607,40.50255571,0.552434902
putin,416.8928564,1.16E-92,0.000307819,2.38E-05,,ebola,5.63733934,7.29E-05,1.46E-06,,poliitikas,61.82652148,3.75E-15,0.000170111,1.57E-05,,sotsiaalsüsteemi,25.20463436,40.50255571,0.646623995
kremli,386.6142813,4.52E-86,0.000194412,1.07E-05,,annekteerimist,5.53397269,4.05E-05,8.74E-07,,kultuuri,60.62113458,6.92E-15,0.00031592,6.58E-05,,ajateenistusse,24.18955982,72.90460028,2.055227165
kremlis,384.4843629,1.31E-85,6.48E-05,1.29E-06,,riigireformi,5.472287137,9.72E-05,2.19E-06,,puusepp,60.33831142,7.99E-15,0.000105307,3.94E-06,,jäägem,24.04555738,40.50255571,0.725996825
nato,382.6154704,3.35E-85,0.000413126,4.39E-05,,keskmaa,5.470753912,4.05E-05,9.13E-07,,rahastamise,59.96881776,9.64E-15,0.000178211,1.86E-05,,isi,23.64909332,48.60306685,1.097461673
nõuandev,374.6619658,1.81E-83,4.86E-05,7.48E-07,,isi,5.468804888,4.86E-05,1.10E-06,,giulietto,59.84740282,1.03E-14,4.05E-05,3.49E-08,,varjamise,23.21979152,40.50255571,0.787378481
riigikogulase,355.5960076,2.56E-79,4.86E-05,7.87E-07,,teatrite,5.45771784,9.72E-05,2.21E-06,,charleroi,58.19270667,2.38E-14,5.67E-05,3.25E-07,,elatisraha,22.22492723,48.60306685,1.231866334
infosõja,353.266773,8.24E-79,4.05E-05,5.52E-07,,maksuvabastuse,5.42468904,4.05E-05,9.43E-07,,piontkovski,57.8144431,2.88E-14,4.05E-05,4.34E-08,,annekteerimist,22.14462375,40.50255571,0.874159443
andestamine,341.0614745,3.75E-76,5.67E-05,1.11E-06,,kuupmeetri,5.308091282,4.05E-05,1.02E-06,,poliitika,55.71457885,8.38E-14,0.000267317,5.12E-05,,tuuliku,21.95552449,89.10562256,3.104006835
hughes,327.9622281,2.67E-73,4.86E-05,8.52E-07,,elatisraha,5.302129724,4.86E-05,1.23E-06,,tuuletehnoloogia,55.5904967,8.93E-14,4.86E-05,1.71E-07,,keskmaa,21.69141971,40.50255571,0.913316706
puusepp,320.5424742,1.10E-71,0.000105307,3.94E-06,,jõukamad,5.262520967,4.05E-05,1.06E-06,,ühiskonna,55.13106323,1.13E-13,0.000291618,6.16E-05,,puusepp,21.50544923,105.3066448,3.943242233
sotsiaalsüsteemi,300.8032148,2.20E-67,4.05E-05,6.47E-07,,ajateenistusse,5.148640082,7.29E-05,2.06E-06,,fukuyama,54.54898822,1.52E-13,5.67E-05,4.23E-07,,agressiooni,21.36280157,72.90460028,2.45949945
ajateenistusse,300.1183992,3.10E-67,7.29E-05,2.06E-06,,keskvõimu,5.125938578,4.05E-05,1.16E-06,,ukrainas,53.55442885,2.52E-13,0.00015391,1.53E-05,,maksuvabastuse,21.36059712,40.50255571,0.94294923
tuuliku,293.058106,1.07E-65,8.91E-05,3.10E-06,,pensioniea,5.072319831,4.86E-05,1.44E-06,,pannoo,52.95719693,3.41E-13,5.67E-05,4.75E-07,,vanemaga,21.10455561,72.90460028,2.501831626
preemia,291.6363955,2.19E-65,0.000251116,2.22E-05,,ida-ukraina,5.072319831,4.86E-05,1.44E-06,,ebola,52.6406638,4.01E-13,7.29E-05,1.46E-06,,kuupmeetri,20.52222864,40.50255571,1.02232206
rubla,285.4187029,4.95E-64,0.000186312,1.30E-05,,klaipeda,5.057598325,4.86E-05,1.46E-06,,tuuliku,52.58482375,4.12E-13,8.91E-05,3.10E-06,,ida-ukraina,20.29099266,48.60306685,1.44458552
putini,268.2119079,2.78E-60,0.000210613,1.72E-05,,tooteks,4.911087706,4.05E-05,1.35E-06,,rahva,52.57051103,4.15E-13,0.000396925,0.000113714,,pensioniea,20.29099266,48.60306685,1.44458552
jäägem,267.0875588,4.89E-60,4.05E-05,7.26E-07,,katuseraha,4.903170112,4.05E-05,1.35E-06,,riigikogulaste,52.49253193,4.32E-13,6.48E-05,9.05E-07,,jõukamad,20.19461828,40.50255571,1.055129497
vandenõu,258.733753,3.24E-58,8.91E-05,3.49E-06,,agressiooni,4.889573214,7.29E-05,2.46E-06,,auto,52.05273563,5.40E-13,7.29E-05,0.000409582,,klaipeda,20.16875291,48.60306685,1.459401782
isi,252.3962228,7.80E-57,4.86E-05,1.10E-06,,tippjuhtide,4.870823836,4.05E-05,1.38E-06,,vandenõu,50.12996451,1.44E-12,8.91E-05,3.49E-06,,vandenõu,20.0857163,89.10562256,3.486054728
lääneriikide,251.7970918,1.05E-56,8.91E-05,3.57E-06,,vanemaga,4.864953247,7.29E-05,2.50E-06,,eestlasteks,49.81685104,1.69E-12,5.67E-05,5.97E-07,,lääneriikide,19.6954234,89.10562256,3.574952298
agressiooni,248.1217833,6.67E-56,7.29E-05,2.46E-06,,puusepa,4.851105601,4.05E-05,1.40E-06,,lääneriikide,49.59883704,1.89E-12,8.91E-05,3.57E-06,,donetski,19.49900901,81.00511142,3.205604059
varjamise,245.6453269,2.31E-55,4.05E-05,7.87E-07,,tuuliku,4.843312829,8.91E-05,3.10E-06,,erakondade,49.39967673,2.09E-12,0.00015391,1.73E-05,,liberaalse,19.33841951,81.00511142,3.240528104
vanemaga,243.6462882,6.30E-55,7.29E-05,2.50E-06,,kasahstan,4.809285425,4.05E-05,1.44E-06,,eetikakoodeksi,49.38439257,2.10E-12,5.67E-05,6.16E-07,,keskvõimu,19.21502121,40.50255571,1.159901634
kodakondsuse,242.3899649,1.18E-54,0.000137709,8.49E-06,,sihtasutusele,4.743012206,4.86E-05,1.81E-06,,venemaaga,48.64136034,3.07E-12,0.000137709,1.33E-05,,kirikukogu,17.79308941,81.00511142,3.608818039
sõda,238.3796546,8.87E-54,0.000332121,4.32E-05,,puusepp,4.739070325,0.000105307,3.94E-06,,majanduse,48.48567477,3.33E-12,0.000234915,4.54E-05,,tooteks,17.68954331,40.50255571,1.34616321
donetski,232.3278967,1.85E-52,8.10E-05,3.21E-06,,tšehhoslovakkia,4.716341174,4.86E-05,1.85E-06,,ühiskonnas,47.76480907,4.81E-12,0.000259216,5.61E-05,,fraktsioonide,17.67461493,56.703578,2.264771438
liberaalse,229.6258988,7.19E-52,8.10E-05,3.24E-06,,e-residentsuse,4.711394786,4.86E-05,1.86E-06,,kremlis,46.97342802,7.20E-12,6.48E-05,1.29E-06,,katuseraha,17.63386348,40.50255571,1.353571341
elatisraha,223.7280454,1.39E-50,4.86E-05,1.23E-06,,ideoloogilise,4.692589201,4.86E-05,1.88E-06,,ajateenistusse,46.70588094,8.25E-12,7.29E-05,2.06E-06,,sihtasutusele,17.62103258,48.60306685,1.814992064
