SONAVORM,Votmesus,Fookus suhteline sagedus,Referents suhteline sagedus
elumaleva,inf,4.050255571126538e-05,0.0
bidia,inf,5.6703577995771534e-05,0.0
miesi,11.744501289166145,0.00010530664484928998,3.069082789887228e-08
kibestunu,11.63900816031883,4.050255571126538e-05,1.2699652923671288e-08
kurkov,10.63900816031883,4.050255571126538e-05,2.5399305847342577e-08
giulietto,10.179576541681534,4.050255571126538e-05,3.492404554009604e-08
lasmann,9.95450998604676,5.6703577995771534e-05,5.7148438156520794e-08
piontkovski,9.866418656421903,4.050255571126538e-05,4.3390480822543565e-08
missioonipreemia,8.713739035395458,0.00010530664484928998,2.5081814524250793e-07
tuuletehnoloogia,8.147155063989157,4.860306685351846e-05,1.714453144695624e-07
riigipidamise,7.708270822755945,4.050255571126538e-05,1.9366970708598714e-07
charleroi,7.44730264284005,5.6703577995771534e-05,3.248994539639238e-07
luukase,7.352578746652855,9.720613370703692e-05,5.947670785919386e-07
eliitkoolide,7.341327611678146,4.050255571126538e-05,2.4975984083220197e-07
lõksust,7.120682852627966,6.480408913802461e-05,4.656539405346139e-07
ndate,7.072319831066567,6.480408913802461e-05,4.81528506689203e-07
fukuyama,7.065541298435504,5.6703577995771534e-05,4.2332176412237625e-07
chiesa,7.044061571025053,4.860306685351846e-05,3.6828993478646734e-07
kodakondsuspoliitika,7.035793955041453,4.860306685351846e-05,3.704065436070792e-07
läänel,6.961875815669808,4.050255571126538e-05,3.248994539639238e-07
sotsiaal,6.932964455765497,0.00011340715599154307,9.2813296783831e-07
pannoo,6.8988258534690825,5.6703577995771534e-05,4.7517868022736733e-07
kihistumist,6.853283254232769,4.050255571126538e-05,3.5029875981126635e-07
naturalisatsiooni,6.760446287768807,4.050255571126538e-05,3.7358145683799704e-07
etendusasutuste,6.6636378268275465,4.860306685351846e-05,4.794118978685911e-07
eestlasteks,6.569846135811436,5.6703577995771534e-05,5.968836874125505e-07
eetikakoodeksi,6.524522145301946,5.6703577995771534e-05,6.159331667980574e-07
lng,6.348413272236261,0.00012960817827604922,1.5906315286898288e-06
ajateenistus,6.287332722037417,0.00010530664484928998,1.3482798187297684e-06
infosõja,6.196064664470103,4.050255571126538e-05,5.52434902179701e-07
castro,6.184137705900906,0.00012150766713379614,1.6710626638730802e-06
riigikogulaste,6.162261956379365,6.480408913802461e-05,9.048502708115793e-07
nõuandev,6.021438662064383,4.860306685351846e-05,7.482212180863e-07
ajateenistuse,5.978550003206977,0.00014580920056055536,2.31239513651848e-06
sotsiaalsüsteemi,5.968942091221258,4.050255571126538e-05,6.466239946969297e-07
riigikogulase,5.94784625576575,4.860306685351846e-05,7.873784812676198e-07
hughes,5.834160093871802,4.860306685351846e-05,8.519350502962822e-07
krimm,5.808404927774323,9.720613370703692e-05,1.7345609284914367e-06
jäägem,5.801905894867176,4.050255571126538e-05,7.259968254698753e-07
varjamise,5.684811849931956,4.050255571126538e-05,7.873784812676198e-07
andestamine,5.673223875656744,5.6703577995771534e-05,1.1112196308212377e-06
kremlis,5.65411505270904,6.480408913802461e-05,1.2868981629320238e-06
ebola,5.637339339958213,7.290460028027768e-05,1.4646933038634219e-06
annekteerimist,5.533972689620542,4.050255571126538e-05,8.74159442912707e-07
riigireformi,5.4722871370137725,9.720613370703692e-05,2.189631824922991e-06
keskmaa,5.470753911861032,4.050255571126538e-05,9.133167060940267e-07
isi,5.468804888060555,4.860306685351846e-05,1.0974616734872604e-06
teatrite,5.457717839905536,9.720613370703692e-05,2.211856217539416e-06
maksuvabastuse,5.424689039518065,4.050255571126538e-05,9.429492295825931e-07
kuupmeetri,5.308091282204215,4.050255571126538e-05,1.0223220603555386e-06
elatisraha,5.302129723965498,4.860306685351846e-05,1.2318663335961149e-06
jõukamad,5.262520966641792,4.050255571126538e-05,1.0551294970750228e-06
ajateenistusse,5.148640082175745,7.290460028027768e-05,2.055227164814137e-06
keskvõimu,5.125938578079461,4.050255571126538e-05,1.159901633695311e-06
pensioniea,5.072319831066567,4.860306685351846e-05,1.444585520067609e-06
ida-ukraina,5.072319831066567,4.860306685351846e-05,1.444585520067609e-06
klaipeda,5.057598325359801,4.860306685351846e-05,1.459401781811892e-06
tooteks,4.911087705755632,4.050255571126538e-05,1.3461632099091564e-06
katuseraha,4.90317011215835,4.050255571126538e-05,1.3535713407812982e-06
agressiooni,4.889573214190409,7.290460028027768e-05,2.459499449551006e-06
tippjuhtide,4.870823835541905,4.050255571126538e-05,1.3842621686801704e-06
vanemaga,4.8649532474174055,7.290460028027768e-05,2.5018316259632435e-06
puusepa,4.8511056009274,4.050255571126538e-05,1.4033116480656773e-06
tuuliku,4.843312829032967,8.910562256478383e-05,3.104006835427324e-06
kasahstan,4.809285425232773,4.050255571126538e-05,1.444585520067609e-06
sihtasutusele,4.743012205813606,4.860306685351846e-05,1.814992063674688e-06
puusepp,4.739070325352079,0.00010530664484928998,3.943242232799935e-06
tšehhoslovakkia,4.716341173957022,4.860306685351846e-05,1.8488578048044783e-06
e-residentsuse,4.711394786114243,4.860306685351846e-05,1.855207631266314e-06
ideoloogilise,4.692589200523676,4.860306685351846e-05,1.8795486327033505e-06
jagamisest,4.689667778585357,4.050255571126538e-05,1.56946544048371e-06
vandenõu,4.675849345063567,8.910562256478383e-05,3.4860547275477683e-06
ideoloogiliselt,4.6626827158751585,4.050255571126538e-05,1.5990979639722763e-06
donetski,4.659344798244615,8.100511142253076e-05,3.2056040588166943e-06
manifesti,4.656489859896943,4.860306685351846e-05,1.927172331167118e-06
fraktsioonide,4.6460024069217205,5.6703577995771534e-05,2.264771438054713e-06
liberaalse,4.643712093540199,8.100511142253076e-05,3.24052810435679e-06
sussi,4.643084015584747,4.860306685351846e-05,1.945163506142319e-06
lääneriikide,4.639520571988537,8.910562256478383e-05,3.5749522980134674e-06
tulumaksuvaba,4.620344316053796,4.050255571126538e-05,1.6467216624360437e-06
paroodia,4.618491142978319,4.050255571126538e-05,1.6488382712566554e-06
ida-ukrainas,4.601308693534386,4.860306685351846e-05,2.0023119442988396e-06
maksusüsteemi,4.552577026246977,4.860306685351846e-05,2.071101730968726e-06
kuulumist,4.510584146102958,4.050255571126538e-05,1.7768931049036743e-06
kirikukogu,4.488414637128453,8.100511142253076e-05,3.6088180391432574e-06
lapsevanemana,4.485033979363848,4.050255571126538e-05,1.8086422372128525e-06
putinile,4.466818798758883,5.6703577995771534e-05,2.564271586171294e-06
krimmis,4.447743272532726,6.480408913802461e-05,2.9696021753184694e-06
paviljoni,4.430367351760581,4.050255571126538e-05,1.8784903282930446e-06
eston,4.418226788888369,4.860306685351846e-05,2.2732378733371604e-06
kaitsevõime,4.409044927882009,5.6703577995771534e-05,2.669043722791582e-06
leppimine,4.375347720610649,4.050255571126538e-05,1.9515133326041547e-06
tervishoiutöötajate,4.345810241685652,5.6703577995771534e-05,2.7886321211561537e-06
kiievis,4.310000872212846,7.290460028027768e-05,3.6754912169925317e-06
alko,4.302749571468433,4.860306685351846e-05,2.4626743627819238e-06
maastikud,4.294712252403015,4.860306685351846e-05,2.4764323201159013e-06
ühemõtteliselt,4.287332722037417,4.860306685351846e-05,2.4891319730395724e-06
erakonnaga,4.273293268768109,4.860306685351846e-05,2.513472974476609e-06
maksmisest,4.269653161603447,4.860306685351846e-05,2.519822800938445e-06
lääs,4.259498513840692,8.910562256478383e-05,4.652306187704915e-06
valimisteni,4.2517088123066955,4.050255571126538e-05,2.1261335603046346e-06
krimmi,4.236296695365574,0.00021061328969857997,1.1174636268420428e-05
kodakondsust,4.236199104532702,5.6703577995771534e-05,3.008759438499789e-06
kooseluseaduse,4.219047982470943,8.100511142253076e-05,4.349631126357416e-06
palgalõhe,4.207781422940657,7.290460028027768e-05,3.945358841620547e-06
juhiloa,4.1866525065455615,4.860306685351846e-05,2.669043722791582e-06
kremli,4.177244522144159,0.00019441226741407383,1.0746022982246521e-05
kreml,4.170723535127561,7.290460028027768e-05,4.048014369420223e-06
kondoomid,4.1646262002155625,4.050255571126538e-05,2.2584216115928773e-06
riigikontrolli,4.146784048160729,7.290460028027768e-05,4.115745851679803e-06
meeleolud,4.122651506616711,4.050255571126538e-05,2.3250947894421517e-06
immigratsiooni,4.110228494990799,4.050255571126538e-05,2.3452025732379645e-06
ukrainat,4.071052084903365,4.050255571126538e-05,2.409759142266627e-06
tankid,4.065360972825509,4.050255571126538e-05,2.41928388195938e-06
miinimumi,4.0561045428274145,5.6703577995771534e-05,3.4087985055954348e-06
otseste,4.049669116572357,4.050255571126538e-05,2.4457414922170288e-06
rõivase,4.037414216118365,5.6703577995771534e-05,3.4532472908282843e-06
liberaalne,4.032999601165466,5.6703577995771534e-05,3.4638303349313435e-06
alliansi,4.032705773253882,4.860306685351846e-05,2.9696021753184694e-06
eurooplased,4.030522303823512,6.480408913802461e-05,3.96546662541636e-06
kodakondsuse,4.02029878443873,0.0001377086894183023,8.486543066243338e-06
otsustes,3.9986627893412576,4.860306685351846e-05,3.0405085708089676e-06
loodeti,3.9776541975023876,5.6703577995771534e-05,3.599293299450504e-06
solidaarsus,3.976043147596402,4.050255571126538e-05,2.5737963258640477e-06
komisjonide,3.975911328413991,7.290460028027768e-05,4.633256708319408e-06
muutmisest,3.973080125316647,4.050255571126538e-05,2.5790878479155775e-06
kõnelda,3.890815310729371,7.290460028027768e-05,4.914765681460789e-06
euroopaga,3.885234278466071,4.050255571126538e-05,2.7410084226923863e-06
kapo,3.874412974419469,8.100511142253076e-05,5.523290717386704e-06
arvestamise,3.8735839187271455,4.050255571126538e-05,2.763232815308811e-06
demokraadid,3.861557132579516,5.6703577995771534e-05,3.900910056387697e-06
varro,3.855464199532296,4.050255571126538e-05,2.798156860848907e-06
rubla,3.8442862317184763,0.00018631175627182076,1.2971637157119915e-05
juhiluba,3.823701114870834,5.6703577995771534e-05,4.004623888597679e-06
tegelikkuse,3.817677062477878,4.860306685351846e-05,3.4468974643664486e-06
inseneride,3.788300400103437,4.050255571126538e-05,2.9315032165474556e-06
valimisteks,3.7784384420116752,4.050255571126538e-05,2.9516110003432685e-06
luure,3.769818273895536,5.6703577995771534e-05,4.157019723681735e-06
eksamil,3.7676162459316993,4.050255571126538e-05,2.9738353929596933e-06
paradigma,3.765564047803455,4.050255571126538e-05,2.978068610600917e-06
kesk-euroopa,3.7633441224637982,4.860306685351846e-05,3.5791855156546913e-06
protsendile,3.7624912137538313,6.480408913802461e-05,4.775069499300404e-06
survel,3.761468388442723,4.050255571126538e-05,2.9865350458833644e-06
riigikontroll,3.725620053110388,4.050255571126538e-05,3.0616746590150864e-06
poliitikasse,3.720641804413326,8.100511142253076e-05,6.144515406236291e-06
kommunismi,3.712218007272608,5.6703577995771534e-05,4.326348429330686e-06
eestluse,3.7004087049829746,4.050255571126538e-05,3.1156481839406892e-06
putin,3.6906025024655666,0.0003078194234056169,2.3840423450961926e-05
riigikokku,3.6734424823759877,8.910562256478383e-05,6.983750803608903e-06
kõrgharidusega,3.6711643534784497,5.6703577995771534e-05,4.451228349746787e-06
irli,3.668123357565648,6.480408913802461e-05,5.097852344443716e-06
valija,3.6519810634354104,8.100511142253076e-05,6.444015554352872e-06
maksuvaba,3.6426355558233214,5.6703577995771534e-05,4.540125920212485e-06
rahvuspark,3.631747239680585,4.860306685351846e-05,3.92101784018351e-06
putini,3.6147741610768716,0.00021061328969857997,1.7192155145420007e-05
parteid,3.592793605336009,8.100511142253076e-05,6.713883178980888e-06
julgeolekule,3.5918842482048055,4.050255571126538e-05,3.3590581983110554e-06
elatise,3.579363263208254,4.860306685351846e-05,4.066005544395424e-06
saadikute,3.5519873889481235,4.050255571126538e-05,3.4532472908282843e-06
kolmandast,3.526568653537279,8.100511142253076e-05,7.029257893252058e-06
fsb,3.5140252808074903,4.050255571126538e-05,3.5453197745249014e-06
erakonnale,3.50586594791823,4.050255571126538e-05,3.565427558320714e-06
preemia,3.5024717593625443,0.00025111584540984537,2.2157719438575478e-05
julgeolek,3.493561178247775,5.6703577995771534e-05,5.0343540798253595e-06
asendunud,3.4892610408141493,4.050255571126538e-05,3.606701430322646e-06
