SONAVORM,SAGEDUS
on,3221
ja,3034
et,1589
ei,1370
kui,886
ka,876
see,589
ning,525
oma,517
või,492
Eesti,487
mis,475
aga,454
siis,433
pole,340
seda,335
vaid,316
nii,314
kes,310
selle,283
meie,271
oli,269
mitte,266
ole,255
mida,243
Kui,235
kus,229
ta,225
aasta,218
oleks,214
Euroopa,202
See,201
juba,200
nagu,200
kuid,200
välja,192
nende,190
sest,188
võib,186
kõik,181
aastal,179
me,178
veel,174
üle,169
riigi,167
olla,166
tuleb,165
nad,163
Eestis,162
eest,160
üks,154
enam,152
mille,152
saab,152
vastu,151
ju,149
väga,142
kas,140
Venemaa,139
ehk,138
neid,135
peaks,135
need,134
ise,134
pärast,134
Ja,133
kõige,133
olnud,132
palju,131
tema,131
saa,129
ega,128
kuidas,128
midagi,128
ära,123
rohkem,121
teha,119
isegi,117
raha,116
sellest,116
olema,116
näiteks,115
Kas,114
küll,112
peab,111
just,111
Aga,109
ajal,109
kogu,108
kokku,103
ainult,103
tagasi,101
meil,99
riigikogu,99
riik,98
vaja,98
ma,96
aastat,94
võiks,93
kohta,93
osa,92
peale,91
võimalik,89
ikka,88
ette,86
Kuid,85
jaoks,85
ühe,85
praegu,84
Nii,84
laste,83
lihtsalt,82
nüüd,81
koos,81
vahel,80
Vene,79
iga,78
elu,77
protsenti,77
saanud,77
siin,76
tegelikult,76
seal,75
maailma,75
poole,75
sama,74
läbi,74
alla,74
jääb,73
korda,72
edasi,72
saada,72
eesti,71
keegi,70
siiski,70
enne,68
Ukraina,67
tähendab,67
selles,67
end,67
oleme,66
selleks,66
inimeste,64
Liidu,63
inimesed,63
suur,63
alati,62
olid,61
Rootsi,61
võtta,61
miks,61
eriti,61
tuleks,61
kelle,61
järgi,61
hoopis,61
sai,59
muidugi,58
hea,58
poolt,58
aeg,57
pigem,57
kaks,57
vähemalt,57
neile,56
ilma,56
kunagi,56
lapse,56
puhul,55
vähem,54
Soome,54
On,54
juurde,54
eurot,53
Seda,53
aega,53
enda,53
endale,53
kindlasti,53
saavad,52
hästi,52
mõne,52
jooksul,52
Ma,52
meile,52
üsna,52
NATO,51
ilmselt,50
kuni,50
meid,50
Mis,50
teise,49
ees,49
teeb,49
inimesi,49
üldse,49
Selle,48
kaasa,48
USA,48
Näiteks,48
aru,47
ent,47
sellega,47
Tallinna,47
anda,46
päris,46
ongi,46
all,46
neist,45
laps,45
oluline,45
kaudu,45
saaks,45
sisse,45
valmis,45
mõni,44
rahva,44
uue,44
Me,44
inimene,44
sellele,43
neil,43
õigus,43
maailmas,43
suhtes,43
Seega,42
talle,42
olemas,42
küsimus,42
Need,42
teine,42
hiljem,41
Meie,41
millega,41
Ei,41
lapsed,41
tehtud,41
nn,40
pea,40
jäänud,40
lugu,40
Ka,40
osas,40
tee,40
taha,39
töö,39
üles,39
sõda,39
taas,39
läheb,39
ümber,39
riikide,38
seni,38
Putin,38
öelda,38
Mida,38
kahe,38
kultuuri,37
täiesti,37
kord,37
näha,36
samas,36
uus,36
Ent,36
alles,36
teiste,36
panna,36
jne,36
järele,36
naiste,36
hakkama,36
asemel,36
Samas,35
inimese,35
ühiskonna,35
aastatel,35
suurt,35
kuna,35
hoida,35
leida,35
polnud,35
muud,35
läinud,34
Nüüd,34
võimaluse,34
kuigi,34
Sest,34
kiriku,34
sel,34
Ta,34
Just,34
võimalus,34
olevat,34
seotud,34
õige,34
kasutada,34
Kõik,34
juhul,34
liiga,33
asi,33
sinna,33
teada,33
teatud,33
veelgi,33
tööd,33
sõja,33
linna,33
suure,33
raske,33
millest,33
justkui,33
viis,33
kohe,33
keda,33
ütleb,32
annab,32
jõudnud,32
umbes,32
vaadata,32
peavad,32
tundub,32
paljud,32
poleks,32
minu,32
juures,32
sellise,32
taga,32
kinni,32
mingit,32
vähe,31
kätte,31
alates,31
selge,31
ühiskonnas,31
eelkõige,31
Kuna,31
euro,31
hakkab,31
üha,31
nimel,31
riiki,31
samuti,30
tuli,30
ennast,30
tegi,30
asja,30
Et,30
Ehk,30
üksnes,30
täna,30
hulgas,30
maha,30
poliitika,30
Nagu,30
olen,30
võrreldes,29
Tartu,29
seetõttu,29
Üks,29
tohi,29
preemia,29
Euroopas,29
tõttu,29
antud,29
kõigile,29
rääkida,29
vene,29
luua,29
selline,29
kõigi,28
Paraku,28
aastast,28
Venemaal,28
selgelt,28
minna,28
paremini,28
mitu,28
Nende,28
teda,28
lõpuks,28
piisavalt,28
sõna,28
igal,28
tähelepanu,27
tegemist,27
kuidagi,27
kolm,27
olukord,27
aja,27
Lisaks,27
Praegu,27
vaba,27
muuta,27
kooli,27
president,27
pere,27
majanduse,27
mõelda,27
seas,27
suurem,27
kõiki,27
peame,27
korral,27
korras,27
pidada,26
Või,26
aastate,26
last,26
sageli,26
abi,26
lapsega,26
Krimmi,26
sees,26
muu,26
Putini,26
kõike,26
Balti,26
tegema,26
peaaegu,25
rahvas,25
aastas,25
Miks,25
tõesti,25
ellu,25
veidi,25
tea,25
kohal,25
pool,25
mõned,25
lahti,25
Ilmselt,25
jääda,25
mõju,25
viimase,25
võrra,25
jälle,25
Pole,25
kolme,25
pakkuda,24
terve,24
Samuti,24
ligi,24
kõrval,24
varem,24
võtma,24
sa,24
hulka,24
sellist,24
Kuidas,24
Kremli,24
mõttes,24
idee,23
i,23
näitab,23
kuus,23
muutub,23
uusi,23
teevad,23
keeles,23
võimu,23
jäi,23
suurema,23
omakorda,23
moel,23
teised,23
mind,23
lapsi,23
pealt,23
lapsele,23
päev,23
Kogu,23
hakata,23
olukorras,23
kirjutas,23
suunas,23
riigid,23
maailm,23
erakonna,23
demokraatia,22
tänavu,22
Selleks,22
näeme,22
Tallinnas,22
seadus,22
riigis,22
vanemad,22
rahastamise,22
ikkagi,22
arvu,22
mõista,22
lastele,22
Kuigi,22
kohaselt,22
said,22
teinud,22
Meil,22
mil,22
heaolu,22
meelde,22
kõrge,22
mees,22
hulk,22
parem,22
kellel,22
räägib,21
kuhu,21
Nõukogude,21
tuua,21
meist,21
poliitikas,21
võimalusi,21
vähendada,21
Riigi,21
võivad,21
ühes,21
maa,21
lääne,21
tahavad,21
mingi,21
Eestile,21
mulle,21
asjad,21
Oleme,21
