SÕNAVORM,SAGEDUS
,17004
on,3221
ja,3034
et,1589
ei,1370
kui,886
ka,876
see,589
ning,525
oma,517
või,492
Eesti,487
mis,475
aga,454
siis,433
pole,340
seda,335
vaid,316
nii,314
kes,310
selle,283
meie,271
oli,269
mitte,266
ole,255
mida,243
Kui,235
kus,229
ta,225
aasta,218
oleks,214
Euroopa,202
See,201
kuid,200
nagu,200
juba,200
välja,192
nende,190
sest,188
võib,186
kõik,181
aastal,179
me,178
veel,174
üle,169
riigi,167
olla,166
tuleb,165
nad,163
Eestis,162
eest,160
üks,154
enam,152
mille,152
saab,152
vastu,151
ju,149
väga,142
kas,140
Venemaa,139
ehk,138
peaks,135
neid,135
need,134
pärast,134
ise,134
Ja,133
kõige,133
olnud,132
palju,131
tema,131
saa,129
midagi,128
ega,128
kuidas,128
ära,123
rohkem,121
teha,119
isegi,117
sellest,116
raha,116
olema,116
näiteks,115
Kas,114
küll,112
just,111
peab,111
Aga,109
ajal,109
kogu,108
ainult,103
kokku,103
tagasi,101
riigikogu,99
meil,99
vaja,98
riik,98
ma,96
aastat,94
kohta,93
võiks,93
osa,92
peale,91
võimalik,89
ikka,88
ette,86
jaoks,85
ühe,85
Kuid,85
praegu,84
Nii,84
laste,83
lihtsalt,82
koos,81
nüüd,81
vahel,80
Vene,79
iga,78
elu,77
protsenti,77
saanud,77
tegelikult,76
siin,76
maailma,75
seal,75
poole,75
alla,74
sama,74
läbi,74
jääb,73
korda,72
saada,72
edasi,72
eesti,71
siiski,70
keegi,70
enne,68
end,67
selles,67
Ukraina,67
tähendab,67
oleme,66
selleks,66
inimeste,64
Liidu,63
inimesed,63
suur,63
alati,62
Rootsi,61
järgi,61
miks,61
eriti,61
hoopis,61
olid,61
tuleks,61
võtta,61
kelle,61
sai,59
poolt,58
muidugi,58
hea,58
pigem,57
vähemalt,57
aeg,57
kaks,57
lapse,56
kunagi,56
ilma,56
neile,56
puhul,55
juurde,54
Soome,54
vähem,54
On,54
kindlasti,53
enda,53
aega,53
endale,53
eurot,53
Seda,53
jooksul,52
mõne,52
