SÕNAVORMID,MIN 1 SAGEDUS FOOKUSKORPUSES,,,,,,,,,,,,,,,,,,,
survel,38271.17749,0,4.05E-05,0,,libaeksame,inf,8.10E-06,0,,erakond,204.8985045,1.78E-46,0.000842453,0.000135955,,vabakond,60.62380349,72.90460028,0.219069013
arvatud,38271.17749,0,4.05E-05,0,,libaskandaal,inf,8.10E-06,0,,elumalev,196.7491915,1.07E-44,8.91E-05,0,,sattunud,60.54954168,64.80408914,0.086780962
schengeni,30616.94196,0,3.24E-05,0,,veeldatud,inf,2.43E-05,0,,kreml,183.7427562,7.38E-42,0.000364523,1.83E-05,,jõuluv,57.703578,56.703578,0
vooglaiduu,30616.94196,0,3.24E-05,0,,impordisanktsioon,inf,8.10E-06,0,,kell,180.2853546,4.20E-41,4.86E-05,0.000921885,,kurkov,55.92791522,56.703578,0.031749132
põhiparadoks,30616.94196,0,3.24E-05,0,,kommunistilik,inf,8.10E-06,0,,nato,169.9215389,7.70E-39,0.000510332,5.42E-05,,allians,52.63456892,56.703578,0.096305701
seisukohalt,30616.94196,0,3.24E-05,0,,kommunisti-aktivisti,inf,8.10E-06,0,,lasmann,163.3681009,2.08E-37,0.000105307,6.56E-08,,ratsionalist,52.5643638,64.80408914,0.25187645
vabaduse,30616.94196,0,3.24E-05,0,,julgeolekukontsioon,inf,8.10E-06,0,,sõda,161.8566619,4.45E-37,0.000704744,0.000121479,,pikamägi,51.63761496,56.703578,0.11747179
essees,30616.94196,0,3.24E-05,0,,toodug,inf,8.10E-06,0,,palgalõht,160.9766112,6.92E-37,7.29E-05,0,,donetski,51.40978153,105.3066448,1.06782915
vandenõue,30616.94196,0,3.24E-05,0,,konfliktieeldus,inf,8.10E-06,0,,ühiskond,158.7715678,2.10E-36,0.000899157,0.000202648,,lng,49.61070739,137.7086894,1.795942584
kehtestatud,30616.94196,0,3.24E-05,0,,sisetarbima,inf,8.10E-06,0,,missioonipreemia,150.3008774,1.49E-34,0.000121508,2.91E-07,,pensioniea,49.60306685,48.60306685,0
niinimesi,30616.94196,0,3.24E-05,0,,sissemakseaeg,inf,8.10E-06,0,,lääs,149.0049152,2.86E-34,0.000583237,8.87E-05,,käibem,49.60306685,48.60306685,0
hoiuraha,30616.94196,0,3.24E-05,0,,konspiratsioonilteema,inf,8.10E-06,0,,mies,147.5956649,5.81E-34,0.000129608,4.67E-07,,klaipe,49.60306685,48.60306685,0
castrole,22962.70645,0,2.43E-05,0,,konspiratsiooninarratiiv,inf,8.10E-06,0,,laps,147.4828785,6.15E-34,0.003183501,0.001609385,,inkrementalist,49.60306685,48.60306685,0
kiidetud,22962.70645,0,2.43E-05,0,,konspiratsiooniskeem,inf,8.10E-06,0,,üksikem,143.0903211,5.62E-33,6.48E-05,0,,tuuletehnoloogia,48.59985833,56.703578,0.187319881
euromaitan,22962.70645,0,2.43E-05,0,,toonis,inf,8.10E-06,0,,bidia,143.0903211,5.62E-33,6.48E-05,0,,vandenõunarratiiv,48.3743909,48.60306685,0.025399306
isehävituv,22962.70645,0,2.43E-05,0,,baasenergiana,inf,8.10E-06,0,,poliitika,139.9567143,2.72E-32,0.000623739,0.000110341,,kodakondsuspoliitika,47.89948377,72.90460028,0.542910162
mobiils,22962.70645,0,2.43E-05,0,,baasregulatsioon,inf,8.10E-06,0,,euron,130.2183214,3.67E-30,8.10E-05,3.92E-08,,euros,46.18185462,48.60306685,0.074081309
vandenõuteemaline,22962.70645,0,2.43E-05,0,,piqueteros,inf,8.10E-06,0,,euroopa,129.1349464,6.34E-30,0.002073731,0.000926849,,toimunud,45.97706493,56.703578,0.255051363
kirikuel,22962.70645,0,2.43E-05,0,,alksireklaam,inf,8.10E-06,0,,tekkinud,125.8168465,3.37E-29,7.29E-05,2.01E-08,,etendusasutus,43.07461785,81.00511142,0.903791966
gork,22962.70645,0,2.43E-05,0,,pingerea,inf,8.10E-06,0,,jõuluv,125.2040309,4.59E-29,5.67E-05,0,,arvatud,41.50255571,40.50255571,0
soolestikufloor,22962.70645,0,2.43E-05,0,,foorumeis,inf,8.10E-06,0,,parlament,123.4204478,1.13E-28,0.000599438,0.000116256,,survel,41.50255571,40.50255571,0
võimuvertikaall,22962.70645,0,2.43E-05,0,,pinduma,inf,8.10E-06,0,,preemia,119.1119747,9.90E-28,0.000356422,3.76E-05,,kirjutatud,41.48154749,48.60306685,0.195786316
kaitseks,22962.70645,0,2.43E-05,0,,baastasemene,inf,8.10E-06,0,,kirik,116.0117408,4.72E-27,0.000882956,0.000254476,,suhtlemiskord,41.44486762,48.60306685,0.19684462
kuubal,22962.70645,0,2.43E-05,0,,tegutsenud,inf,2.43E-05,0,,lng,113.8248499,1.42E-26,0.000137709,1.80E-06,,charleroi,41.18455945,56.703578,0.401097372
asunud,22962.70645,0,2.43E-05,0,,piskima,inf,8.10E-06,0,,poliitik,111.2808506,5.14E-26,0.000486031,8.41E-05,,pandud,40.85401593,40.50255571,0.015874566
uis,22962.70645,0,2.43E-05,0,,flirdima,inf,8.10E-06,0,,rahvas,111.2781563,5.14E-26,0.001004463,0.000326517,,mõeldud,40.85401593,40.50255571,0.015874566
elatustane,22962.70645,0,2.43E-05,0,,konnakeetmine,inf,8.10E-06,0,,protsent,110.6516918,7.05E-26,0.000915358,0.000280285,,giulietto,40.10203057,40.50255571,0.034924046
luurekeel,22962.70645,0,2.43E-05,0,,tüvinarratiiv,inf,8.10E-06,0,,vene,109.0201815,1.61E-25,0.000866755,0.000257967,,fukuyama,40.00605132,56.703578,0.442371244
kaitsetaht,22962.70645,0,2.43E-05,0,,toorainerikas,inf,8.10E-06,0,,seadus,108.4455724,2.15E-25,0.000882956,0.000267329,,piontkovski,39.73632436,40.50255571,0.044448785
humanitaarkonvoid,22962.70645,0,2.43E-05,0,,konspiratsiooniteooriate-huviline,inf,8.10E-06,0,,klaipe,107.3177408,3.79E-25,4.86E-05,0,,puupõld,39.69007903,48.60306685,0.249759841
kõhuelustik,22962.70645,0,2.43E-05,0,,toornaft,inf,2.43E-05,0,,käibem,107.3177408,3.79E-25,4.86E-05,0,,eliitkool,39.26909849,113.407156,1.913414374
kaubavidu,22962.70645,0,2.43E-05,0,,konspiratsiooniteema,inf,8.10E-06,0,,pensioniea,107.3177408,3.79E-25,4.86E-05,0,,infosõda,39.11743719,105.3066448,1.717628058
piinamisraport,22962.70645,0,2.43E-05,0,,juhtimispidevus,inf,8.10E-06,0,,inkrementalist,107.3177408,3.79E-25,4.86E-05,0,,koolivalik,37.95451269,48.60306685,0.306908279
appathurai,22962.70645,0,2.43E-05,0,,juhtimiskeel,inf,8.10E-06,0,,rubla,103.5394912,2.55E-24,0.000234915,1.55E-05,,neoliberaalne,37.56215647,81.00511142,1.183184331
vanamemme,22962.70645,0,2.43E-05,0,,institutsioonivälisus,inf,8.10E-06,0,,liberaalne,99.26053358,2.21E-23,0.000210613,1.22E-05,,kihistumine,37.40990782,89.10562256,1.40860317
vandenõuteema,22962.70645,0,2.43E-05,0,,kõhllema,inf,8.10E-06,0,,tuulik,96.29058295,9.92E-23,0.000218714,1.44E-05,,jäänud,37.39160681,64.80408914,0.759862567
veeldatud,22962.70645,0,2.43E-05,0,,juhatanud,inf,8.10E-06,0,,mäng,95.39163022,1.56E-22,0.000145809,0.000775969,,riigikirik,37.37354696,56.703578,0.543968467
mittekangelane,22962.70645,0,2.43E-05,0,,uis,inf,2.43E-05,0,,valimine,94.72435294,2.19E-22,0.000648041,0.000171933,,puusepa,36.5059887,48.60306685,0.358765195
tegutsenud,22962.70645,0,2.43E-05,0,,toimunus,inf,8.10E-06,0,,donetski,93.47271431,4.12E-22,0.000105307,1.07E-06,,ajateenistus,36.49116439,364.5230014,9.016753576
toornaft,22962.70645,0,2.43E-05,0,,koolikobar,inf,8.10E-06,0,,auto,90.55835115,1.80E-21,0.000194412,0.000847454,,chiesa,35.89098984,48.60306685,0.382047892
põlevkiv,22962.70645,0,2.43E-05,0,,kõhtlema,inf,8.10E-06,0,,survel,89.43145066,3.17E-21,4.05E-05,0,,luukas,34.7691802,97.20613371,1.824516803
tekkinud,22130.39777,0,7.29E-05,2.01E-08,,koolikiusamisevastane,inf,8.10E-06,0,,arvatud,89.43145066,3.17E-21,4.05E-05,0,,eetikakoodeks,34.37821401,105.3066448,2.092267819
lasmann,17226.05863,0,0.000105307,6.56E-08,,koodeksid,inf,8.10E-06,0,,kurkov,89.31852866,3.36E-21,5.67E-05,3.17E-08,,kibestunu,34.16309914,40.50255571,0.214835795
euron,16269.86729,0,8.10E-05,3.92E-08,,koode,inf,8.10E-06,0,,sattunud,89.11902627,3.72E-21,6.48E-05,8.68E-08,,riigipidamine,34.13336385,40.50255571,0.2158941
varjulejäämine,15308.47095,0,1.62E-05,0,,kooberdanud,inf,8.10E-06,0,,kodakondsus,88.23918564,5.80E-21,0.000243015,2.25E-05,,schengeni,33.40204457,32.40204457,0
kamalu,15308.47095,0,1.62E-05,0,,kommunikatsioonitehnolitehi,inf,8.10E-06,0,,valija,87.62116145,7.93E-21,0.000299719,3.83E-05,,seisukohalt,33.40204457,32.40204457,0
kuhjas,15308.47095,0,1.62E-05,0,,kommunikatsiooniministeerimisterinm,inf,8.10E-06,0,,eliitkool,86.66658292,1.28E-20,0.000113407,1.91E-06,,vabaduse,33.40204457,32.40204457,0
ürge,15308.47095,0,1.62E-05,0,,sinelivargus,inf,8.10E-06,0,,vabakond,86.20604605,1.62E-20,7.29E-05,2.19E-07,,vooglaiduu,33.40204457,32.40204457,0
valgustusaja,15308.47095,0,1.62E-05,0,,jutustamispraktika,inf,8.10E-06,0,,kultuur,85.71907162,2.07E-20,0.000583237,0.000154058,,kehtestatud,33.40204457,32.40204457,0
üürielamispind,15308.47095,0,1.62E-05,0,,brüssel-charleroi,inf,8.10E-06,0,,majandus,84.91017938,3.12E-20,0.000567036,0.000147516,,hoiuraha,33.40204457,32.40204457,0
kingima,15308.47095,0,1.62E-05,0,,kõhukaudne,inf,8.10E-06,0,,rootsi,82.24630732,1.20E-19,0.000623739,0.000179287,,põhiparadoks,33.40204457,32.40204457,0
kujundatud,15308.47095,0,1.62E-05,0,,vandenõuteemaline,inf,2.43E-05,0,,lisama,82.03541647,1.34E-19,0.000210613,0.000832335,,niinimesi,33.40204457,32.40204457,0
debatis,15308.47095,0,1.62E-05,0,,koheldima,inf,8.10E-06,0,,infosõda,81.33783425,1.90E-19,0.000105307,1.72E-06,,vandenõue,33.40204457,32.40204457,0
vandenõudiskursus,15308.47095,0,1.62E-05,0,,konverteeritud,inf,8.10E-06,0,,riigireform,79.4008,5.07E-19,0.000121508,3.25E-06,,essees,33.40204457,32.40204457,0
sõjaväestatud,15308.47095,0,1.62E-05,0,,juhike,inf,8.10E-06,0,,julgeolek,78.97994522,6.27E-19,0.000283518,3.87E-05,,ebola,33.06584439,89.10562256,1.725036189
näljas,15308.47095,0,1.62E-05,0,,kontor-labürürt,inf,8.10E-06,0,,vandenõunarratiiv,77.29986601,1.47E-18,4.86E-05,2.54E-08,,debat,33.05225114,32.40204457,0.010583044
kuken,15308.47095,0,1.62E-05,0,,arvutud,inf,8.10E-06,0,,riigikogulane,76.65615246,2.03E-18,0.000137709,5.52E-06,,haavaja,33.01767432,32.40204457,0.011641349
parado,15308.47095,0,1.62E-05,0,,võimuvertikaall,inf,2.43E-05,0,,eetikakoodeks,76.31897031,2.41E-18,0.000105307,2.09E-06,,sotsiaalliberalism,32.74364249,32.40204457,0.020107784
viidatud,15308.47095,0,1.62E-05,0,,sisseastumiseksame,inf,8.10E-06,0,,castro,76.13168023,2.65E-18,0.000121508,3.63E-06,,luhanski,32.37419206,32.40204457,0.031749132
kastivird,15308.47095,0,1.62E-05,0,,sisekoloonia,inf,8.10E-06,0,,kodanik,75.69389399,3.31E-18,0.000534634,0.000145498,,elatisfond,32.30791315,32.40204457,0.033865741
pimevaim,15308.47095,0,1.62E-05,0,,tüske,inf,8.10E-06,0,,allians,74.79335351,5.23E-18,5.67E-05,9.63E-08,,eksamisüsteem,31.94817606,32.40204457,0.04550709
lõksus,15308.47095,0,1.62E-05,0,,topeltpettus,inf,8.10E-06,0,,omavalitsus,74.24750411,6.89E-18,0.000534634,0.000147712,,ndatel,31.91586953,32.40204457,0.046565394
mašenka,15308.47095,0,1.62E-05,0,,topeltkäik,inf,8.10E-06,0,,ida-ukraina,73.3537079,1.08E-17,0.000113407,3.12E-06,,pannoo,31.37367739,56.703578,0.839235397
teadmussiir,15308.47095,0,1.62E-05,0,,topeltemotsioon,inf,8.10E-06,0,,lääneriik,72.85908989,1.39E-17,0.00015391,8.80E-06,,balticu,31.34532503,32.40204457,0.065614873
kelgima,15308.47095,0,1.62E-05,0,,koolivõrgum,inf,8.10E-06,0,,nõuandev,72.75759508,1.47E-17,0.000105307,2.41E-06,,alkoreklaam,31.2212966,32.40204457,0.069848091
oleksandri,15308.47095,0,1.62E-05,0,,tootmisefektiivne,inf,8.10E-06,0,,ratsionalist,72.60129445,1.59E-17,6.48E-05,2.52E-07,,nõuandev,31.19653655,105.3066448,2.407642533
laureaade,15308.47095,0,1.62E-05,0,,bobama,inf,8.10E-06,0,,poliitiline,72.56325783,1.62E-17,0.000526533,0.000146342,,neoliberalism,31.16568926,48.60306685,0.591592165
teabeamees,15308.47095,0,1.62E-05,0,,koormusrünnak,inf,8.10E-06,0,,eestlane,72.20730012,1.94E-17,0.000720945,0.00025005,,kohvri,31.06763453,32.40204457,0.075139613
okase,15308.47095,0,1.62E-05,0,,koormavama,inf,8.10E-06,0,,pikamägi,72.10990799,2.04E-17,5.67E-05,1.17E-07,,maidan,30.98148585,56.703578,0.862518094
ujul,15308.47095,0,1.62E-05,0,,tooteloomevõimalus,inf,8.10E-06,0,,luukas,71.78268893,2.40E-17,9.72E-05,1.82E-06,,salasepitsus,30.88105112,40.50255571,0.343948933
esilekererkimine,15308.47095,0,1.62E-05,0,,agnostiliselt,inf,8.10E-06,0,,seisukohalt,71.54516053,2.71E-17,3.24E-05,0,,koolipiirkond,30.40910974,32.40204457,0.09842231
vandenõuromaan,15308.47095,0,1.62E-05,0,,koolitoru,inf,8.10E-06,0,,vooglaiduu,71.54516053,2.71E-17,3.24E-05,0,,lääne-ukraina,30.35517522,40.50255571,0.36723163
vastuluureasutus,15308.47095,0,1.62E-05,0,,brežnevi-nekdoot,inf,8.10E-06,0,,vabaduse,71.54516053,2.71E-17,3.24E-05,0,,naturalisatsioon,29.28961019,40.50255571,0.416971938
ridamine,15308.47095,0,1.62E-05,0,,juhilub,inf,8.10E-06,0,,essees,71.54516053,2.71E-17,3.24E-05,0,,riigireform,28.84652423,121.5076671,3.246877931
leones,15308.47095,0,1.62E-05,0,,poeg-väime-mees,inf,8.10E-06,0,,põhiparadoks,71.54516053,2.71E-17,3.24E-05,0,,immuniteet,28.5482673,56.703578,1.021263756
ärgake,15308.47095,0,1.62E-05,0,,poekampaania,inf,8.10E-06,0,,niinimesi,71.54516053,2.71E-17,3.24E-05,0,,loetud,27.88376577,32.40204457,0.197902925
kaasaelaeg,15308.47095,0,1.62E-05,0,,kõhuelustik,inf,2.43E-05,0,,vandenõue,71.54516053,2.71E-17,3.24E-05,0,,ida-ukraina,27.79808936,113.407156,3.115648184
soolemikroop,15308.47095,0,1.62E-05,0,,vorb,inf,8.10E-06,0,,schengeni,71.54516053,2.71E-17,3.24E-05,0,,grossman,27.68807438,32.40204457,0.20636936
kärata,15308.47095,0,1.62E-05,0,,printsessikotike,inf,8.10E-06,0,,hoiuraha,71.54516053,2.71E-17,3.24E-05,0,,ndate,27.66993745,48.60306685,0.792670003
riigipäis,15308.47095,0,1.62E-05,0,,fassaadiperekond,inf,8.10E-06,0,,kehtestatud,71.54516053,2.71E-17,3.24E-05,0,,batista,27.6153964,32.40204457,0.209544273
kaunine,15308.47095,0,1.62E-05,0,,praktiseeritud,inf,8.10E-06,0,,kapo,70.26817502,5.18E-17,0.000137709,6.73E-06,,piimatootja,26.8847423,89.10562256,2.3515524
küsigema,15308.47095,0,1.62E-05,0,,fenomenedudukultus,inf,8.10E-06,0,,kasutama,70.24745454,5.23E-17,0.000704744,0.001540359,,castro,26.44149835,121.5076671,3.633159041
tsiviilkohtumetlus,15308.47095,0,1.62E-05,0,,turgatanud,inf,8.10E-06,0,,kodakondsuspoliitika,70.17874366,5.42E-17,7.29E-05,5.43E-07,,luureasutus,25.6619657,32.40204457,0.301616757
mbn,15308.47095,0,1.62E-05,0,,prahivedaja,inf,8.10E-06,0,,etendusasutus,70.02246754,5.86E-17,8.10E-05,9.04E-07,,lastetoetus,25.63707518,72.90460028,1.882723546
janukovõtm,15308.47095,0,1.62E-05,0,,hoiuraha,inf,3.24E-05,0,,kihistumine,69.49889836,7.65E-17,8.91E-05,1.41E-06,,vaesusrisk,25.62749346,48.60306685,0.935541099
tsiviilkaits,15308.47095,0,1.62E-05,0,,praeahju,inf,8.10E-06,0,,hooaeg,69.29813816,8.46E-17,8.10E-06,0.000318539,,veeldatud,25.30153343,24.30153343,0
kangelasetüüp,15308.47095,0,1.62E-05,0,,praagitud,inf,8.10E-06,0,,lapsevanem,69.29727311,8.47E-17,0.000372624,8.00E-05,,kõhuelustik,25.30153343,24.30153343,0
pehmod,15308.47095,0,1.62E-05,0,,prahiuputus,inf,8.10E-06,0,,raha,67.70714301,1.90E-16,0.001231278,0.000581182,,piinamisraport,25.30153343,24.30153343,0
iibe,15308.47095,0,1.62E-05,0,,preemiaarhitektuur,inf,8.10E-06,0,,mõeldud,66.94196402,2.80E-16,4.05E-05,1.59E-08,,kaitsetaht,25.30153343,24.30153343,0
madalale,15308.47095,0,1.62E-05,0,,preemiaring,inf,8.10E-06,0,,pandud,66.94196402,2.80E-16,4.05E-05,1.59E-08,,kirikuel,25.30153343,24.30153343,0
plaanitud,15308.47095,0,1.62E-05,0,,preemiasaaeg,inf,8.10E-06,0,,klient,66.73218643,3.11E-16,2.43E-05,0.000360119,,kiidetud,25.30153343,24.30153343,0
tänas,15308.47095,0,1.62E-05,0,,fatvas,inf,8.10E-06,0,,partei,66.0762025,4.34E-16,0.000332121,6.67E-05,,kaitseks,25.30153343,24.30153343,0
meditsiinitehnoloogiline,15308.47095,0,1.62E-05,0,,prevaleerivam,inf,8.10E-06,0,,maailm,65.84810025,4.87E-16,0.001409489,0.00071028,,kuubal,25.30153343,24.30153343,0
palgavaes,15308.47095,0,1.62E-05,0,,tuttuueg,inf,8.10E-06,0,,tuuletehnoloogia,65.75366543,5.11E-16,5.67E-05,1.87E-07,,elatustane,25.30153343,24.30153343,0
peapõhju,15308.47095,0,1.62E-05,0,,tuttuue,inf,8.10E-06,0,,demokraatia,65.4973534,5.82E-16,0.000267317,4.28E-05,,kaubavidu,25.30153343,24.30153343,0
pannool,15308.47095,0,1.62E-05,0,,poliitjõuetus,inf,8.10E-06,0,,euros,65.35500992,6.26E-16,4.86E-05,7.41E-08,,asunud,25.30153343,24.30153343,0
tembeldatud,15308.47095,0,1.62E-05,0,,faldorf,inf,8.10E-06,0,,ebola,65.13532446,6.99E-16,8.91E-05,1.73E-06,,mittekangelane,25.30153343,24.30153343,0
palguma,15308.47095,0,1.62E-05,0,,pildivihkaja,inf,8.10E-06,0,,manifest,64.97381396,7.59E-16,0.000121508,5.35E-06,,mobiils,25.30153343,24.30153343,0
rõhkuma,15308.47095,0,1.62E-05,0,,laibatee,inf,8.10E-06,0,,neoliberaalne,64.73159693,8.58E-16,8.10E-05,1.18E-06,,uis,25.30153343,24.30153343,0
räntama,15308.47095,0,1.62E-05,0,,pommitamata,inf,8.10E-06,0,,venelane,64.5234244,9.54E-16,0.00032402,6.50E-05,,isehävituv,25.30153343,24.30153343,0
sotsiopoliitiitiline,15308.47095,0,1.62E-05,0,,poliitpuhkus,inf,8.10E-06,0,,näide,64.46966822,9.80E-16,0.000275417,0.000845471,,tegutsenud,25.30153343,24.30153343,0
sisserännanud,15308.47095,0,1.62E-05,0,,poliitnoviits,inf,8.10E-06,0,,päev,63.64304972,1.49E-15,0.000672342,0.001444153,,appathurai,25.30153343,24.30153343,0
pahal,15308.47095,0,1.62E-05,0,,barrelihinna,inf,8.10E-06,0,,kiiev,62.44824878,2.74E-15,0.000145809,1.01E-05,,castrole,25.30153343,24.30153343,0
mikroetnos,15308.47095,0,1.62E-05,0,,poliitmetafoor,inf,8.10E-06,0,,ideoloogiline,62.39938473,2.80E-15,0.000145809,1.02E-05,,luurekeel,25.30153343,24.30153343,0
nääriv,15308.47095,0,1.62E-05,0,,installeeritud,inf,8.10E-06,0,,toimunud,61.52120442,4.38E-15,5.67E-05,2.55E-07,,vanamemme,25.30153343,24.30153343,0
kontrane,15308.47095,0,1.62E-05,0,,vandenõue,inf,3.24E-05,0,,kooseluseadus,61.26258079,4.99E-15,0.000129608,7.44E-06,,vandenõuteema,25.30153343,24.30153343,0
kirjapand,15308.47095,0,1.62E-05,0,,poolsosinal,inf,8.10E-06,0,,erinev,60.76027345,6.45E-15,0.000380724,0.000991096,,põlevkiv,25.30153343,24.30153343,0
putinland,15308.47095,0,1.62E-05,0,,filmidele-sari,inf,8.10E-06,0,,giulietto,59.84740282,1.03E-14,4.05E-05,3.49E-08,,vandenõuteemaline,25.30153343,24.30153343,0
tahes-tahtma,15308.47095,0,1.62E-05,0,,tulumaksuvab,inf,8.10E-06,0,,riigikontroll,58.97770327,1.59E-14,0.000129608,8.02E-06,,humanitaarkonvoid,25.30153343,24.30153343,0
džihaat,15308.47095,0,1.62E-05,0,,pooldanud,inf,8.10E-06,0,,piimatootja,58.49349197,2.04E-14,8.91E-05,2.35E-06,,euromaitan,25.30153343,24.30153343,0
blatnoid,15308.47095,0,1.62E-05,0,,pr-teen,inf,8.10E-06,0,,piontkovski,57.58717676,3.23E-14,4.05E-05,4.44E-08,,toornaft,25.30153343,24.30153343,0
neljale-viie,15308.47095,0,1.62E-05,0,,probiooiikum,inf,8.10E-06,0,,juhiluba,56.95243743,4.46E-14,0.000145809,1.20E-05,,soolestikufloor,25.30153343,24.30153343,0
põhialune,15308.47095,0,1.62E-05,0,,pro-euroopa,inf,8.10E-06,0,,nahk,56.31968938,6.16E-14,2.43E-05,0.000314664,,gork,25.30153343,24.30153343,0
pälvinud,15308.47095,0,1.62E-05,0,,vox-popul,inf,8.10E-06,0,,liit,56.27236952,6.31E-14,0.001044966,0.000497584,,võimuvertikaall,25.30153343,24.30153343,0
päkapikukart,15308.47095,0,1.62E-05,0,,vovka-nimeline,inf,8.10E-06,0,,võim,56.1642743,6.67E-14,0.000486031,0.000153559,,konspiratsiooniteooria,25.27156267,32.40204457,0.321724541
castrot,15308.47095,0,1.62E-05,0,,turneel,inf,8.10E-06,0,,puusepp,56.16055956,6.68E-14,0.000113407,5.91E-06,,projektiteater,25.23115751,32.40204457,0.32384115
merejalaväebrigaat,15308.47095,0,1.62E-05,0,,tänavalane,inf,8.10E-06,0,,lisa,55.42327763,9.72E-14,0.000396925,0.000980284,,marti,25.0365703,24.30153343,0.010583044
propagandavesk,15308.47095,0,1.62E-05,0,,kehtestatud,inf,3.24E-05,0,,charleroi,55.29179091,1.04E-13,5.67E-05,4.01E-07,,tekitanud,25.0365703,24.30153343,0.010583044
kiirkord,15308.47095,0,1.62E-05,0,,finantseerimisvõime,inf,8.10E-06,0,,jäänud,55.23666165,1.07E-13,6.48E-05,7.60E-07,,rahvusliberaalne,24.98424222,24.30153343,0.012699653
seadustatud,15308.47095,0,1.62E-05,0,,bakterirühma,inf,8.10E-06,0,,debat,54.79622481,1.34E-13,3.24E-05,1.06E-08,,pühendatud,24.93213243,24.30153343,0.014816262
mistahesk,15308.47095,0,1.62E-05,0,,piirseptember,inf,8.10E-06,0,,rahastamine,54.41395478,1.62E-13,0.000251116,4.61E-05,,patriood,24.85437403,24.30153343,0.017991175
spetsnazi,15308.47095,0,1.62E-05,0,,piirkonnatasand,inf,8.10E-06,0,,haavaja,54.15057943,1.86E-13,3.24E-05,1.16E-08,,hädapidur,24.77561696,32.40204457,0.348182151
koodma,15308.47095,0,1.62E-05,0,,kiidetud,inf,2.43E-05,0,,toimuma,54.13614163,1.87E-13,0.000380724,0.000946894,,lepitusmenetlus,24.74794317,48.60306685,1.004330885
pakas,15308.47095,0,1.62E-05,0,,absoluutkogune,inf,8.10E-06,0,,kirjutatud,54.03039628,1.97E-13,4.86E-05,1.96E-07,,maailmakultuur,24.71740849,32.40204457,0.351357064
tipptehnoloogiafirma,15308.47095,0,1.62E-05,0,,piiritlett,inf,8.10E-06,0,,suhtlemiskord,53.96699156,2.04E-13,4.86E-05,1.97E-07,,näilisus,24.67875455,32.40204457,0.353473673
