SÕNAVORMID,MIN 1 SAGEDUS FOOKUSKORPUSES,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SÕNADE KATTUVUS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sõnu:,50,,,,,,,100,,,,,,,200,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SONAVORM,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus,,SONAVORM,Votmesus,Fookus suhteline sagedus,Referents suhteline sagedus,,SONAVORM,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus,,SONAVORM,Votmesus,Fookus suhteline sagedus mil.,Referents suhteline sagedus mil.
elumalev,84196.59101,0,8.91E-05,0,,valetamistaktika,inf,8.10E-06,0,,riik,731.0698175,5.24E-161,0.00428517,0.000996571,,lasmann,99.76084935,105.3066448,0.065614873
palgalõht,68888.11977,0,7.29E-05,0,,botswanalas,inf,8.10E-06,0,,venemaa,381.2823829,6.54E-85,0.001774012,0.000328861,,missioonipreemia,94.89114491,121.5076671,0.291033713
üksikem,61233.88418,0,6.48E-05,0,,julgeolekugantiid,inf,8.10E-06,0,,riigikogu,338.8603207,1.13E-75,0.001182675,0.000155413,,elumalev,90.10562256,89.10562256,0
bidia,61233.88418,0,6.48E-05,0,,soolestikufloor,inf,2.43E-05,0,,eesti,325.7973164,7.91E-73,0.006561414,0.00322906,,mies,89.04826337,129.6081783,0.466712245
jõuluv,53579.6486,0,5.67E-05,0,,julgeolekugarantiin,inf,8.10E-06,0,,ukraina,264.0306203,2.27E-59,0.000842453,9.78E-05,,euron,78.9150154,81.00511142,0.039157263
käibem,45925.41304,0,4.86E-05,0,,ehmatamanev,inf,8.10E-06,0,,putin,261.2124108,9.34E-59,0.000648041,5.03E-05,,palgalõht,73.90460028,72.90460028,0
pensioniea,45925.41304,0,4.86E-05,0,,libaeksam,inf,8.10E-06,0,,näiteks,248.6869639,5.02E-56,0.001312283,0.000276594,,tekkinud,72.44783488,72.90460028,0.020107784
klaipe,45925.41304,0,4.86E-05,0,,toompealane,inf,8.10E-06,0,,ajateenistus,244.9560486,3.27E-55,0.000364523,9.02E-06,,bidia,65.80408914,64.80408914,0
inkrementalist,45925.41304,0,4.86E-05,0,,kommünikees,inf,8.10E-06,0,,krimm,206.3064298,8.78E-47,0.000380724,1.63E-05,,üksikem,65.80408914,64.80408914,0
