LEMMA,Votmesus,Fookus suhteline sagedus,Referents suhteline sagedus
valetamistaktika,inf,8.100511142253076e-06,0.0
botswanalas,inf,8.100511142253076e-06,0.0
julgeolekugantiid,inf,8.100511142253076e-06,0.0
soolestikufloor,inf,2.430153342675923e-05,0.0
julgeolekugarantiin,inf,8.100511142253076e-06,0.0
ehmatamanev,inf,8.100511142253076e-06,0.0
libaeksam,inf,8.100511142253076e-06,0.0
toompealane,inf,8.100511142253076e-06,0.0
kommünikees,inf,8.100511142253076e-06,0.0
libaeksame,inf,8.100511142253076e-06,0.0
libaskandaal,inf,8.100511142253076e-06,0.0
veeldatud,inf,2.430153342675923e-05,0.0
impordisanktsioon,inf,8.100511142253076e-06,0.0
kommunistilik,inf,8.100511142253076e-06,0.0
kommunisti-aktivisti,inf,8.100511142253076e-06,0.0
julgeolekukontsioon,inf,8.100511142253076e-06,0.0
toodug,inf,8.100511142253076e-06,0.0
konfliktieeldus,inf,8.100511142253076e-06,0.0
sisetarbima,inf,8.100511142253076e-06,0.0
sissemakseaeg,inf,8.100511142253076e-06,0.0
konspiratsioonilteema,inf,8.100511142253076e-06,0.0
konspiratsiooninarratiiv,inf,8.100511142253076e-06,0.0
konspiratsiooniskeem,inf,8.100511142253076e-06,0.0
toonis,inf,8.100511142253076e-06,0.0
baasenergiana,inf,8.100511142253076e-06,0.0
baasregulatsioon,inf,8.100511142253076e-06,0.0
piqueteros,inf,8.100511142253076e-06,0.0
alksireklaam,inf,8.100511142253076e-06,0.0
pingerea,inf,8.100511142253076e-06,0.0
foorumeis,inf,8.100511142253076e-06,0.0
pinduma,inf,8.100511142253076e-06,0.0
baastasemene,inf,8.100511142253076e-06,0.0
tegutsenud,inf,2.430153342675923e-05,0.0
piskima,inf,8.100511142253076e-06,0.0
flirdima,inf,8.100511142253076e-06,0.0
konnakeetmine,inf,8.100511142253076e-06,0.0
tüvinarratiiv,inf,8.100511142253076e-06,0.0
toorainerikas,inf,8.100511142253076e-06,0.0
konspiratsiooniteooriate-huviline,inf,8.100511142253076e-06,0.0
toornaft,inf,2.430153342675923e-05,0.0
konspiratsiooniteema,inf,8.100511142253076e-06,0.0
juhtimispidevus,inf,8.100511142253076e-06,0.0
juhtimiskeel,inf,8.100511142253076e-06,0.0
institutsioonivälisus,inf,8.100511142253076e-06,0.0
kõhllema,inf,8.100511142253076e-06,0.0
juhatanud,inf,8.100511142253076e-06,0.0
uis,inf,2.430153342675923e-05,0.0
toimunus,inf,8.100511142253076e-06,0.0
koolikobar,inf,8.100511142253076e-06,0.0
kõhtlema,inf,8.100511142253076e-06,0.0
koolikiusamisevastane,inf,8.100511142253076e-06,0.0
koodeksid,inf,8.100511142253076e-06,0.0
koode,inf,8.100511142253076e-06,0.0
kooberdanud,inf,8.100511142253076e-06,0.0
kommunikatsioonitehnolitehi,inf,8.100511142253076e-06,0.0
kommunikatsiooniministeerimisterinm,inf,8.100511142253076e-06,0.0
sinelivargus,inf,8.100511142253076e-06,0.0
jutustamispraktika,inf,8.100511142253076e-06,0.0
brüssel-charleroi,inf,8.100511142253076e-06,0.0
kõhukaudne,inf,8.100511142253076e-06,0.0
vandenõuteemaline,inf,2.430153342675923e-05,0.0
koheldima,inf,8.100511142253076e-06,0.0
konverteeritud,inf,8.100511142253076e-06,0.0
juhike,inf,8.100511142253076e-06,0.0
