LEMMA,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus
riik,731.0698174769266,5.242938829728008e-161,0.004285170394251877,0.0009965713974439746
venemaa,381.2823829395522,6.542858835507415e-85,0.0017740119401534237,0.0003288606873716989
riigikogu,338.8603207403944,1.129987589811128e-75,0.0011826746267689491,0.00015541306095783768
eesti,325.7973163911764,7.909608780196901e-73,0.006561414025224992,0.003229060317766715
ukraina,264.0306202905509,2.2696694797858753e-59,0.0008424531587943199,9.776298651083188e-05
putin,261.2124108253462,9.337741652554802e-59,0.0006480408913802461,5.0314966579175334e-05
näiteks,248.6869638503025,5.019914933742586e-56,0.0013122828050449984,0.00027659420745991943
ajateenistus,244.95604855942372,3.2667106646428435e-55,0.00036452300140138845,9.016753575806614e-06
krimm,206.30642984358775,8.784791814664194e-47,0.0003807240236858946,1.6258730655530164e-05
erakond,204.89850451604036,1.782097399941744e-46,0.0008424531587943199,0.00013595507606995266
elumalev,196.74919145817574,1.0696938942485177e-44,8.910562256478383e-05,0.0
kreml,183.74275618784333,7.383633375890792e-42,0.00036452300140138845,1.828326699244543e-05
kell,180.28535463307966,4.198712047622925e-41,4.860306685351846e-05,0.0009218847385998637
nato,169.92153888859465,7.696675906181511e-39,0.0005103322019619438,5.417036954591988e-05
lasmann,163.36810085530837,2.0787640349515234e-37,0.00010530664484928998,6.561487343896832e-08
sõda,161.85666185317396,4.446356190286189e-37,0.0007047444693760176,0.0001214785300413777
palgalõht,160.9766111930529,6.922683687487537e-37,7.290460028027768e-05,0.0
ühiskond,158.77156780366016,2.0991924331162755e-36,0.0008991567367900914,0.00020264836170302275
missioonipreemia,150.3008773575922,1.4900317664524527e-34,0.00012150766713379614,2.910337128341337e-07
lääs,149.00491521349184,2.860660117364286e-34,0.0005832368022422214,8.873670819533251e-05
mies,147.59566489275295,5.814570516513504e-34,0.00012960817827604922,4.667122449449198e-07
laps,147.4828785174144,6.154215683485155e-34,0.003183500878905459,0.0016093846828404501
üksikem,143.09032106049145,5.6167188504091934e-33,6.480408913802461e-05,0.0
bidia,143.09032106049145,5.6167188504091934e-33,6.480408913802461e-05,0.0
poliitika,139.95671428747556,2.7206917412361144e-32,0.0006237393579534868,0.00011034093442731798
euron,130.2183213789063,3.670974847997647e-30,8.100511142253076e-05,3.91572631813198e-08
euroopa,129.13494639628044,6.336077661893096e-30,0.0020737308524167875,0.0009268492445886088
tekkinud,125.81684647094772,3.372126275125116e-29,7.290460028027768e-05,2.0107783795812872e-08
jõuluv,125.20403092793002,4.592181207287201e-29,5.6703577995771534e-05,0.0
parlament,123.42044777677972,1.1282011851075135e-28,0.0005994378245267277,0.00011625579777651788
preemia,119.11197474642051,9.898128783808315e-28,0.00035642249025913533,3.76237800907865e-05
kirik,116.01174083207667,4.7249100831693485e-27,0.0008829557145055853,0.00025447564528452524
lng,113.8248499131248,1.4234241363255662e-26,0.0001377086894183023,1.7959425842891812e-06
poliitik,111.28085061298826,5.135485343578477e-26,0.00048603066853518455,8.406958574588331e-05
rahvas,111.27815630458204,5.1424694792181886e-26,0.0010044633816393815,0.00032651654310287127
protsent,110.65169176944619,7.053611538785099e-26,0.0009153577590745976,0.0002802845149386562
vene,109.0201815187192,1.6064190212057128e-25,0.0008667546922210791,0.00025796699153412454
seadus,108.4455724272564,2.1466485953428857e-25,0.0008829557145055853,0.00026732875234769093
klaipe,107.3177407953686,3.792244905048084e-25,4.860306685351846e-05,0.0
käibem,107.3177407953686,3.792244905048084e-25,4.860306685351846e-05,0.0
pensioniea,107.3177407953686,3.792244905048084e-25,4.860306685351846e-05,0.0
inkrementalist,107.3177407953686,3.792244905048084e-25,4.860306685351846e-05,0.0
rubla,103.53949119096447,2.552551325575258e-24,0.0002349148231253392,1.5472410478672852e-05
liberaalne,99.26053357744318,2.2137600230295309e-23,0.00021061328969857997,1.215674276118434e-05
tuulik,96.29058295023455,9.920075907928743e-23,0.00021871380084083307,1.4436330460983336e-05
mäng,95.39163021910056,1.562127331368671e-22,0.00014580920056055536,0.0007759689014201114
valimine,94.72435294189495,2.188304021118359e-22,0.0006480408913802461,0.00017193319280271342
donetski,93.47271431080091,4.118390909621664e-22,0.00010530664484928998,1.0678291499986941e-06
auto,90.55835114870767,1.7960137969051083e-21,0.00019441226741407383,0.0008474541894230469
survel,89.43145066280715,3.1744960647929982e-21,4.050255571126538e-05,0.0
arvatud,89.43145066280715,3.1744960647929982e-21,4.050255571126538e-05,0.0
kurkov,89.31852866401839,3.360965305228853e-21,5.6703577995771534e-05,3.174913230917822e-08
sattunud,89.11902626562852,3.717582952623693e-21,6.480408913802461e-05,8.678096164508713e-08
kodakondsus,88.23918564000499,5.799947265234905e-21,0.00024301533426759227,2.2523892764541335e-05
valija,87.62116144769104,7.927196882959515e-21,0.00029971891226336384,3.833178574128117e-05
eliitkool,86.66658291706942,1.2844899310768154e-20,0.00011340715599154307,1.913414373833141e-06
vabakond,86.20604604568354,1.6213121872121105e-20,7.290460028027768e-05,2.190690129333297e-07
kultuur,85.71907162228425,2.0740291138460108e-20,0.0005832368022422214,0.00015405843131264607
majandus,84.91017937909257,3.1223153164091675e-20,0.0005670357799577153,0.00014751599344813476
rootsi,82.24630732214807,1.2014186348493953e-19,0.0006237393579534868,0.0001792873501499294
