LEMMA,SAGEDUS
olema,5351
ja,3167
see,2522
et,1618
ei,1411
mina,1146
kui,1121
mis,1090
tema,985
ka,916
Eesti,736
saama,730
aasta,700
oma,568
aga,563
ning,545
riik,516
või,515
kes,506
pidama,504
üks,453
siis,441
võima,401
tegema,399
nii,398
laps,393
ise,391
kõik,390
tulema,353
inimene,350
vaid,325
teine,293
kuid,285
mitte,281
aeg,257
Euroopa,255
kas,254
suur,248
kus,232
nagu,230
palju,230
võtma,227
jääma,227
sest,221
juba,220
Venemaa,219
uus,216
mõni,211
välja,192
veel,189
minema,187
andma,187
hakkama,185
selline,182
üle,172
maailm,171
ehk,168
ütlema,168
kord,166
enam,165
näiteks,162
sama,161
eest,160
miski,159
väga,155
raha,152
kuidas,152
vastu,151
asi,150
iga,150
ju,149
rääkima,149
elu,147
ega,146
just,145
pärast,143
riigikogu,142
võimalus,140
viimane,139
kõige,138
tahtma,137
hea,137
isegi,133
kaks,133
küsimus,132
ära,132
rohkem,132
kogu,130
teadma,130
küll,129
osa,125
leidma,124
naine,120
nägema,119
võimalik,117
keegi,115
esimene,115
nüüd,115
rahvas,114
praegu,114
Liit,114
protsent,113
töö,113
panema,112
juht,112
tooma,110
ainult,110
suutma,110
ühiskond,110
seadus,109
kokku,108
kirik,105
Ukraina,103
peale,103
vaatama,102
euro,101
mingi,101
tagasi,101
jõudma,100
ikka,100
arvama,99
vanem,99
oluline,99
kirjutama,98
mõtlema,98
muu,98
vaja,98
erakond,98
tähendama,97
suurem,97
tegelikult,96
mitu,95
sina,95
olukord,95
probleem,94
siin,93
mees,93
näitama,92
käima,92
seal,89
eestlane,89
kool,89
ette,88
sõda,87
kasutama,87
miks,86
õigus,86
praegune,86
koos,86
lihtsalt,85
maksma,85
jaoks,85
elama,85
pool,84
lugu,84
ent,83
vahel,83
muutuma,83
kohta,82
liige,82
päev,82
Tallinn,81
koht,81
valimine,80
Putin,80
Vene,79
pakkuma,79
põhjus,79
viis,79
siiski,78
eriti,78
enne,78
järgmine,77
läbi,76
muidugi,76
toetus,76
mõte,75
huvi,75
Rootsi,75
pere,75
ilmselt,75
otsus,74
alla,74
eesti,74
keel,74
edasi,74
linn,73
poliitika,73
Soome,73
muutma,73
kultuur,72
kindlasti,71
majandus,70
idee,70
käsi,70
lubama,69
looma,69
õige,69
USA,69
tundma,69
hoidma,68
pilt,67
kolm,67
tunduma,66
küsima,66
vähemalt,66
aitama,66
kuna,66
tegevus,66
noor,65
poliitiline,65
omavalitsus,64
kodanik,64
jätma,64
vähem,64
ilma,64
rahvusvaheline,63
pigem,63
kolmas,63
viima,63
hoopis,63
NATO,63
samas,62
väike,62
alati,62
lugema,62
silm,61
sõna,61
lõpp,61
järgi,60
selge,60
parem,60
poliitik,60
võim,60
kunagi,59
vajadus,59
parlament,59
tulemus,59
teema,58
tulevik,58
seega,58
väärtus,57
ootama,57
üsna,56
eesmärk,56
hind,56
kuigi,56
kohalik,56
tekkima,56
kuni,55
mets,55
president,55
avalik,55
piir,55
tegemine,55
kümme,55
valitsus,55
uskuma,54
vana,54
samuti,54
hästi,54
tohtima,54
juurde,54
puhul,53
lääs,53
keskmine,53
poolt,53
vajama,53
poole,53
lootma,53
ettevõte,52
milline,52
jooksul,52
arv,51
otsustama,51
vajalik,51
hetk,51
kasvama,51
kaasa,50
meel,50
toetama,50
lisa,49
ees,49
lahendus,49
maa,49
üldse,49
päris,48
palk,47
ajalugu,47
Krimm,47
parim,47
elanik,47
soovima,47
aru,47
toimuma,47
erinev,47
seni,46
senine,46
lapsevanem,46
püüdma,46
mõistma,46
võrdlema,46
jõud,46
pea,45
valdkond,45
sisse,45
areng,45
all,45
Kreml,45
miljon,45
ajateenistus,45
kaudu,45
abi,45
vastus,45
valmis,44
nimi,44
riiklik,44
preemia,44
tänane,44
tagama,44
tee,44
hiljem,44
veelgi,44
tegu,44
vaba,44
paraku,43
ülesanne,43
alus,43
ajal,43
töötama,43
suhtes,42
nimetama,42
alles,42
soov,42
suhe,41
kuu,41
taas,41
raske,41
algus,41
arvestama,40
nn,40
venelane,40
kaotama,40
juhtuma,40
seisma,40
teater,39
kehtima,39
täna,39
üles,39
ümber,39
valima,39
tõstma,39
seetõttu,38
alustama,38
nädal,38
enamik,38
kuulma,38
uuring,38
õpetaja,38
terve,38
partei,38
täitma,38
täiesti,37
ometi,37
nõudma,37
liiga,37
laskma,37
sajand,37
vähendama,37
hulk,37
Tartu,37
umbes,37
valija,37
asemel,36
reegel,36
vale,36
kohe,36
sarnane,36
jne,36
haridus,36
kohus,36
samm,36
vabadus,36
alates,36
neli,36
tase,36
väiksem,36
järele,35
oskama,35
piirkond,35
ühine,35
liikuma,35
sinna,35
tõusma,35
tasuma,35
vähe,34
endine,34
valik,34
justkui,34
näide,34
julgeolek,34
teatud,34
asuma,34
eelkõige,34
vald,34
kuuluma,34
saatma,34
kohustus,34
seisukoht,34
roll,34
suurim,34
süsteem,34
Leedu,34
üha,34
pank,34
Saksamaa,33
eelmine,33
demokraatia,33
hääl,33
sada,33
ligi,33
plaan,33
jutt,33
film,33
sageli,32
kinnitama,32
toimima,32
kinni,32
siduma,32
mõlema,32
loomulikult,32
juures,32
kõrge,32
näima,32
lihtne,32
tõde,32
astuma,32
kodu,32
ajakirjanik,32
tähelepanu,31
kindel,31
mure,31
lõpetama,31
koostöö,31
õppima,31
nimel,31
sotsiaalne,31
ostma,31
jätkuma,31
kasv,31
ajama,31
tegelema,31
taga,31
töötaja,31
rahastamine,31
kodakondsus,30
sündmus,30
algama,30
mõju,30
maha,30
veidi,30
meenutama,30
teenus,30
üksnes,30
peaaegu,30
kutsuma,30
tuhat,30
sõltuma,30
Läti,30
kokkulepe,30
ametnik,30
põhimõte,30
kaitsma,30
hulgas,30
Moskva,30
raamat,30
uudis,29
maja,29
lahendama,29
majanduslik,29
osas,29
tõttu,29
kõrgem,29
märkama,29
ettepanek,29
kaitse,29
paremini,28
kulu,28
puuduma,28
suurendama,28
mängima,28
jagama,28
lööma,28
kuidagi,28
andmed,28
turg,28
isik,28
tekitama,28
rubla,28
selgelt,28
võimaldama,28
kandma,28
rida,28
ainus,28
tänapäev,28
piisavalt,28
langema,28
peamine,28
teadmine,28
sündima,28
vene,28
leppima,28
ehitama,27
avama,27
seadma,27
komisjon,27
kogemus,27
kasutamine,27
tuulik,27
tõesti,27
piisama,27
igasugune,27
pikk,27
muutus,27
eriline,27
Reformierakond,27
sisu,27
seas,27
tund,27
lootus,27
saadik,26
täis,26
mõjutama,26
loomine,26
kaduma,26
tulu,26
oht,26
Balti,26
mood,26
varem,26
nõnda,26
eeldama,26
too,26
lisama,26
liberaalne,26
kingitus,26
sees,26
jälle,26
lõpuks,26
vastutus,25
antud,25
ehkki,25
tegelik,25
muutmine,25
kohustuslik,25
tõmbama,25
tervis,25
tegutsema,25
halb,25
sisuliselt,25
koosseis,25
tunnistama,25
külm,25
võrra,25
kippuma,25
kujutama,25
lahti,25
töökoht,25
väitma,25
nõukogu,25
püsima,25
tänavu,25
rahvuslik,25
käitumine,24
tasu,24
elav,24
lahendamine,24
keeruline,24
otsima,24
kiri,24
tegelikkus,24
paik,24
kõrval,24
sõnum,24
vastav,24
demokraatlik,24
siiani,24
relv,24
auto,24
esitama,24
lähtuma,24
eeskuju,24
kasu,24
vastama,24
teadlane,24
kuhu,24
sundima,24
olev,24
i,24
loodus,24
ema,23
kirjanik,23
toode,23
kahjuks,23
tehnoloogia,23
pealt,23
heaolu,23
autor,23
hindama,23
omakorda,23
vastane,23
ühiskondlik,23
julgema,23
aju,23
teatama,23
saamine,23
meedia,23
kuulama,23
ettevõtja,23
suhtlemine,23
täpselt,23
tühi,22
sõber,22
programm,22
hulka,22
RE,22
tootma,22
reform,22
paar,22
puudutama,22
paistma,22
kehtestama,22
kahtlus,22
järel,22
võrdne,22
eelnõu,22
seejuures,22
rikkumine,22
usk,22
mil,22
kohaselt,22
rõõm,22
selguma,22
kust,22
vaenlane,22
kurb,22
komme,22
tagajärg,22
hirm,22
ülikool,22
ikkagi,22
moodustama,22
juhtimine,22
peaminister,22
mõistlik,22
sissetulek,22
asuv,22
hoolimata,22
territoorium,21
tabama,21
tööjõud,21
lausa,21
kriitiline,21
suunama,21
maks,21
kohal,21
kriis,21
juhtima,21
süda,21
panustama,21
kõlama,21
ülejäänud,21
sööma,21
Nõukogu,21
hoone,21
isa,21
vahend,21
positsioon,21
roheline,21
unustama,21
alkohol,21
tähtis,21
investeering,21
järjest,21
organisatsioon,21
jalg,21
tahe,21
maksumaksja,20
siit,20
sõitma,20
surema,20
hiljuti,20
teenima,20
saavutama,20
üksteise,20
avalikkus,20
nimelt,20
EL,20
ühtlasi,20
huvitav,20
tervik,20
rõhutama,20
koguma,20
meeldima,20
sealt,20
korraldama,20
tihti,20
suund,20
jagamine,20
rahu,20
käsitlema,20
perekond,20
aina,20
oskus,20
kõne,20
amet,20
tavaline,19
uks,19
tagamine,19
artikkel,19
abil,19
samasugune,19
IRL,19
nõue,19
puhas,19
vaidlus,19
pruukima,19
kapital,19
arendama,19
avaldama,19
jooksma,19
puu,19
liitlane,19
võib-olla,19
jätkama,19
ilmuma,19
sanktsioon,19
korral,19
tõestama,19
üksik,19
