LEMMA,SAGEDUS
puue,19
tuletama,19
kesklinn,19
andmine,19
lääneriik,19
uurima,19
osutuma,19
endiselt,19
saabuma,19
jõulud,19
vaatamata,19
tänu,19
aastane,19
arvamus,19
muudatus,19
õpilane,19
võitlus,19
taust,19
pood,19
arst,19
Poola,19
vaesus,19
tarvis,19
Lääs,19
kõnelema,19
kusagil,19
esimees,18
juhiluba,18
üldine,18
ala,18
Prantsusmaa,18
tervishoid,18
naaber,18
suurus,18
igaüks,18
taha,18
oluliselt,18
pealegi,18
maastik,18
kiiresti,18
projekt,18
minister,18
tehtud,18
reaalne,18
Kiiev,18
selgitama,18
mäng,18
eksam,18
sots,18
kuus,18
aastakümme,18
kava,18
pääsema,18
venekeelne,18
detsember,18
määr,18
jah,18
määrama,18
poeg,18
üritama,18
tasand,18
rakendama,18
arendamine,18
pikaajaline,18
kallis,18
Savisaar,18
sobima,18
ideoloogiline,18
seis,18
arusaam,18
kõrvale,18
vahele,18
tegelane,18
kasvatamine,18
kasvatama,18
madal,18
näitaja,17
mõiste,17
niisugune,17
meelest,17
nimekiri,17
riigikogulane,17
normaalne,17
tugev,17
mujal,17
arutama,17
huvitama,17
terminal,17
nõus,17
lükkama,17
tõstmine,17
esindaja,17
õigustama,17
isiklik,17
siia,17
internet,17
kirjeldama,17
suhtumine,17
liikumine,17
võõras,17
välismaa,17
surm,17
väide,17
külg,17
juhtum,17
kartma,17
kasutus,17
romaan,17
kerkima,17
konflikt,17
tõepoolest,17
sooline,17
tõsi,17
kaasamine,17
sisuline,17
politsei,17
LNG,17
kahju,17
loobuma,17
õnnestuma,17
jumal,17
loomulik,17
ajalooline,17
vaene,17
kogukond,17
sattuma,17
vastavalt,17
osutama,16
kujunema,16
pöörama,16
keelama,16
ida,16
vähene,16
peal,16
kukkuma,16
vähendamine,16
lasteaed,16
nägu,16
asutus,16
Mies,16
enamasti,16
Toompea,16
vist,16
energia,16
käigus,16
sotsiaaldemokraat,16
millal,16
kuulutama,16
pöörduma,16
suhtlema,16
kink,16
must,16
tekst,16
muidu,16
võitma,16
märksa,16
viga,16
tänav,16
müüma,16
lihtsam,16
kapo,16
niivõrd,16
osalema,16
ruum,16
kooseluseadus,16
rahvus,16
maksmine,16
Keskerakond,16
sektor,16
kasvav,16
vabariik,16
dokument,16
tõsine,16
nüüdne,16
märkima,16
ideoloogia,15
seotud,15
number,15
vara,15
igati,15
asjaolu,15
konkreetne,15
muide,15
ministeerium,15
sekkumine,15
sobiv,15
vaim,15
kordama,15
klass,15
missioonipreemia,15
koalitsioon,15
erinevalt,15
viitama,15
üldiselt,15
bakter,15
sugugi,15
manifest,15
iseenese,15
vorm,15
rahaline,15
Parlament,15
hall,15
saladus,15
liit,15
täielik,15
Castro,15
maailmasõda,15
Ameerika,15
tähendus,15
punkt,15
võit,15
kaitsevägi,15
olulisem,15
tuntud,15
tunne,15
riigikontroll,15
armastus,15
haigekassa,15
pisut,15
kaua,15
ressurss,15
kiiremini,15
enamus,15
avatud,15
kõigepealt,15
toimuv,15
toonane,15
istuma,15
kaugel,15
ilus,15
lai,15
lahkuma,15
kakskümmend,14
takistama,14
ajastu,14
niisiis,14
puusepp,14
kiire,14
Swedbank,14
kinnitus,14
protsess,14
vesi,14
plaanima,14
hing,14
rünnak,14
järjekordne,14
võime,14
teisiti,14
praktika,14
saade,14
äsja,14
Ida-Ukraina,14
mäletama,14
lause,14
emotsioon,14
ühendus,14
ametlik,14
küla,14
toit,14
paber,14
direktor,14
analüüs,14
eliitkool,14
struktuur,14
suhteliselt,14
RMK,14
traditsioon,14
paluma,14
London,14
tõeline,14
tubli,14
institutsioon,14
lisanduma,14
insener,14
suunas,14
loogika,14
ükskõik,14
info,14
olu,14
olemasolu,14
süüdistama,14
kaaluma,14
põlvkond,14
kolleeg,14
vandenõu,14
eraldama,14
hool,14
vabatahtlik,14
valgus,14
siinkohal,14
soovitama,14
sotsiaal,14
panus,14
vaade,14
põhjal,14
toime,14
Rõivas,13
samamoodi,13
nõuandev,13
riigireform,13
osakaal,13
poolest,13
Singapur,13
Saksa,13
osaliselt,13
revolutsioon,13
sõjaline,13
piisav,13
suuresti,13
piim,13
riigikohus,13
nõrk,13
november,13
positiivne,13
ammu,13
pilk,13
sealhulgas,13
aus,13
Riik,13
paarkümmend,13
New,13
tava,13
patsient,13
pärit,13
otse,13
riigieelarve,13
nafta,13
risk,13
Suurbritannia,13
arvelt,13
reklaam,13
kultuuriline,13
järeldus,13
mõistagi,13
vastupidi,13
hiir,13
lähedane,13
leping,13
üheksa,13
äärmiselt,13
toetamine,13
eetikakoodeks,13
hommik,13
eurooplane,13
joon,13
täitmine,13
varsti,13
keskkond,13
fakt,13
kestma,13
kindlalt,13
tingimus,13
muretsema,13
edu,13
kevad,13
eelarve,13
hinnang,13
gaas,13
Berliin,13
vägivald,13
Lasmann,13
katse,13
kallim,13
mõtlemine,13
IS,13
käituma,13
meeleolu,13
mainima,13
Donetski,13
värske,13
n-ö,13
kurss,13
kampaania,13
valimisliit,13
infosõda,13
vahe,13
toimimine,13
hüvitis,13
haigla,13
kumbki,13
tööstus,13
haige,13
suurenema,12
grupp,12
võimalikult,12
ajakiri,12
võimekus,12
näol,12
suvi,12
vähenema,12
vältima,12
edaspidi,12
nõustuma,12
lõks,12
väljaspool,12
sealne,12
suurendamine,12
omanik,12
turvalisus,12
kõrgharidus,12
sh,12
statistika,12
staatus,12
küllap,12
kontrollima,12
pidevalt,12
eluruum,12
esile,12
laiendama,12
korralik,12
korruptsioon,12
peategelane,12
peamiselt,12
pealkiri,12
Ida-Euroopa,12
kuritegu,12
vari,12
langetama,12
tuttav,12
seletama,12
omamoodi,12
seesama,12
suunatud,12
kiitma,12
sein,12
volikogu,12
meede,12
ootus,12
seoses,12
tõdema,12
tõenäoliselt,12
Põhja-Korea,12
vastupidine,12
osapool,12
eks,12
seos,12
võitlema,12
partner,12
Vladimir,12
päkapikk,12
mööda,12
võrdlus,12
nt,12
taastama,12
niigi,12
ringi,12
saaja,12
ründama,12
ühtne,12
iseloomustama,12
jõudmine,12
põhjendama,12
äri,12
jätkuvalt,12
rahvuspark,12
märk,12
ületama,12
Obama,12
tasakaal,12
Luukas,12
tark,12
põhikool,12
mulje,12
kahtlemata,12
pisike,11
summa,11
loom,11
omama,11
põhjendatud,11
York,11
vaataja,11
kättesaadav,11
Viimsi,11
büroo,11
Põder,11
jooma,11
vedama,11
kvaliteet,11
Narva,11
avastama,11
kirikukogu,11
kihistumine,11
leiduma,11
jms,11
otsa,11
kütus,11
tööturg,11
kontekst,11
kondoom,11
piimatootja,11
sihtasutus,11
piirama,11
kontroll,11
teineteise,11
aktiivne,11
Kallas,11
otsene,11
elatis,11
september,11
tank,11
teisalt,11
kolmandik,11
nihe,11
üksikisik,11
tööandja,11
esinema,11
teiseks,11
kokkuvõte,11
seltskond,11
vastuolu,11
elumalev,11
valmistama,11
sellepärast,11
eeldus,11
puudu,11
juhtiv,11
meetod,11
maantee,11
propaganda,11
soomlane,11
agressioon,11
kaart,11
sammas,11
väljendama,11
kavatsema,11
katma,11
arvuti,11
süüdi,11
saanud,11
printsiip,11
tükk,11
kuluma,11
kaotamine,11
maht,11
Vabariik,11
Taani,11
teatavasti,11
vaevalt,11
majanduslikult,11
Pariis,11
mööduma,11
ennustama,11
maksusüsteem,11
võimatu,11
puudumine,11
arve,11
kaitsevõime,11
teade,11
lähenemine,11
gümnaasium,11
omaenese,11
arhitekt,11
eel,11
lubadus,11
tipp,11
loosung,11
retoorika,11
argument,11
häda,11
keskenduma,11
toetuma,11
arhitektuur,11
ainuüksi,11
Postimees,11
odavam,11
kunst,11
põhiseadus,11
armas,11
õhtu,11
konkurentsivõime,10
reaalsus,10
eri,10
valge,10
algul,10
ilmunud,10
reageerima,10
raport,10
algatus,10
rakendamine,10
Andrei,10
impeerium,10
korraga,10
pension,10
vaikus,10
esindama,10
eraldi,10
pidev,10
kujundama,10
valesti,10
jt,10
konkurents,10
rong,10
õiglane,10
ajakirjandus,10
seekord,10
seejärel,10
Briti,10
päästma,10
välismaalane,10
saal,10
ähvardama,10
saatus,10
kartul,10
proovima,10
halvasti,10
psühholoogiline,10
puudutav,10
aeg-ajalt,10
puudus,10
võimas,10
kaitsmine,10
põhimõtteliselt,10
hoiak,10
ükskõiksus,10
õnn,10
etendusasutus,10
kommunistlik,10
kommentaar,10
üksi,10
kolima,10
rikas,10
euron,10
rikkuma,10
vastutama,10
Austraalia,10
pind,10
püha,10
veenma,10
kohale,10
põhjustama,10
hoidmine,10
kivi,10
visioon,10
õpetama,10
globaalne,10
paviljon,10
tähtsam,10
osalus,10
tulumaks,10
suurepärane,10
turvaline,10
asutama,10
arenema,10
liitumine,10
mõistus,10
ehitamine,10
laud,10
natuke,10
neoliberaalne,10
annekteerimine,10
tõsiselt,10
sugu,10
laiem,10
Rahvas,10
töötav,10
tegutsev,10
taoline,10
odav,10
niisama,10
tulev,10
taastamine,10
moodne,10
nähtus,10
mudel,10
tahes,10
meelitama,10
sügis,10
tootmine,10
nõrgem,10
arutelu,10
e-residentsus,10
tugevalt,10
tugevam,10
lühike,10
lõppema,10
sõit,10
lõikama,10
sport,10
missioon,10
avalikult,10
uuesti,10
paranema,10
soovitus,10
kätte,10
tavaliselt,10
möödunud,10
parlamendiliige,10
kuuluv,10
ulatus,9
NSV,9
aste,9
tekkinud,9
märkimisväärne,9
parandama,9
maailmavaade,9
aruanne,9
alt,9
vahetama,9
põlevkivi,9
karistama,9
tuba,9
väärt,9
madalam,9
Demokraat,9
teistsugune,9
Ivanov,9
idanaaber,9
Ebola,9
läbima,9
edendamine,9
lähedal,9
palgalõht,9
kuulus,9
kena,9
jaanuar,9
ohver,9
oblast,9
Eestimaa,9
välistama,9
objekt,9
tulija,9
vabastama,9
püsti,9
kaup,9
Taavi,9
sõnastama,9
dollar,9
publik,9
hobune,9
põhjalikult,9
Ossinovski,9
õigusriik,9
tervishoiutöötaja,9
mistõttu,9
missugune,9
miljard,9
põhimõtteline,9
asendama,9
asenduma,9
jälgima,9
mingisugune,9
s,9
õhk,9
minut,9
Toomas,9
tagant,9
kummaline,9
üürikorter,9
paras,9
toimiv,9
maksukoormus,9
luba,9
kandidaat,9
hoiatama,9
diskursus,9
sügav,9
näitus,9
tooraine,9
toona,9
Lääne-Euroopa,9
soe,9
tahtmine,9
kahanema,9
Teataja,9
Läänemeri,9
muuseum,9
kulutama,9
niimoodi,9
vähenemine,9
euroopalik,9
leevendama,9
ekspert,9
lastekaitsetöötaja,9
ilmnema,9
aken,9
pikem,9
lastetoetus,9
käiv,9
hullem,9
lennujaam,9
Hitler,9
kohtuma,9
leppimine,9
levima,9
käibemaks,9
vägivaldne,9
liider,9
tänavune,9
veebruar,9
laiemalt,9
valitsema,9
selg,9
Helsingi,9
kõrvalt,9
tegija,9
spetsialist,9
mõnikord,9
esitlema,9
tüüp,9
riigikaitse,9
esmalt,9
stabiilsus,9
sotsiaalministeerium,9
otsustamine,9
Kaitseliit,9
laen,9
andestamine,9
eliit,9
elanikkond,9
varasem,9
Urmas,9
liikmesriik,9
naasma,9
eespool,9
kiirem,9
fraktsioon,9
rühm,9
täielikult,9
kogunema,9
kindlustama,9
fond,9
kilomeeter,9
suu,9
mõistlikum,9
kirjandus,9
segadus,9
kirjas,9
kitsas,9
viimati,9
austama,9
eelkool,9
valimiskampaania,9
kodakondsuspoliitika,9
liituma,9
omaette,9
omandama,9
käes,9
no,8
iseseisev,8
indiviid,8
mitmekesisus,8
indeks,8
niikuinii,8
isiklikult,8
mõnus,8
ime,8
raadio,8
neljas,8
noorem,8
reaalselt,8
juur,8
asukoht,8
rahvastik,8
nentima,8
avatus,8
britt,8
inimõigus,8
muusika,8
nimetatud,8
intellektuaalne,8
hävitama,8
avaldatud,8
narratiiv,8
määramine,8
igapäevaelu,8
debatt,8
määratud,8
ratsionalist,8
reaktsioon,8
mõeldav,8
intervjuu,8
rahastama,8
investeerima,8
põhjendus,8
niinimetatud,8
identiteet,8
kunagine,8
hiljutine,8
eksisteerima,8
külge,8
paha,8
otsustaja,8
etendus,8
aktsioon,8
piirduma,8
kommunism,8
ettevõtlus,8
osaline,8
minek,8
liigne,8
koguni,8
planeet,8
kodumaa,8
poliitiliselt,8
kinnisvara,8
arenenud,8
politseinik,8
esiteks,8
kõva,8
ametlikult,8
koosnema,8
allikas,8
kulutus,8
paratamatult,8
kultuuriministeerium,8
peagi,8
kusjuures,8
pealinn,8
kujund,8
kuju,8
kuulumine,8
kriitika,8
kuupmeeter,8
erimeelsus,8
pelgalt,8
enam-vähem,8
korraldamine,8
esialgu,8
eelnev,8
funktsioon,8
lugeja,8
materjal,8
kael,8
kaasnev,8
arvestamine,8
jõuliselt,8
puutuma,8
jõukam,8
päevik,8
abikaasa,8
mehike,8
menetlus,8
jäänud,8
miinimum,8
nutitelefon,8
mikroob,8
järgnema,8
järgima,8
järelevalve,8
meenuma,8
maine,8
lugemine,8
kannatama,8
keskus,8
olematu,8
keskel,8
oktoober,8
kehvem,8
keerulisem,8
läinud,8
pressikonverents,8
prioriteet,8
professionaalne,8
lõpetamine,8
arstiabi,8
lõplikult,8
kasum,8
kasulik,8
nõudmine,8
protest,8
armee,8
A,8
tutvustama,8
säilima,8
tendents,8
üksikvanem,8
üksikem,8
vaatlema,8
vabakond,8
teinekord,8
Ühendriik,8
tehniline,8
äkki,8
teel,8
NSVL,8
taotlus,8
sisaldama,8
Norra,8
PM,8
vallutama,8
solidaarsus,8
sügavam,8
sõprus,8
uurimine,8
teooria,8
termin,8
saadud,8
tõdemus,8
värv,8
saavutamine,8
üldjoon,8
sattunud,8
tõsiasi,8
väärtuslik,8
tsivilisatsioon,8
seepärast,8
toel,8
traditsiooniline,8
Kaire,8
tootlikkus,8
toomine,8
tollane,8
Jüri,8
ulatuma,8
toimetama,8
sõlmima,8
Meri,8
veetma,8
suurune,8
stiil,8
suss,8
sootuks,8
viha,8
veri,8
õpetus,8
Põhjamaa,8
vastuvõtmine,8
Gruusia,8
suhtuma,8
veenduma,8
stsenaarium,8
režiim,8
soolestik,8
sotsiaaltöötaja,8
Bidia,8
pistmine,7
tore,7
maksuvaba,7
võlg,7
Siim,7
mehhanism,7
kala,7
mass,7
majanduspoliitika,7
hariduslik,7
seevastu,7
otsustav,7
mainitud,7
ots,7
õnneks,7
matemaatika,7
seisund,7
seitse,7
otseselt,7
võrdsus,7
miinimumpalk,7
truu,7
toimunud,7
sekkuma,7
meeskond,7
meeter,7
selgem,7
meri,7
seen,7
Pikamägi,7
e-riik,7
kanal,7
sotsiaalsüsteem,7
edukas,7
loss,7
pakkumine,7
Kurkov,7
eelis,7
eelistus,7
üldjuht,7
vältel,7
sall,7
tähelepanuväärne,7
lk,7
tähistama,7
eeskätt,7
linnavalitsus,7
tähtsus,7
täiendama,7
edukalt,7
luure,7
halvem,7
tugevus,7
analüüsima,7
toiduaine,7
kandideerima,7
maailmaturg,7
potentsiaalne,7
Stalin,7
sealjuures,7
kangem,7
seade,7
lõppev,7
aine,7
Raul,7
ebavõrdsus,7
Le,7
st,7
läänelik,7
ostmine,7
Maidan,7
hukkuma,7
järjekord,7
tagune,7
sisemine,7
oletama,7
takistamine,7
aspekt,7
järgne,7
oligarh,7
suurriik,7
üheskoos,7
peetud,7
tarbima,7
asutatud,7
targem,7
tarkus,7
SDE,7
Prantsuse,7
järeltulija,7
alko,7
toetav,7
sügavalt,7
armastama,7
ühendama,7
õigemini,7
okupeerimine,7
arusaadav,7
sõltuvus,7
sõnavabadus,7
olemasolev,7
järelikult,7
sünd,7
olemus,7
sünnitama,7
t,7
Brüssel,7
hoolitsema,7
asetama,7
jätkusuutlikkus,7
iseseisvus,7
müüt,7
pannoo,7
Charleroi,7
kaasaeg,7
sulgema,7
seostama,7
Mart,7
Reps,7
muuhulgas,7
kaasnema,7
alandamine,7
võte,7
sotsiaalmaks,7
Reinsalu,7
võrreldav,7
moodi,7
suhteline,7
pinge,7
sestap,7
mõistetav,7
side,7
jõuluv,7
müür,7
hoopiski,7
autoritaarne,7
mõõtma,7
jama,7
mõttetu,7
teenistus,7
iseenesest,7
omavahel,7
tegevustoetus,7
sihtgrupp,7
tehing,7
siht,7
opositsioon,7
liik,7
sakslane,7
tulenema,7
kestnud,7
vägi,7
käest,7
kvalifikatsioon,7
keskmiselt,7
Tšehhoslovakkia,7
vaev,7
täpsemalt,7
igatahes,7
kõht,7
Ilves,7
rada,7
kulgema,7
kibestumine,7
vaimne,7
kiirelt,7
kerge,7
põhjanaaber,7
kritiseerima,7
küljes,7
kaupa,7
väljakutse,7
element,7
elluviimine,7
kümnend,7
elukeskkond,7
külastaja,7
kõikvõimalik,7
uhke,7
ilmselgelt,7
KGB,7
kõrv,7
välisminister,7
unistus,7
kuivõrd,7
erinevus,7
tööriist,7
viide,7
kirjutamine,7
kollektiivne,7
Aadu,7
vasakpoolne,7
üürnik,7
kohtumine,7
klassikaline,7
ravikindlustus,7
kohtlemine,7
veendumus,7
veerand,7
kohane,7
Fukuyama,7
fantaasia,7
kompenseerima,7
konkreetselt,7
rahulik,7
riigikirik,7
korter,7
korras,7
riigimets,7
korduma,7
koosolek,7
valmima,7
riigijuht,7
konkurent,7
valmistuma,7
vanaisa,7
riigiasutus,7
esitatud,7
konservatiivne,7
vandenõuteooria,7
töötamine,7
hoiduma,7
tõus,7
langus,7
huviharidus,7
Kasahstan,7
lapselaps,7
ehitus,7
tõhus,7
lennuk,7
haigus,7
immuniteet,7
leib,7
las,7
eitama,7
puutumatus,7
tõlkima,7
laienemine,7
katuseraha,7
saati,7
tõrjuma,7
lendama,7
lahkumine,7
imelik,7
tõlgendus,7
näitleja,6
kooslus,6
Kuuba,6
elatisraha,6
närviline,6
kooskõla,6
tuul,6
nõrkus,6
viletsus,6
nõudlus,6
arusaamatu,6
sõltumatu,6
koolivalik,6
katus,6
sõjavägi,6
nõunik,6
FSB,6
leiutama,6
koostama,6
asemele,6
arvestatav,6
näiliselt,6
taotlema,6
järgnev,6
Eston,6
kiirus,6
takistus,6
Holland,6
Nobel,6
tajuma,6
tahvelarvuti,6
Kesk-Euroopa,6
eristuma,6
valitseja,6
ääres,6
kindlustunne,6
tagasihoidlik,6
kindral,6
Donbass,6
tunnustama,6
norm,6
järeleandmine,6
esialgne,6
leiutis,6
taanduma,6
järeldama,6
valitud,6
sõdur,6
tuuletehnoloogia,6
säilitama,6
fookus,6
loll,6
Barcelona,6
ettevalmistus,6
